Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
0,1698.236233681721,0.0014,1769.084859472571,0.0004,2425.819937961956,0.0019,2450.070625302171,0.0190
200,2783.087306232388,0.0004,2150.6108653379965,0.0003,3264.5121248657542,0.0396,3457.4424483660578,0.4073
400,2807.594513148941,0.0001,2333.13449968341,0.0001,3352.124336144683,0.0449,3428.5144890614956,0.6522
600,2689.4675629179465,0.0001,2986.885972178012,0.0002,3358.4323593081535,0.0751,3466.008651875336,0.9353
800,2711.8779144106857,0.0001,2876.526541704927,0.0002,3470.4312539603816,0.1086,3436.1870921241143,1.2259
1000,2913.208372790641,0.0002,2817.31004071458,0.0003,3403.86877347909,0.1046,3476.6999402699767,1.6138
1200,2844.7934791699463,0.0002,3095.6039536039875,0.0004,3429.4364042350435,0.1267,3396.9953860146043,1.9020
1400,3053.7152471528393,0.0002,2850.052745141694,0.0004,3374.748636411651,0.1500,3431.21586861825,2.2076
1600,2860.8843333826344,0.0002,3027.720905911059,0.0005,3363.391714350494,0.1710,3495.4448815620763,2.6002
1800,2802.2167069176157,0.0002,2787.6712249932543,0.0007,3441.4272805917144,0.1937,3498.768420474813,2.8635
2000,2604.6927334141324,0.0002,2954.957314041737,0.0006,3439.5337136355884,0.2328,3477.5863295063245,3.1578
2200,2628.398267973711,0.0003,2941.41590854887,0.0007,3402.6454183806873,0.2382,3460.2269894391857,3.5217
2400,3004.420763637945,0.0003,2737.5443608672367,0.0007,3416.4518031942616,0.2561,3509.745762683464,3.8895
2600,2709.9733556531387,0.0003,2928.0548083839703,0.0008,3406.7572991877296,0.3181,3446.6519604668847,4.1995
2800,2800.4719791956936,0.0003,2855.5673751936956,0.0009,3405.88461244872,0.2977,3529.02713268374,4.5385
3000,2941.5336012839225,0.0003,2903.8159945531806,0.0009,3371.305902616713,0.3223,3444.171910868338,4.9032
3200,2797.643315336159,0.0003,2950.210342054403,0.0010,3438.0934286188485,0.3818,3427.965510881662,5.1760
3400,2646.8719492652644,0.0004,2842.4964750897757,0.0010,3445.0942429206025,0.3635,3458.7708111897055,5.5454
3600,2727.434020657241,0.0003,2917.6216897416675,0.0011,3418.7808787521963,0.4067,3497.0807534777177,5.7583
3800,2840.874861581442,0.0003,2724.786118197417,0.0012,3449.481960980964,0.4076,3503.4006296781936,6.0944
4000,2591.912185212128,0.0004,2790.3731168451195,0.0013,3437.2523816108032,0.4280,3493.5026673771517,6.4182
4200,2938.5810669096954,0.0004,3087.2671395520174,0.0013,3341.6373736107125,0.4497,3469.9205974958695,6.7797
4400,2802.7348304737257,0.0011,2899.4927532055563,0.0039,3418.588564618989,0.5122,3391.9082628458655,7.0193
4600,2643.06066212078,0.0004,2817.5756119184553,0.0015,3449.54676425891,0.5106,3477.6505847814897,7.3311
4800,2664.68829286209,0.0007,2849.899227925189,0.0018,3392.0343561266445,0.5499,3487.5981914968024,7.7217
5000,2573.4661392573116,0.0005,2929.044961801769,0.0016,3431.246845818222,0.5650,3491.37330423211,7.9225

Iteration,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
0,2034.2519724219885,0.0000,1539.1817217499963,0.0000,2599.2227674217984,0.0001,2423.10056441704,0.0026
200,2597.2920362581253,0.0000,2062.3758966732007,0.0001,3315.564739658419,0.0212,3382.6706233025825,0.3447
400,2741.29331154866,0.0000,2375.1919074720254,0.0001,3348.9964988373285,0.0417,3355.4585391369255,0.6433
600,2463.8143923721145,0.0001,2891.7986415970227,0.0001,3316.834857416813,0.0657,3390.7368719873266,0.9608
800,2779.099827587839,0.0001,3047.084654462511,0.0002,3277.7977296768795,0.0855,3439.6295033298984,1.3208
1000,3038.8840743901324,0.0001,2875.182940970185,0.0003,3371.2455852514167,0.1064,3460.821740915326,1.5994
1200,2717.460091405212,0.0001,2906.068039525632,0.0003,3453.177513185952,0.1289,3413.3267068832693,1.9333
1400,2733.2436279459107,0.0001,3197.5014478496887,0.0004,3467.0571693726906,0.1513,3445.4243926264844,2.2156
1600,2665.3609094279846,0.0002,2834.855599483223,0.0004,3380.6218082860532,0.1897,3429.6848366912764,2.6085
1800,2737.7594821700004,0.0002,2744.3612218845237,0.0005,3400.440916838774,0.1952,3504.446109916894,2.8848
2000,2563.4620799467434,0.0002,2776.5513198368744,0.0010,3386.135602011029,0.2137,3377.6712605329467,3.2771
