Interation,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
3400,104.0,0.0010,107.0,0.0016,74.0,0.0875,105.0,6.8938
3600,60.0,0.0007,113.0,0.0012,85.0,0.0970,113.0,7.2959
3800,60.0,0.0017,95.0,0.0018,83.0,0.0845,112.0,7.2809
4000,112.0,0.0008,99.0,0.0013,76.0,0.0917,113.0,7.1215
4200,60.0,0.0009,95.0,0.0017,79.0,0.0917,113.0,7.7782
4400,60.0,0.0009,113.0,0.0015,75.0,0.1083,113.0,8.2550
4600,98.0,0.0019,105.0,0.0020,73.0,0.1034,113.0,8.8284
4800,60.0,0.0024,113.0,0.0023,83.0,0.1099,113.0,9.2553
5000,113.0,0.0010,113.0,0.0015,82.0,0.1331,113.0,9.2582
5200,112.0,0.0024,113.0,0.0025,84.0,0.1118,113.0,9.6573
5400,81.0,0.0009,113.0,0.0017,82.0,0.1228,113.0,10.1054
5600,84.0,0.0010,108.0,0.0017,96.0,0.1219,113.0,10.4378
5800,60.0,0.0014,113.0,0.0020,75.0,0.1491,113.0,11.0961
6000,103.0,0.0013,111.0,0.0025,83.0,0.1376,113.0,11.8739
6200,60.0,0.0011,113.0,0.0020,79.0,0.1415,112.0,12.1688
6400,112.0,0.0022,113.0,0.0034,83.0,0.1776,113.0,12.8764
6600,60.0,0.0011,113.0,0.0023,84.0,0.1442,113.0,12.5246
6800,112.0,0.0019,113.0,0.0039,83.0,0.1563,113.0,13.0976
7000,106.0,0.0012,113.0,0.0037,83.0,0.1634,113.0,14.1109
7200,112.0,0.0029,113.0,0.0036,80.0,0.1649,113.0,14.2839
7400,111.0,0.0016,113.0,0.0044,91.0,0.1649,113.0,14.7141
7600,60.0,0.0015,113.0,0.0026,91.0,0.1718,113.0,14.4333
7800,60.0,0.0018,113.0,0.0026,79.0,0.1855,113.0,14.5530
8000,60.0,0.0015,113.0,0.0032,88.0,0.1766,113.0,15.0776
8200,60.0,0.0014,113.0,0.0038,76.0,0.1939,113.0,14.7013
8400,110.0,0.0017,113.0,0.0032,77.0,0.1880,113.0,16.1228
8600,60.0,0.0018,113.0,0.0058,84.0,0.2197,113.0,16.4198
8800,97.0,0.0016,113.0,0.0032,86.0,0.2043,113.0,16.8440
9000,107.0,0.0035,113.0,0.0036,80.0,0.2027,113.0,16.7158
9200,107.0,0.0020,113.0,0.0043,91.0,0.2193,113.0,17.6437
9400,109.0,0.0037,113.0,0.0037,82.0,0.2010,113.0,18.8342
9600,60.0,0.0030,113.0,0.0050,84.0,0.2598,113.0,19.2719
9800,60.0,0.0016,113.0,0.0036,78.0,0.2253,113.0,19.9089
10000,113.0,0.0021,113.0,0.0039,73.0,0.2318,113.0,18.8890

Interation,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
0,4.0,0.0032,4.0,0.0007,69.0,0.0019,70.0,0.0423
200,15.0,0.0010,4.0,0.0007,76.0,0.0208,106.0,0.4853
400,76.0,0.0003,6.0,0.0005,83.0,0.0107,99.0,0.7487
600,73.0,0.0003,10.0,0.0003,74.0,0.0162,96.0,1.1231
800,74.0,0.0002,68.0,0.0003,79.0,0.0166,96.0,1.4200
1000,26.0,0.0002,74.0,0.0004,72.0,0.0215,101.0,1.7353
1200,105.0,0.0003,79.0,0.0005,72.0,0.0289,112.0,2.5027
1400,29.0,0.0004,84.0,0.0006,80.0,0.0325,110.0,2.6306
1600,34.0,0.0004,85.0,0.0007,77.0,0.0404,113.0,2.9703
1800,87.0,0.0004,82.0,0.0010,75.0,0.0409,113.0,3.3665
2000,76.0,0.0005,90.0,0.0013,75.0,0.0428,113.0,3.9072
2200,60.0,0.0011,87.0,0.0017,78.0,0.0717,112.0,4.6321
