Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,67.599,77.824,74.634
Iteration1,65.344,85.774,80.000
Iteration2,65.516,72.176,72.195
Iteration3,64.306,72.176,72.195
Iteration4,62.330,77.406,78.049
Iteration5,59.442,77.406,78.049
Iteration6,58.614,77.406,78.049
Iteration7,57.766,72.385,72.195
Iteration8,56.104,72.594,72.683
Iteration9,56.228,82.845,84.390
Iteration10,53.707,80.126,79.512
Iteration11,54.212,83.054,79.512
Iteration12,53.692,80.962,84.390
Iteration13,53.394,80.962,84.390
Iteration14,54.086,80.962,84.390
Iteration15,51.573,78.033,77.073
Iteration16,50.549,78.033,77.073
Iteration17,49.639,78.033,77.073
Iteration18,50.580,82.845,81.463
Iteration19,51.582,77.615,75.610
Iteration20,51.411,79.916,75.610
Iteration21,51.434,81.381,82.927
Iteration22,49.667,83.054,83.415
Iteration23,50.252,83.891,81.463
Iteration24,50.118,82.427,84.390
Iteration25,50.559,82.427,84.390
Iteration26,50.988,84.310,84.390
Iteration27,49.787,79.916,82.439
Iteration28,49.194,79.916,82.439
Iteration29,48.135,79.916,82.439
Iteration30,48.984,79.916,82.927
Iteration31,48.999,79.916,82.927
Iteration32,48.165,81.381,80.976
Iteration33,48.332,80.544,75.122
Iteration34,47.229,82.636,81.463
Iteration35,47.382,78.870,77.561
Iteration36,47.306,78.870,77.561
Iteration37,47.119,88.703,86.341
Iteration38,46.998,83.473,79.512
Iteration39,46.547,86.611,87.805
Iteration40,45.803,86.402,88.780
Iteration41,44.975,82.636,81.463
Iteration42,44.939,84.728,80.488
Iteration43,44.357,84.937,80.488
Iteration44,44.296,85.146,80.000
Iteration45,44.466,85.146,80.000
Iteration46,44.306,82.008,80.976
Iteration47,43.694,80.962,81.951
Iteration48,43.283,88.494,85.854
Iteration49,43.611,88.494,85.854
Iteration50,43.868,84.519,84.390
Iteration51,43.902,83.473,80.976
Iteration52,43.369,82.218,83.902
Iteration53,42.836,86.820,86.341
Iteration54,42.806,86.820,86.341
Iteration55,42.653,84.100,83.415
Iteration56,41.910,84.100,83.415
Iteration57,41.543,84.100,83.415
Iteration58,41.126,84.100,83.415
Iteration59,40.502,84.100,83.415
Iteration60,40.439,83.891,83.415
Iteration61,41.232,86.820,85.854
Iteration62,40.395,86.820,85.854
Iteration63,39.315,85.146,86.829
Iteration64,38.950,85.146,86.829
Iteration65,38.705,87.029,84.390
Iteration66,39.079,83.473,84.390
Iteration67,39.176,85.774,83.415
Iteration68,38.182,85.774,83.415
Iteration69,37.210,86.402,88.293
Iteration70,36.674,85.146,88.293
Iteration71,37.164,87.866,86.341
Iteration72,37.247,85.356,88.293
Iteration73,37.304,84.728,83.902
Iteration74,36.779,85.565,88.293
Iteration75,37.065,85.565,88.293
Iteration76,36.304,85.565,85.366
Iteration77,35.821,88.285,86.829
Iteration78,35.821,88.285,86.829
Iteration79,35.708,88.285,86.829
Iteration80,35.282,88.285,86.829
Iteration81,35.053,84.937,86.341
Iteration82,34.768,87.029,85.366
Iteration83,34.908,87.029,85.366
Iteration84,34.693,87.029,85.366
Iteration85,34.801,87.238,87.805
Iteration86,34.901,87.029,85.366
Iteration87,34.350,85.774,84.878
Iteration88,34.447,86.820,85.366
Iteration89,34.355,87.866,87.805
Iteration90,34.311,88.703,87.805
Iteration91,34.356,88.703,87.805
Iteration92,33.901,88.703,88.293
Iteration93,33.778,88.703,88.293
Iteration94,33.714,88.703,88.293
Iteration95,33.784,88.703,88.293
Iteration96,33.471,88.703,88.293
Iteration97,33.130,88.703,88.293
Iteration98,32.801,88.703,88.293
Iteration99,32.589,86.611,87.317
Iteration100,31.978,86.611,87.317
Iteration101,32.342,87.029,89.268
Iteration102,32.365,89.121,90.244
Iteration103,32.095,87.448,85.366
Iteration104,31.458,87.448,85.366
Iteration105,31.353,87.448,85.366
Iteration106,31.240,89.331,88.780
Iteration107,30.852,87.448,85.366
Iteration108,30.885,89.121,88.293
Iteration109,30.636,87.448,85.366
Iteration110,30.945,87.448,85.366
Iteration111,30.600,87.448,85.366
Iteration112,30.702,88.285,88.293
Iteration113,30.903,90.795,89.268
Iteration114,30.004,88.075,88.780
Iteration115,29.640,87.866,89.268
Iteration116,29.315,88.494,88.780
Iteration117,28.854,88.494,88.780
Iteration118,28.988,89.540,90.732
Iteration119,28.948,87.866,89.268
Iteration120,28.639,88.703,90.244
Iteration121,28.549,88.703,90.244
Iteration122,28.395,88.703,90.244
Iteration123,28.725,88.703,90.244
Iteration124,28.277,88.703,90.244
Iteration125,28.286,88.285,89.756
Iteration126,28.204,88.285,87.805
Iteration127,28.375,90.167,89.268
Iteration128,28.192,90.167,89.268
Iteration129,28.192,90.167,89.268
Iteration130,28.033,88.285,87.317
Iteration131,28.043,88.285,87.317
Iteration132,27.730,90.586,90.732
Iteration133,27.452,89.540,90.244
Iteration134,27.368,88.912,87.805
Iteration135,26.821,88.912,87.805
Iteration136,26.801,88.912,87.805
Iteration137,26.638,88.912,87.805
Iteration138,26.539,88.912,87.805
Iteration139,26.875,88.912,87.317
Iteration140,26.539,88.912,87.317
Iteration141,26.676,88.912,87.317
Iteration142,26.122,88.912,87.317
Iteration143,25.737,88.912,87.317
Iteration144,25.921,88.912,87.317
Iteration145,25.695,89.331,87.317
Iteration146,25.551,89.331,87.317
Iteration147,25.365,90.167,88.780
Iteration148,25.691,91.213,90.732
Iteration149,25.860,91.213,90.732
Iteration150,25.512,91.213,90.732
Iteration151,25.525,91.423,90.244
