Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.851,79.079,80.000
Iteration1,65.276,79.079,80.000
Iteration2,62.293,73.222,66.829
Iteration3,57.317,73.222,66.829
Iteration4,57.187,79.916,81.463
Iteration5,54.801,79.916,81.951
Iteration6,55.596,79.707,77.561
Iteration7,56.080,79.707,77.561
Iteration8,55.594,79.707,77.561
Iteration9,53.357,79.707,77.561
Iteration10,53.524,79.707,77.561
Iteration11,53.536,79.707,77.561
Iteration12,53.967,79.707,77.561
Iteration13,55.165,77.615,73.659
Iteration14,53.313,77.615,73.659
Iteration15,52.591,77.824,76.585
Iteration16,51.219,77.824,76.585
Iteration17,51.989,77.824,76.585
Iteration18,54.110,77.824,76.585
Iteration19,54.353,77.824,76.585
Iteration20,51.215,73.849,70.732
Iteration21,52.183,73.849,70.732
Iteration22,51.114,79.498,78.537
Iteration23,49.668,76.987,75.122
Iteration24,49.858,76.987,75.122
Iteration25,50.437,76.987,75.122
Iteration26,49.863,80.335,78.049
Iteration27,49.195,78.243,72.683
Iteration28,49.294,81.590,76.098
Iteration29,49.255,81.590,76.098
Iteration30,47.117,82.008,76.098
Iteration31,46.358,82.008,76.098
Iteration32,47.049,81.590,76.098
Iteration33,47.536,82.008,76.098
Iteration34,47.253,82.008,76.098
Iteration35,48.585,82.008,76.098
Iteration36,47.876,82.008,76.098
Iteration37,46.820,82.008,76.098
Iteration38,46.298,82.008,76.098
Iteration39,46.146,81.172,77.561
Iteration40,45.416,82.008,76.098
Iteration41,45.286,82.845,79.024
Iteration42,45.147,82.008,76.098
Iteration43,47.319,82.636,78.537
Iteration44,47.772,82.636,78.537
Iteration45,45.689,82.636,78.537
Iteration46,44.344,82.636,78.537
Iteration47,43.091,82.636,78.537
Iteration48,42.942,82.636,78.537
Iteration49,43.810,82.427,76.585
Iteration50,43.918,82.427,76.585
Iteration51,43.192,83.473,83.902
Iteration52,43.493,83.473,83.902
Iteration53,42.494,84.100,81.463
Iteration54,42.671,83.473,83.902
Iteration55,43.912,82.845,80.976
Iteration56,42.722,82.845,80.976
Iteration57,43.404,80.962,79.024
Iteration58,43.412,82.636,80.488
Iteration59,42.640,82.636,80.488
Iteration60,42.251,83.891,81.463
Iteration61,42.283,83.891,81.463
Iteration62,42.836,83.891,81.463
Iteration63,42.664,83.891,81.463
Iteration64,42.230,83.891,81.463
Iteration65,43.307,82.845,78.049
Iteration66,42.627,82.636,80.976
Iteration67,42.029,82.636,80.976
Iteration68,40.079,83.054,79.024
Iteration69,39.547,81.799,78.537
Iteration70,38.050,81.590,78.537
Iteration71,37.740,82.636,76.098
Iteration72,38.340,82.636,76.098
Iteration73,38.569,83.891,87.317
Iteration74,37.534,84.100,87.317
Iteration75,36.870,84.100,87.317
Iteration76,36.613,83.054,85.366
Iteration77,36.930,82.218,80.000
Iteration78,37.591,82.218,80.000
Iteration79,37.876,82.427,80.000
Iteration80,38.715,86.820,89.756
Iteration81,38.144,86.820,89.756
Iteration82,37.662,86.820,89.756
Iteration83,37.034,86.820,89.756
Iteration84,36.474,86.820,89.756
Iteration85,36.642,84.310,88.293
Iteration86,36.748,85.146,83.902
Iteration87,36.125,84.310,88.293
Iteration88,35.857,84.310,88.293
Iteration89,36.012,85.356,87.805
Iteration90,35.464,84.937,83.415
Iteration91,34.736,83.473,84.878
Iteration92,34.667,83.473,84.878
Iteration93,34.379,83.473,84.878
Iteration94,34.419,85.356,87.805
Iteration95,34.924,85.356,87.805
Iteration96,35.086,86.192,86.829
Iteration97,34.302,86.192,86.829
Iteration98,33.650,86.192,86.829
Iteration99,32.867,84.728,85.366
Iteration100,32.444,84.728,85.366
Iteration101,32.436,85.356,86.341
Iteration102,31.881,85.356,86.341
Iteration103,31.531,85.356,86.341
Iteration104,30.138,85.356,86.341
Iteration105,29.982,85.983,85.854
Iteration106,29.878,85.983,85.854
Iteration107,29.513,85.983,85.854
Iteration108,30.245,85.146,85.366
Iteration109,30.077,85.983,85.854
Iteration110,29.969,86.192,87.317
Iteration111,29.892,85.983,85.854
Iteration112,29.824,85.983,85.854
Iteration113,29.925,85.774,86.341
Iteration114,28.771,85.983,85.854
Iteration115,28.663,85.983,85.854
Iteration116,28.845,85.983,85.854
Iteration117,28.943,85.983,85.854
Iteration118,28.576,85.565,85.854
Iteration119,28.712,85.565,85.854
Iteration120,28.549,85.565,85.854
Iteration121,28.513,85.565,85.854
Iteration122,28.524,85.565,85.854
Iteration123,28.278,85.146,86.829
Iteration124,28.613,86.402,87.805
Iteration125,28.428,86.402,87.317
Iteration126,28.224,86.402,87.317
Iteration127,28.137,87.657,86.829
Iteration128,27.786,87.029,86.341
Iteration129,28.161,86.192,86.341
Iteration130,28.034,86.192,86.341
Iteration131,28.062,85.356,84.390
Iteration132,28.357,86.611,87.805
Iteration133,28.704,86.611,87.805
Iteration134,28.526,86.402,84.878
Iteration135,28.167,85.356,84.390
Iteration136,28.075,85.983,85.854
Iteration137,28.022,86.820,88.293
Iteration138,27.626,86.820,88.293
Iteration139,27.499,87.866,90.244
Iteration140,27.164,86.192,86.341
Iteration141,26.644,86.192,86.341
Iteration142,26.812,86.192,86.341
Iteration143,26.876,85.146,85.366
Iteration144,26.781,85.146,85.366
Iteration145,26.713,86.192,86.341
Iteration146,26.914,86.192,86.341
Iteration147,26.771,85.774,85.366
Iteration148,26.702,86.820,86.829
Iteration149,26.765,86.820,86.829
Iteration150,27.042,86.820,86.829
Iteration151,27.138,86.820,86.829
Iteration152,27.118,86.820,86.829
Iteration153,27.006,86.820,86.829
Iteration154,26.991,86.192,85.854
Iteration155,27.094,87.029,85.366
Iteration156,26.948,86.192,86.341
Iteration157,27.214,86.192,86.341
Iteration158,27.125,85.774,86.341
Iteration159,27.256,87.238,88.780
Iteration160,27.074,87.238,88.780
Iteration161,26.969,85.983,87.805
Iteration162,27.002,87.866,89.268
Iteration163,26.859,87.866,88.293
Iteration164,26.740,87.866,89.268
Iteration165,26.692,87.866,89.268
Iteration166,26.603,87.238,88.780
Iteration167,26.348,87.657,88.293
Iteration168,26.255,87.238,88.780
Iteration169,26.478,87.448,87.805
Iteration170,26.508,87.448,87.805
Iteration171,26.384,88.285,87.805
Iteration172,25.964,87.866,87.805
Iteration173,26.060,87.866,87.805
Iteration174,26.139,87.866,87.805
Iteration175,26.124,87.866,86.829
Iteration176,26.116,87.866,86.829
Iteration177,25.813,87.866,86.829
Iteration178,25.911,88.075,86.829
Iteration179,25.946,88.494,87.317
Iteration180,25.847,88.494,87.317
Iteration181,25.807,88.494,87.317
Iteration182,25.648,88.494,87.317
Iteration183,25.498,88.494,87.317
Iteration184,25.683,88.285,87.317
Iteration185,25.601,88.075,88.293
Iteration186,25.371,88.075,88.293
Iteration187,25.370,88.075,88.293
Iteration188,25.391,87.866,88.293
Iteration189,25.390,87.866,88.293
Iteration190,25.230,88.285,87.805
