Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.920,83.264,86.341
Iteration1,63.169,83.264,86.829
Iteration2,61.878,82.218,86.341
Iteration3,60.189,82.218,86.341
Iteration4,57.812,85.146,83.902
Iteration5,56.092,82.008,86.829
Iteration6,55.302,82.008,86.829
Iteration7,52.950,84.100,86.829
Iteration8,51.980,84.100,86.829
Iteration9,49.827,84.100,86.829
Iteration10,48.320,84.100,86.829
Iteration11,46.557,83.891,86.341
Iteration12,45.910,83.891,83.902
Iteration13,44.926,83.891,83.902
Iteration14,43.294,83.891,83.902
Iteration15,42.016,83.891,83.902
Iteration16,41.572,85.356,82.439
Iteration17,40.849,85.983,83.415
Iteration18,40.787,85.983,83.415
Iteration19,40.380,85.983,83.415
Iteration20,39.305,85.983,83.415
Iteration21,38.886,85.983,83.415
Iteration22,38.283,85.983,83.415
Iteration23,37.483,85.983,83.415
Iteration24,37.341,86.820,84.878
Iteration25,36.900,86.820,84.878
Iteration26,36.493,85.983,83.415
Iteration27,36.272,85.983,83.415
Iteration28,36.036,86.402,83.415
Iteration29,35.576,85.983,83.415
Iteration30,35.185,87.657,85.366
Iteration31,34.889,87.029,84.878
Iteration32,34.644,87.029,88.780
Iteration33,34.476,87.866,85.854
Iteration34,34.383,85.774,83.415
Iteration35,33.967,86.820,83.415
Iteration36,34.023,85.983,85.854
Iteration37,33.845,85.983,85.854
Iteration38,33.543,86.192,87.317
Iteration39,33.914,87.029,83.415
Iteration40,33.723,87.029,83.415
Iteration41,33.410,86.820,84.878
Iteration42,33.372,86.820,84.878
Iteration43,32.992,86.820,84.878
Iteration44,32.703,85.983,84.878
Iteration45,32.944,86.402,83.415
Iteration46,32.766,87.448,87.317
Iteration47,32.524,86.820,85.366
Iteration48,32.788,87.448,86.829
Iteration49,32.768,86.611,85.854
Iteration50,32.694,86.611,86.341
Iteration51,32.499,87.448,86.829
Iteration52,32.282,88.703,87.317
Iteration53,32.143,89.331,87.805
Iteration54,32.074,88.703,87.317
Iteration55,31.941,87.657,86.341
Iteration56,31.849,88.075,87.317
Iteration57,31.736,88.075,87.317
Iteration58,31.669,89.121,89.268
Iteration59,31.939,89.121,89.268
Iteration60,32.189,88.703,85.854
Iteration61,32.236,87.029,86.829
Iteration62,32.119,87.029,86.829
Iteration63,32.221,86.820,86.829
Iteration64,31.851,87.866,86.829
Iteration65,31.723,87.866,86.829
Iteration66,31.548,87.866,86.829
Iteration67,31.565,87.448,87.317
Iteration68,31.420,87.448,87.317
Iteration69,31.820,87.238,86.829
Iteration70,31.501,87.238,86.829
Iteration71,31.653,87.238,86.829
Iteration72,31.531,87.238,86.829
Iteration73,31.527,88.285,87.805
Iteration74,31.346,88.285,87.805
Iteration75,31.357,88.285,87.805
Iteration76,31.573,88.285,87.805
Iteration77,31.479,88.285,87.805
Iteration78,31.216,88.285,87.805
Iteration79,31.160,88.285,87.805
Iteration80,31.174,88.285,87.805
Iteration81,31.039,88.285,87.805
Iteration82,30.925,88.285,87.805
Iteration83,31.194,89.331,88.780
Iteration84,31.281,89.331,88.780
Iteration85,31.403,89.331,88.780
Iteration86,31.396,88.703,89.756
Iteration87,31.367,88.703,89.756
Iteration88,31.377,86.192,84.878
Iteration89,31.261,85.983,86.829
Iteration90,31.305,86.820,86.829
Iteration91,31.294,88.285,87.317
Iteration92,31.304,88.285,87.317
Iteration93,31.378,88.494,85.854
Iteration94,31.458,88.285,87.317
Iteration95,31.530,88.285,87.317
Iteration96,31.344,88.285,87.317
Iteration97,30.894,88.285,87.317
Iteration98,30.884,88.285,87.317
Iteration99,31.033,88.285,87.317
Iteration100,30.909,87.866,87.805
Iteration101,30.938,87.866,87.805
Iteration102,30.752,87.866,87.805
Iteration103,30.828,87.866,87.805
Iteration104,30.901,87.866,87.805
Iteration105,30.926,87.866,87.805
Iteration106,31.123,88.075,88.293
Iteration107,31.150,87.866,88.293
Iteration108,31.159,87.866,88.293
Iteration109,30.624,87.866,88.293
Iteration110,30.119,87.866,88.293
Iteration111,30.063,87.866,87.317
Iteration112,29.815,87.448,87.317
Iteration113,29.776,87.448,87.317
Iteration114,29.831,87.448,87.317
Iteration115,29.725,87.448,87.805
Iteration116,29.790,87.448,87.317
Iteration117,29.718,87.448,87.317
Iteration118,29.385,87.657,88.293
Iteration119,29.333,87.657,88.293
Iteration120,29.127,87.448,88.780
Iteration121,29.084,88.075,88.780
Iteration122,29.024,88.075,88.780
Iteration123,28.737,88.075,88.780
Iteration124,28.682,88.703,89.268
Iteration125,28.400,87.657,88.293
Iteration126,28.250,87.657,88.293
Iteration127,28.249,88.703,87.317
Iteration128,28.052,88.703,87.317
Iteration129,28.023,88.703,87.317
Iteration130,28.183,88.703,87.317
Iteration131,28.120,88.703,87.317
Iteration132,27.952,88.703,87.317
Iteration133,27.856,88.703,87.317
Iteration134,27.691,88.494,88.293
Iteration135,27.556,88.494,88.293
Iteration136,27.431,88.494,88.293
Iteration137,27.256,88.912,87.805
Iteration138,27.288,88.912,87.805
Iteration139,27.005,89.331,88.780
Iteration140,27.031,89.121,87.805
Iteration141,26.883,88.912,87.317
Iteration142,26.718,88.912,87.317
Iteration143,26.623,88.912,87.317
Iteration144,26.593,88.912,87.317
Iteration145,26.604,88.912,87.317
Iteration146,26.310,88.912,86.829
Iteration147,26.133,88.912,87.317
Iteration148,26.219,88.912,87.317
Iteration149,26.267,88.912,87.317
Iteration150,26.236,88.912,87.317
Iteration151,25.928,88.494,89.268
Iteration152,25.896,88.494,89.268
Iteration153,25.810,89.540,89.756
Iteration154,25.792,89.749,89.756
Iteration155,25.488,88.285,87.805
Iteration156,25.321,88.075,88.293
Iteration157,25.365,88.285,88.293
Iteration158,25.212,88.494,88.293
Iteration159,24.985,88.494,88.293
Iteration160,24.471,89.540,88.780
Iteration161,24.411,89.540,88.780
Iteration162,24.323,89.540,88.780
Iteration163,24.064,89.121,88.780
Iteration164,23.965,89.331,85.854
Iteration165,23.952,88.703,88.780
Iteration166,23.908,88.285,88.780
Iteration167,23.970,89.749,88.780
Iteration168,23.751,88.285,88.780
Iteration169,23.776,87.866,87.805
Iteration170,23.692,88.912,89.268
Iteration171,23.743,88.494,88.780
Iteration172,23.768,89.121,87.317
Iteration173,23.739,89.121,87.317
Iteration174,23.633,88.703,89.268
Iteration175,23.511,88.703,86.341
Iteration176,23.717,89.121,88.293
Iteration177,23.854,89.121,90.244
Iteration178,23.646,89.121,90.244
Iteration179,23.571,89.121,90.244
Iteration180,23.500,88.912,90.244
Iteration181,23.428,88.912,90.244
Iteration182,23.285,89.331,90.244
Iteration183,23.327,89.331,90.244
Iteration184,23.256,89.331,90.244
Iteration185,23.242,88.912,90.244
Iteration186,23.280,88.912,90.244
Iteration187,23.338,88.912,90.244
Iteration188,23.255,89.540,87.805
Iteration189,23.336,89.121,90.244
Iteration190,23.265,89.121,90.244
Iteration191,23.212,89.121,90.244
Iteration192,23.210,89.121,90.244
Iteration193,23.190,88.912,90.244
Iteration194,23.128,88.912,90.244
Iteration195,23.131,89.540,88.293
Iteration196,23.109,89.540,88.293
Iteration197,22.932,89.749,88.293
Iteration198,22.893,89.121,88.293
Iteration199,23.099,89.331,88.780
Iteration200,23.141,89.331,88.780
Iteration201,23.141,88.494,88.780
Iteration202,23.199,88.494,88.780
Iteration203,23.205,88.912,87.805
Iteration204,23.105,88.912,87.805
Iteration205,23.214,90.377,88.293
Iteration206,23.211,88.703,88.293
Iteration207,23.165,90.377,88.293
Iteration208,23.227,90.377,88.293
Iteration209,23.134,89.540,86.829
Iteration210,23.104,89.958,88.780
Iteration211,23.145,89.749,88.293
Iteration212,23.180,89.749,88.293
Iteration213,22.972,89.749,88.293
Iteration214,22.884,89.958,90.244
Iteration215,22.761,89.331,89.756
Iteration216,22.861,89.121,86.341
Iteration217,22.855,88.494,87.317
Iteration218,23.062,90.795,88.780
Iteration219,22.931,90.586,88.780
Iteration220,22.858,90.586,88.780
Iteration221,22.792,90.586,88.780
Iteration222,22.685,90.586,88.780
Iteration223,22.649,90.586,88.780
Iteration224,22.707,90.586,88.780
Iteration225,22.662,90.586,88.780
Iteration226,22.720,90.586,88.780
Iteration227,22.721,90.586,88.780
Iteration228,22.685,88.912,88.780
Iteration229,22.754,88.912,88.780
Iteration230,22.800,88.912,88.780
Iteration231,22.561,89.958,87.317
Iteration232,22.558,89.958,87.805
Iteration233,22.584,89.331,88.780
Iteration234,22.694,89.331,88.780
Iteration235,22.583,90.795,88.780
Iteration236,22.597,90.167,89.268
Iteration237,22.570,89.958,89.756
Iteration238,22.539,89.958,87.805
Iteration239,22.646,89.749,88.293
Iteration240,22.585,90.167,87.317
Iteration241,22.519,89.540,89.268
Iteration242,22.441,89.331,89.756
Iteration243,22.349,89.331,89.756
Iteration244,22.489,91.213,87.805
Iteration245,22.750,91.213,87.805
Iteration246,22.471,91.213,87.805
Iteration247,22.432,91.213,87.805
Iteration248,22.407,90.586,88.293
Iteration249,22.566,90.586,88.293
Iteration250,22.589,90.167,89.756
Iteration251,22.441,90.586,88.293
Iteration252,22.461,90.586,88.293
Iteration253,22.496,90.586,88.293
Iteration254,22.511,90.795,90.244
Iteration255,22.509,90.795,90.244
Iteration256,22.443,90.167,89.268
