Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,67.411,72.176,70.732
Iteration1,66.623,72.176,70.732
Iteration2,63.001,73.222,71.707
Iteration3,58.121,73.013,71.707
Iteration4,55.983,73.013,71.707
Iteration5,56.114,73.222,71.707
Iteration6,53.750,73.222,71.707
Iteration7,51.749,73.222,71.707
Iteration8,50.492,73.222,71.707
Iteration9,51.526,73.222,71.707
Iteration10,52.043,73.222,71.707
Iteration11,50.797,73.222,71.707
Iteration12,49.382,73.222,71.707
Iteration13,48.956,73.222,71.707
Iteration14,47.743,73.222,71.707
Iteration15,47.084,73.222,71.707
Iteration16,46.538,76.778,72.683
Iteration17,46.557,73.222,71.707
Iteration18,45.425,73.222,71.707
Iteration19,44.934,75.105,72.195
Iteration20,45.182,75.105,72.195
Iteration21,46.175,79.079,77.073
Iteration22,46.440,85.774,87.317
Iteration23,46.688,79.079,77.073
Iteration24,46.141,79.079,77.073
Iteration25,46.692,79.079,77.073
Iteration26,46.613,78.243,74.146
Iteration27,47.119,81.590,77.073
Iteration28,47.502,80.962,77.561
Iteration29,46.490,80.962,77.561
Iteration30,45.474,80.962,77.561
Iteration31,46.512,81.590,77.073
Iteration32,45.780,79.289,77.073
Iteration33,44.791,79.289,77.073
Iteration34,44.071,84.310,81.951
Iteration35,43.913,84.728,81.951
Iteration36,43.455,84.728,81.951
Iteration37,43.598,84.728,81.951
Iteration38,43.675,84.728,81.951
Iteration39,43.810,79.289,77.073
Iteration40,44.742,79.289,77.073
Iteration41,44.424,82.845,81.463
Iteration42,44.033,82.845,81.463
Iteration43,42.948,82.845,81.463
Iteration44,42.304,83.473,80.000
Iteration45,42.513,83.473,80.000
Iteration46,41.537,83.473,80.000
Iteration47,41.285,83.473,80.000
Iteration48,40.381,85.146,82.439
Iteration49,39.999,83.473,80.000
Iteration50,40.740,83.264,85.366
Iteration51,40.638,83.264,85.366
Iteration52,41.613,85.356,83.415
Iteration53,42.019,85.356,83.415
Iteration54,40.626,85.356,83.415
Iteration55,40.416,85.356,83.415
Iteration56,39.096,85.356,83.415
Iteration57,39.324,85.356,83.415
Iteration58,38.616,85.983,85.366
Iteration59,38.432,85.983,85.366
Iteration60,38.646,85.983,85.366
Iteration61,38.670,83.473,81.463
Iteration62,38.827,83.473,81.463
Iteration63,38.295,83.473,81.463
Iteration64,38.376,83.473,81.463
Iteration65,38.089,83.473,81.463
Iteration66,38.180,85.983,88.293
Iteration67,38.167,85.983,88.293
Iteration68,38.131,85.983,88.293
Iteration69,37.554,85.983,88.293
Iteration70,37.562,88.285,86.829
Iteration71,37.546,88.285,86.829
Iteration72,36.403,88.285,86.829
Iteration73,35.877,88.285,86.829
Iteration74,35.336,88.285,86.829
Iteration75,34.435,88.285,86.829
Iteration76,34.210,88.285,86.829
Iteration77,33.620,88.285,86.829
Iteration78,32.880,88.285,86.829
Iteration79,32.812,88.703,87.317
