Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.038,81.381,77.561
Iteration1,59.392,81.381,77.561
Iteration2,58.254,81.381,77.561
Iteration3,53.230,84.937,80.000
Iteration4,51.316,81.381,77.561
Iteration5,51.179,81.381,77.561
Iteration6,51.663,81.381,77.561
Iteration7,48.266,83.682,79.024
Iteration8,46.878,83.682,79.024
Iteration9,45.019,83.891,81.463
Iteration10,41.477,84.728,80.488
Iteration11,39.810,84.728,80.488
Iteration12,39.552,84.519,80.000
Iteration13,39.431,84.519,80.976
Iteration14,39.746,84.100,80.976
Iteration15,39.051,84.519,80.976
Iteration16,38.692,84.100,80.976
Iteration17,38.872,84.728,81.951
Iteration18,39.036,84.728,81.951
Iteration19,38.642,84.728,81.951
Iteration20,38.343,84.100,79.512
Iteration21,38.417,84.728,81.951
Iteration22,38.151,84.728,81.951
Iteration23,38.153,84.728,81.951
Iteration24,38.189,82.218,78.049
Iteration25,38.173,84.519,81.463
Iteration26,38.176,84.519,81.463
Iteration27,38.216,84.519,81.463
Iteration28,38.128,82.218,78.049
Iteration29,38.257,82.218,78.049
Iteration30,38.146,82.636,79.512
Iteration31,38.217,79.707,77.073
Iteration32,38.443,79.707,77.073
Iteration33,38.306,79.707,77.073
Iteration34,38.369,80.753,77.561
Iteration35,38.433,80.753,77.561
Iteration36,38.566,81.590,77.561
Iteration37,38.530,81.590,77.561
Iteration38,38.144,81.590,77.561
Iteration39,38.150,81.590,77.561
Iteration40,38.180,85.146,81.463
Iteration41,38.163,85.146,81.463
Iteration42,38.169,85.146,81.463
Iteration43,38.215,85.146,81.463
Iteration44,38.314,85.146,81.463
Iteration45,38.180,82.008,77.561
Iteration46,38.164,83.473,80.000
Iteration47,38.120,82.008,77.561
Iteration48,38.191,82.008,77.561
Iteration49,38.346,82.008,77.561
Iteration50,38.257,82.008,77.561
Iteration51,38.269,82.008,77.561
Iteration52,38.361,82.845,79.024
Iteration53,38.150,84.937,82.439
Iteration54,38.242,82.218,80.000
Iteration55,38.367,82.218,80.000
Iteration56,38.290,82.218,80.000
Iteration57,38.286,82.218,80.000
Iteration58,38.311,82.218,80.000
Iteration59,38.342,82.218,80.000
Iteration60,38.443,82.218,80.000
Iteration61,38.505,82.218,80.000
Iteration62,38.737,82.427,79.024
Iteration63,38.643,82.427,79.024
Iteration64,38.552,82.427,80.000
Iteration65,38.768,82.636,80.000
Iteration66,38.728,82.636,80.000
Iteration67,38.658,82.845,79.512
Iteration68,38.967,82.845,79.512
Iteration69,38.870,82.636,80.000
Iteration70,38.859,82.636,80.000
Iteration71,38.894,82.636,80.000
Iteration72,39.110,81.381,77.561
Iteration73,39.132,81.381,78.049
Iteration74,39.058,81.381,77.561
Iteration75,38.888,81.381,77.561
Iteration76,38.836,81.381,77.561
Iteration77,38.983,81.381,77.561
Iteration78,38.793,81.590,77.561
Iteration79,39.008,81.381,77.561
Iteration80,38.957,81.381,77.561
Iteration81,38.691,81.381,77.561
Iteration82,38.642,81.381,77.561
Iteration83,38.671,81.381,77.561
Iteration84,38.464,81.381,77.561
Iteration85,38.344,81.381,77.561
Iteration86,38.263,81.381,77.561
Iteration87,38.249,83.264,80.000
Iteration88,38.219,81.172,77.561
Iteration89,38.167,81.172,77.561
Iteration90,38.166,81.172,77.561
Iteration91,38.107,81.172,77.561
Iteration92,38.083,81.172,77.561
Iteration93,38.039,81.172,77.561
Iteration94,38.065,81.172,77.561
Iteration95,38.054,81.172,77.561
Iteration96,38.033,81.172,77.561
Iteration97,38.039,81.172,77.561
Iteration98,38.039,81.172,77.561
Iteration99,38.039,81.172,77.561
Iteration100,38.065,80.753,77.561
Iteration101,38.053,80.753,77.561
Iteration102,38.028,81.172,77.561
Iteration103,38.070,81.172,77.561
Iteration104,38.053,81.172,77.561
Iteration105,38.118,81.172,77.561
Iteration106,38.196,81.381,77.561
Iteration107,38.195,81.381,77.561
Iteration108,38.287,81.381,77.561
Iteration109,38.244,81.381,77.561
Iteration110,38.053,81.381,77.561
Iteration111,37.991,81.381,77.561
Iteration112,37.986,81.381,77.561
Iteration113,38.028,81.381,77.561
Iteration114,38.028,82.008,78.537
Iteration115,37.978,82.008,78.537
Iteration116,37.897,83.473,79.024
Iteration117,37.844,83.473,79.024
Iteration118,37.774,83.473,79.024
Iteration119,37.708,83.473,79.024
Iteration120,37.796,83.473,78.537
Iteration121,37.869,84.100,81.463
Iteration122,37.892,84.310,81.463
Iteration123,37.880,83.264,80.000
Iteration124,37.813,83.264,80.000
Iteration125,37.830,84.310,81.463
Iteration126,37.794,83.682,78.537
Iteration127,37.957,84.310,80.976
Iteration128,37.823,84.100,80.488
Iteration129,37.938,84.100,80.488
Iteration130,37.845,84.728,80.976
Iteration131,37.777,83.891,80.976
Iteration132,37.741,82.636,80.488
Iteration133,37.681,83.891,80.976
Iteration134,37.783,83.891,80.976
Iteration135,37.735,83.682,78.537
Iteration136,37.788,83.682,78.537
Iteration137,37.693,83.891,79.024
Iteration138,37.685,84.100,81.463
Iteration139,37.573,84.100,81.463
Iteration140,37.674,83.682,79.024
Iteration141,37.650,83.891,80.000
Iteration142,37.649,83.891,80.000
Iteration143,37.607,85.774,83.415
Iteration144,37.543,84.310,80.976
Iteration145,37.259,84.100,81.463
Iteration146,37.112,84.100,81.463
Iteration147,36.996,84.937,82.927
Iteration148,36.901,84.937,82.927
Iteration149,36.929,84.100,80.976
Iteration150,36.918,83.264,79.512
Iteration151,36.900,83.682,79.024
Iteration152,36.905,84.100,79.024
Iteration153,37.111,84.100,79.024
Iteration154,37.124,84.100,79.024
Iteration155,37.178,84.100,79.024
Iteration156,37.016,84.100,79.024
Iteration157,37.058,84.728,80.000
Iteration158,36.907,84.937,80.488
Iteration159,36.872,84.937,80.488
Iteration160,36.836,84.937,80.488
Iteration161,36.769,84.937,80.488
Iteration162,36.522,85.774,82.927
Iteration163,36.581,84.728,82.927
Iteration164,36.512,85.565,82.927
Iteration165,36.346,85.565,82.927
Iteration166,36.394,83.682,80.488
Iteration167,36.223,85.983,82.927
Iteration168,36.294,84.728,82.927
Iteration169,36.242,84.728,82.927
Iteration170,36.287,85.356,82.927
Iteration171,36.216,85.146,82.927
Iteration172,36.253,85.774,83.415
Iteration173,36.247,85.774,83.415
Iteration174,36.057,84.937,82.927
Iteration175,36.059,85.774,83.415
Iteration176,35.995,85.774,83.415
Iteration177,36.373,85.774,83.415
Iteration178,36.118,85.774,83.415
Iteration179,36.137,85.774,83.415
Iteration180,36.208,85.774,83.415
Iteration181,36.022,85.774,83.415
Iteration182,36.233,85.565,83.415
Iteration183,36.213,85.565,83.415
Iteration184,36.122,85.774,83.415
Iteration185,36.169,85.565,83.415
Iteration186,36.305,85.774,82.927
Iteration187,35.982,85.774,82.927
Iteration188,36.022,85.774,82.927
Iteration189,36.057,84.519,80.976
Iteration190,36.029,84.519,80.976
Iteration191,36.090,86.192,82.927
Iteration192,35.995,86.192,82.927
Iteration193,35.985,86.192,82.927
Iteration194,35.945,85.146,82.927
Iteration195,36.059,85.146,82.927
Iteration196,35.971,85.146,82.927
