Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,65.972,76.151,70.732
Iteration1,62.612,76.151,70.732
Iteration2,60.806,79.498,78.537
Iteration3,59.270,76.151,70.732
Iteration4,58.296,81.799,80.488
Iteration5,57.652,81.799,80.488
Iteration6,56.023,81.799,80.488
Iteration7,55.427,81.799,80.488
Iteration8,53.215,81.799,80.488
Iteration9,51.040,82.218,80.000
Iteration10,49.613,81.799,80.488
Iteration11,47.876,81.799,80.488
Iteration12,47.597,81.799,80.000
Iteration13,45.990,82.636,80.488
Iteration14,44.829,82.636,80.488
Iteration15,43.700,82.218,80.488
Iteration16,43.591,81.799,80.488
Iteration17,43.874,81.590,80.488
Iteration18,42.667,81.590,80.488
Iteration19,42.851,81.799,79.512
Iteration20,42.585,81.799,79.512
Iteration21,42.340,81.590,80.488
Iteration22,41.897,82.636,81.463
Iteration23,41.247,81.590,80.000
Iteration24,40.901,81.590,80.000
Iteration25,40.609,81.590,80.000
Iteration26,39.863,81.381,79.512
Iteration27,39.468,82.218,80.000
Iteration28,39.655,82.218,80.000
Iteration29,39.189,81.590,80.488
Iteration30,38.886,81.590,80.488
Iteration31,38.819,81.590,80.000
Iteration32,38.861,81.590,80.000
Iteration33,38.868,82.845,80.488
Iteration34,38.830,81.590,80.000
Iteration35,38.870,83.682,82.927
Iteration36,38.919,81.590,80.000
Iteration37,38.857,81.590,80.000
Iteration38,38.939,82.218,79.512
Iteration39,38.944,82.218,79.512
Iteration40,39.018,82.008,80.488
Iteration41,39.072,82.008,80.488
Iteration42,39.088,82.008,80.488
Iteration43,38.984,82.218,80.000
Iteration44,39.050,82.008,80.000
Iteration45,38.876,82.008,79.512
Iteration46,38.960,82.008,79.024
Iteration47,38.959,82.008,79.024
Iteration48,38.947,82.636,80.488
Iteration49,38.858,82.636,80.488
Iteration50,38.832,83.054,82.439
Iteration51,38.825,83.054,82.439
Iteration52,38.804,82.845,82.439
Iteration53,38.794,82.845,82.439
Iteration54,38.805,80.126,76.585
Iteration55,38.793,80.126,76.585
Iteration56,38.820,82.636,81.463
Iteration57,38.982,82.636,81.463
Iteration58,38.926,82.636,80.000
Iteration59,38.988,82.008,80.488
Iteration60,38.951,82.636,80.000
Iteration61,38.990,82.636,80.000
Iteration62,39.055,82.845,82.439
Iteration63,39.105,82.636,80.976
Iteration64,39.233,83.264,79.512
Iteration65,39.290,82.636,80.000
Iteration66,39.271,82.636,80.000
Iteration67,39.298,82.636,80.000
Iteration68,39.321,82.636,80.000
Iteration69,39.288,82.636,80.000
Iteration70,39.310,82.636,83.902
