Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,68.187,83.473,79.512
Iteration1,63.104,83.473,79.512
Iteration2,61.291,83.473,79.512
Iteration3,59.380,83.473,79.512
Iteration4,58.401,83.473,79.512
Iteration5,55.987,83.473,79.512
Iteration6,54.803,83.473,80.000
Iteration7,52.569,83.473,80.000
Iteration8,51.853,83.473,80.000
Iteration9,51.622,83.473,80.000
Iteration10,49.840,83.473,80.000
Iteration11,48.675,83.473,79.512
Iteration12,47.326,83.473,79.512
Iteration13,46.412,83.264,79.024
Iteration14,45.346,83.264,80.488
Iteration15,44.885,83.473,79.512
Iteration16,44.598,83.264,79.512
Iteration17,44.955,83.682,81.463
Iteration18,44.091,83.682,81.463
Iteration19,43.532,83.682,81.463
Iteration20,43.329,82.845,80.488
Iteration21,42.269,83.682,80.488
Iteration22,41.943,83.682,80.488
Iteration23,42.044,83.682,80.488
Iteration24,41.951,83.473,78.537
Iteration25,41.795,83.473,78.537
Iteration26,41.673,85.356,82.439
Iteration27,41.663,81.381,78.049
Iteration28,41.510,83.473,80.000
Iteration29,41.459,85.356,82.439
Iteration30,41.543,84.937,80.976
Iteration31,41.378,84.937,80.976
Iteration32,41.321,82.427,78.537
Iteration33,41.365,84.937,80.976
Iteration34,41.326,85.146,82.439
Iteration35,41.273,83.264,79.512
Iteration36,41.234,84.100,81.951
Iteration37,41.160,84.100,81.951
Iteration38,41.167,84.100,81.951
Iteration39,41.105,84.100,81.951
Iteration40,41.102,84.100,81.951
Iteration41,40.984,84.100,81.951
Iteration42,40.938,84.100,81.951
Iteration43,40.918,84.100,81.951
Iteration44,40.774,81.381,80.488
Iteration45,40.784,84.100,81.951
Iteration46,40.924,84.100,81.951
Iteration47,40.835,84.100,81.951
Iteration48,40.706,82.845,80.000
Iteration49,40.585,82.845,80.000
Iteration50,40.504,82.845,80.000
Iteration51,40.453,82.845,80.000
Iteration52,40.266,82.845,80.000
Iteration53,40.365,82.845,80.000
Iteration54,40.276,82.845,80.000
Iteration55,40.099,84.100,79.512
Iteration56,40.057,84.100,79.512
Iteration57,40.192,82.845,80.000
Iteration58,40.133,82.845,80.000
Iteration59,40.182,82.845,80.000
Iteration60,40.146,82.845,80.000
Iteration61,40.083,82.845,80.000
Iteration62,40.200,82.845,80.000
Iteration63,40.126,85.983,82.927
Iteration64,39.890,85.983,82.927
Iteration65,39.957,82.218,79.512
Iteration66,39.750,82.218,78.537
Iteration67,39.883,81.590,77.561
Iteration68,39.876,81.590,77.561
Iteration69,39.761,81.590,77.561
Iteration70,39.576,81.590,77.561
Iteration71,39.420,84.100,81.951
Iteration72,39.532,84.100,81.951
Iteration73,39.472,84.519,82.927
Iteration74,39.315,84.519,82.927
Iteration75,39.183,84.519,82.927
Iteration76,39.203,82.845,79.024
Iteration77,39.191,85.146,83.415
Iteration78,39.085,85.146,83.415
Iteration79,38.938,84.728,81.463
Iteration80,38.751,85.565,82.439
Iteration81,38.636,85.565,82.439
Iteration82,38.651,85.565,82.439
Iteration83,38.765,85.565,82.439
Iteration84,38.882,85.565,82.439
Iteration85,39.065,85.565,82.439
Iteration86,38.924,85.565,82.439
Iteration87,38.900,85.565,82.439
Iteration88,38.869,85.565,82.439
Iteration89,38.756,85.565,82.439
Iteration90,38.872,85.565,82.439
Iteration91,38.885,85.565,82.439
Iteration92,38.926,84.937,81.951
Iteration93,38.527,84.937,81.951
Iteration94,38.485,84.937,81.951
Iteration95,38.292,84.937,81.951
Iteration96,38.526,84.937,81.951
Iteration97,38.365,85.356,83.415
Iteration98,38.444,85.356,83.415
Iteration99,38.202,85.356,83.415
Iteration100,38.028,84.937,81.951
Iteration101,38.009,84.937,81.951
Iteration102,37.886,84.937,81.951
Iteration103,37.920,84.937,81.951
Iteration104,37.971,85.146,82.927
Iteration105,37.675,85.146,82.927
Iteration106,37.635,84.937,81.951
Iteration107,37.596,84.937,81.951
Iteration108,37.451,83.682,81.463
Iteration109,37.348,84.937,81.951
Iteration110,37.367,84.937,81.951
Iteration111,37.423,84.937,81.951
Iteration112,37.439,84.937,81.951
Iteration113,37.330,84.937,81.951
Iteration114,37.109,84.937,81.951
Iteration115,37.186,84.519,82.439
Iteration116,37.062,84.937,81.951
Iteration117,37.007,83.682,80.000
Iteration118,37.035,83.682,80.000
Iteration119,36.965,83.682,80.000
Iteration120,36.873,83.682,79.512
Iteration121,36.887,83.682,79.512
Iteration122,36.813,85.774,84.390
Iteration123,36.636,86.192,84.390
Iteration124,36.625,85.774,84.390
Iteration125,36.520,85.774,84.390
Iteration126,36.459,85.774,84.390
Iteration127,36.482,84.937,81.951
Iteration128,36.544,84.310,82.439
Iteration129,36.547,84.310,82.439
Iteration130,36.519,84.937,81.951
Iteration131,36.519,85.146,82.927
Iteration132,36.563,80.753,76.098
Iteration133,36.530,82.845,80.976
Iteration134,36.517,82.845,80.976
Iteration135,36.492,82.845,80.976
Iteration136,36.489,82.845,80.976
Iteration137,36.449,82.845,80.976
Iteration138,36.513,82.845,80.976
Iteration139,36.543,82.845,80.976
Iteration140,36.496,83.682,80.000
Iteration141,36.489,82.845,81.951
Iteration142,36.485,82.845,81.951
Iteration143,36.496,82.845,81.951
Iteration144,36.442,82.845,81.951
Iteration145,36.392,82.845,81.951
Iteration146,36.461,82.845,81.951
Iteration147,36.381,82.845,81.951
Iteration148,36.358,82.845,81.951
Iteration149,36.354,83.891,82.927
