Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.923,77.406,75.122
Iteration1,66.611,78.452,76.098
Iteration2,63.387,78.452,76.098
Iteration3,61.637,78.452,76.098
Iteration4,61.188,77.615,74.146
Iteration5,60.097,77.615,74.146
Iteration6,58.458,70.711,64.390
Iteration7,59.022,80.335,80.976
Iteration8,56.575,79.916,79.512
Iteration9,57.519,79.916,79.512
Iteration10,59.047,78.243,75.610
Iteration11,59.115,78.243,77.073
Iteration12,58.423,78.243,77.073
Iteration13,57.359,78.243,77.073
Iteration14,56.729,78.243,77.073
Iteration15,56.513,78.243,77.073
Iteration16,55.523,81.381,78.537
Iteration17,56.886,81.381,78.537
Iteration18,55.855,83.264,83.902
Iteration19,54.892,86.192,81.951
Iteration20,53.442,86.192,81.951
Iteration21,54.640,86.192,81.951
Iteration22,54.575,86.192,81.951
Iteration23,55.793,86.192,81.951
Iteration24,54.549,86.192,81.951
Iteration25,53.578,86.192,81.951
Iteration26,55.429,86.192,81.951
Iteration27,58.897,78.243,75.122
Iteration28,57.195,78.243,75.122
Iteration29,56.980,76.151,72.683
Iteration30,58.028,68.410,65.366
Iteration31,56.657,78.452,77.073
Iteration32,56.195,85.146,86.341
Iteration33,54.289,85.146,86.341
Iteration34,54.155,82.008,76.585
Iteration35,52.557,81.799,80.976
Iteration36,51.907,82.427,85.366
Iteration37,50.131,83.473,80.976
Iteration38,49.202,83.473,80.976
Iteration39,48.717,83.473,80.976
Iteration40,49.214,82.845,78.537
Iteration41,49.029,82.845,78.537
Iteration42,49.422,82.845,78.537
Iteration43,49.289,82.427,78.537
Iteration44,48.455,82.427,78.537
Iteration45,48.712,82.427,78.537
Iteration46,46.907,82.427,78.537
Iteration47,46.048,84.728,80.000
Iteration48,45.621,84.728,80.000
Iteration49,45.934,84.728,80.000
Iteration50,45.949,87.448,82.927
Iteration51,46.090,84.310,80.976
Iteration52,45.571,86.192,81.951
Iteration53,44.507,84.519,82.439
Iteration54,43.790,84.519,82.439
Iteration55,43.432,87.238,83.902
Iteration56,43.183,84.100,82.927
Iteration57,42.964,84.519,82.439
Iteration58,42.976,84.519,82.439
Iteration59,42.979,84.519,82.439
Iteration60,41.727,84.519,82.439
Iteration61,40.057,83.891,82.439
Iteration62,38.932,86.402,81.951
Iteration63,38.727,85.356,85.854
Iteration64,38.061,85.146,83.902
Iteration65,38.094,88.912,87.317
Iteration66,38.178,85.146,83.902
Iteration67,38.305,85.146,83.902
Iteration68,39.184,86.820,83.902
Iteration69,38.799,86.820,83.902
Iteration70,39.316,85.146,83.902
Iteration71,39.465,85.774,80.488
Iteration72,39.903,85.774,80.488
Iteration73,40.589,88.285,88.293
Iteration74,39.589,88.285,88.293
Iteration75,39.564,88.285,88.293
Iteration76,39.273,87.448,86.829
Iteration77,39.234,84.100,78.537
Iteration78,37.358,87.657,88.293
Iteration79,36.339,87.657,88.293
Iteration80,35.966,87.657,88.293
Iteration81,36.331,87.866,89.268
Iteration82,36.478,84.937,84.390
Iteration83,35.549,84.937,84.390
Iteration84,34.370,84.937,84.390
Iteration85,34.631,84.937,84.390
Iteration86,34.067,86.611,83.902
Iteration87,34.234,86.611,83.902
Iteration88,33.320,86.192,85.854
Iteration89,33.277,86.192,85.854
Iteration90,33.623,87.657,84.878
Iteration91,33.438,87.657,84.878
Iteration92,32.787,87.238,83.415
Iteration93,31.844,87.238,83.415
Iteration94,30.657,87.238,83.415
Iteration95,30.621,86.402,86.341
Iteration96,30.392,86.402,86.341
Iteration97,30.050,86.402,86.341
Iteration98,30.605,86.402,86.341
Iteration99,30.773,86.402,86.341
Iteration100,29.679,86.402,86.341
Iteration101,29.573,87.029,86.829
Iteration102,29.399,87.029,86.829
Iteration103,28.972,87.029,86.829
Iteration104,29.227,85.983,85.854
Iteration105,30.160,85.565,85.366
Iteration106,29.935,85.565,85.366
Iteration107,29.198,85.565,85.366
Iteration108,29.382,85.565,85.366
Iteration109,29.035,85.565,85.366
Iteration110,28.588,86.611,85.854
Iteration111,28.776,85.565,85.366
Iteration112,28.523,85.565,85.366
Iteration113,28.326,85.146,83.415
Iteration114,28.411,85.146,83.415
Iteration115,28.299,84.937,83.902
Iteration116,27.865,84.937,83.902
Iteration117,27.767,86.820,86.341
Iteration118,28.372,87.029,87.805
Iteration119,27.697,87.029,87.805
Iteration120,27.644,87.029,87.317
Iteration121,27.536,88.285,88.780
Iteration122,27.313,85.983,84.878
Iteration123,27.498,88.494,85.854
Iteration124,27.450,88.494,85.854
Iteration125,27.803,88.494,87.805
Iteration126,27.387,88.494,87.805
Iteration127,27.533,88.494,87.805
Iteration128,27.333,88.494,87.805
Iteration129,27.177,88.494,87.805
Iteration130,26.747,88.494,87.805
Iteration131,26.857,88.494,89.268
Iteration132,26.682,88.494,89.268
Iteration133,27.012,88.494,87.317
Iteration134,26.458,88.494,87.317
Iteration135,26.397,88.494,87.317
Iteration136,26.316,87.238,86.829
Iteration137,26.561,86.611,85.854
Iteration138,26.120,86.611,85.854
Iteration139,25.727,86.611,85.854
Iteration140,25.711,86.611,85.854
Iteration141,26.125,86.611,85.854
Iteration142,26.147,87.866,88.293
Iteration143,26.063,88.703,89.268
Iteration144,26.541,88.494,87.317
Iteration145,25.662,88.912,86.341
Iteration146,25.546,88.703,87.805
Iteration147,25.794,87.238,87.317
Iteration148,25.456,87.238,87.317
Iteration149,25.086,88.285,86.829
Iteration150,24.991,88.494,87.317
Iteration151,24.950,88.285,87.805
Iteration152,24.717,88.285,87.805
Iteration153,25.097,88.285,87.805
Iteration154,24.847,88.494,87.317
Iteration155,25.078,87.238,85.366
Iteration156,25.286,86.820,89.756
Iteration157,25.571,89.749,87.317
Iteration158,25.512,88.075,89.268
Iteration159,24.638,89.958,87.805
Iteration160,24.754,89.749,87.317
Iteration161,25.356,89.749,87.317
Iteration162,25.657,89.121,86.829
Iteration163,25.169,89.121,86.829
Iteration164,25.331,89.121,86.829
Iteration165,25.645,87.866,86.829
Iteration166,25.416,87.866,86.829
Iteration167,25.349,87.866,86.829
Iteration168,24.855,86.820,90.732
Iteration169,25.001,86.820,90.732
Iteration170,24.722,86.192,85.366
Iteration171,24.734,88.703,88.293
Iteration172,24.532,87.448,86.829
Iteration173,24.685,87.448,86.829
Iteration174,24.573,87.448,86.829
Iteration175,24.475,88.703,87.317
Iteration176,24.383,87.448,86.829
Iteration177,24.362,87.657,85.366
Iteration178,24.416,88.494,88.293
Iteration179,24.481,87.866,88.293
Iteration180,24.152,88.494,88.780
Iteration181,24.289,88.494,87.805
Iteration182,24.149,88.075,89.268
Iteration183,24.137,88.494,90.244
Iteration184,24.093,88.494,87.317
Iteration185,23.839,89.331,91.707
Iteration186,23.748,89.331,91.707
Iteration187,23.696,89.331,91.707
Iteration188,23.436,87.238,88.780
Iteration189,23.395,90.377,90.244
Iteration190,23.499,87.238,88.780
Iteration191,23.354,88.075,88.780
Iteration192,23.551,88.494,89.756
Iteration193,23.808,88.285,89.268
Iteration194,23.505,87.238,88.780
Iteration195,23.669,87.238,88.780
Iteration196,23.728,87.238,88.780
Iteration197,23.775,88.912,89.268
Iteration198,23.808,89.331,89.756
Iteration199,23.963,89.331,89.756
Iteration200,24.172,89.121,87.805
Iteration201,23.977,89.540,88.293
Iteration202,23.823,88.703,89.268
Iteration203,23.945,89.540,89.756
Iteration204,23.491,89.540,89.756
Iteration205,23.494,87.657,90.244
Iteration206,23.590,87.448,88.780
Iteration207,23.343,89.331,90.732
