Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.365,80.753,73.659
Iteration1,63.325,80.753,73.659
Iteration2,62.555,80.753,73.659
Iteration3,57.159,80.753,73.659
Iteration4,54.905,80.753,73.659
Iteration5,50.383,80.753,73.659
Iteration6,48.705,82.008,75.610
Iteration7,44.595,82.008,75.610
Iteration8,43.625,82.008,76.098
Iteration9,42.367,82.008,75.610
Iteration10,41.992,81.590,73.659
Iteration11,40.056,81.590,73.659
Iteration12,40.281,81.590,73.659
Iteration13,40.120,80.962,75.122
Iteration14,40.386,80.753,74.146
Iteration15,39.723,81.172,75.122
Iteration16,39.441,81.381,80.976
Iteration17,39.197,81.172,74.634
Iteration18,39.126,81.172,74.634
Iteration19,39.290,81.172,74.634
Iteration20,39.334,82.845,75.610
Iteration21,39.524,82.845,75.610
Iteration22,38.667,82.845,75.610
Iteration23,38.408,80.962,73.659
Iteration24,38.265,80.962,73.659
Iteration25,38.181,81.172,73.659
Iteration26,38.184,81.172,74.146
Iteration27,38.205,81.172,74.146
Iteration28,38.059,81.172,74.146
Iteration29,38.187,81.172,74.146
Iteration30,38.421,81.590,74.634
Iteration31,38.544,81.172,75.122
Iteration32,38.774,81.172,75.122
Iteration33,38.898,81.172,75.610
Iteration34,38.961,81.381,75.122
Iteration35,38.781,81.172,75.610
Iteration36,38.939,81.172,75.610
Iteration37,39.091,81.590,75.122
Iteration38,38.601,83.264,75.610
Iteration39,38.572,83.264,75.610
Iteration40,38.389,83.264,75.610
Iteration41,38.423,83.264,75.610
Iteration42,38.374,83.264,75.610
Iteration43,38.502,81.799,73.659
Iteration44,38.488,82.845,74.634
Iteration45,38.834,82.845,74.634
Iteration46,38.822,82.845,74.634
Iteration47,38.863,82.845,74.634
Iteration48,38.448,82.845,74.634
Iteration49,38.340,82.845,74.634
Iteration50,38.392,81.381,74.634
Iteration51,38.075,81.381,74.634
Iteration52,37.963,81.381,74.634
Iteration53,38.042,81.381,74.634
Iteration54,38.220,81.381,74.634
Iteration55,38.064,82.008,74.634
Iteration56,38.110,81.381,74.634
Iteration57,38.266,81.172,75.122
Iteration58,38.349,81.381,73.171
Iteration59,38.652,81.381,73.171
Iteration60,38.773,81.381,75.122
Iteration61,38.487,81.799,76.585
Iteration62,38.433,81.381,73.171
Iteration63,38.379,81.381,73.659
Iteration64,38.340,81.381,73.171
Iteration65,38.249,81.381,73.171
Iteration66,38.302,80.962,74.634
Iteration67,38.398,80.962,74.634
Iteration68,38.480,82.218,76.098
Iteration69,38.547,82.218,76.098
Iteration70,38.630,82.218,76.098
Iteration71,38.602,81.799,74.634
Iteration72,38.536,83.054,78.537
Iteration73,38.669,83.054,78.537
Iteration74,38.447,83.054,78.537
Iteration75,38.323,83.054,78.537
Iteration76,38.412,83.891,79.024
Iteration77,38.448,83.473,76.098
Iteration78,38.444,83.054,77.561
Iteration79,38.349,82.845,78.537
Iteration80,38.176,82.845,78.537
Iteration81,38.014,82.845,78.537
Iteration82,38.014,82.427,77.073
Iteration83,37.816,82.845,78.537
Iteration84,37.780,82.845,78.537
Iteration85,37.838,82.845,78.537
Iteration86,37.723,82.845,78.537
Iteration87,37.285,83.473,78.537
Iteration88,37.139,83.473,78.537
Iteration89,36.963,82.008,78.049
Iteration90,37.056,85.356,80.976
Iteration91,37.205,85.356,80.976
Iteration92,37.241,83.054,77.561
Iteration93,37.528,83.054,77.561
Iteration94,37.551,83.054,77.561
Iteration95,37.260,83.054,77.561
Iteration96,36.854,83.054,77.561
Iteration97,36.866,84.519,80.488
Iteration98,37.268,84.519,80.488
Iteration99,36.903,84.519,80.488
Iteration100,36.994,84.519,80.488
Iteration101,36.891,81.172,77.073
Iteration102,36.572,83.682,80.000
Iteration103,36.690,83.682,80.000
Iteration104,36.830,83.682,80.000
Iteration105,36.525,83.891,79.512
Iteration106,36.701,83.891,79.512
Iteration107,37.041,83.682,80.000
Iteration108,37.344,83.682,80.000
Iteration109,37.541,83.891,78.537
Iteration110,37.215,83.891,78.537
Iteration111,36.835,83.891,78.537
Iteration112,36.838,83.473,80.488
Iteration113,36.733,83.891,78.537
Iteration114,36.974,83.682,79.512
Iteration115,36.700,83.682,79.512
Iteration116,36.612,83.682,79.512
Iteration117,36.440,83.264,77.561
Iteration118,36.336,83.264,80.000
Iteration119,36.500,84.728,80.000
Iteration120,36.516,84.728,79.024
Iteration121,36.284,84.728,79.024
Iteration122,36.238,82.218,78.537
Iteration123,36.308,82.636,80.488
Iteration124,36.285,82.218,77.561
Iteration125,36.155,82.218,78.049
Iteration126,36.165,83.054,78.049
Iteration127,36.146,83.473,78.049
Iteration128,36.399,82.218,78.049
Iteration129,36.570,80.126,79.024
Iteration130,36.704,83.473,77.561
Iteration131,36.853,82.845,78.049
Iteration132,36.986,82.845,78.537
Iteration133,37.082,82.845,78.537
Iteration134,37.198,83.264,79.024
Iteration135,37.204,82.845,78.537
Iteration136,36.929,82.845,78.537
Iteration137,36.992,82.845,78.537
Iteration138,37.033,82.845,78.537
Iteration139,36.877,81.799,76.098
Iteration140,37.268,82.427,77.073
Iteration141,37.070,81.381,76.098
Iteration142,36.807,81.799,76.098
Iteration143,36.775,82.427,77.073
Iteration144,36.666,82.636,77.073
Iteration145,36.608,82.008,77.561
Iteration146,36.684,82.008,77.561
Iteration147,36.682,82.427,77.561
Iteration148,36.562,82.427,77.561
Iteration149,36.788,82.008,77.561
Iteration150,36.753,82.008,77.561
Iteration151,36.529,82.427,77.073
Iteration152,36.669,82.427,77.561
Iteration153,36.874,82.427,77.561
Iteration154,37.043,81.590,77.561
Iteration155,37.176,81.590,77.561
Iteration156,37.367,81.590,77.561
Iteration157,37.590,80.126,77.073
Iteration158,37.396,80.126,77.073
Iteration159,37.497,80.544,76.585
Iteration160,37.490,80.126,77.073
Iteration161,37.318,80.962,78.049
Iteration162,36.988,82.008,80.976
Iteration163,36.557,82.218,80.976
Iteration164,36.749,82.008,79.024
Iteration165,36.902,83.054,79.024
Iteration166,37.011,83.054,79.024
Iteration167,36.958,82.427,78.049
Iteration168,36.849,81.172,78.537
Iteration169,36.563,81.172,78.537
Iteration170,36.659,82.218,79.512
Iteration171,36.623,82.218,79.512
Iteration172,37.138,82.427,78.537
Iteration173,36.938,82.427,78.537
Iteration174,37.145,82.427,78.537
Iteration175,36.779,81.799,78.537
Iteration176,36.762,81.799,78.537
Iteration177,36.536,80.335,77.561
Iteration178,36.785,80.335,77.561
Iteration179,36.681,80.335,77.561
Iteration180,36.686,81.381,78.049
Iteration181,36.606,81.381,78.049
Iteration182,36.628,83.682,79.512
Iteration183,36.685,84.100,78.537
Iteration184,36.320,84.100,78.049
Iteration185,36.143,84.100,78.049
Iteration186,36.211,84.100,78.049
Iteration187,36.515,84.100,78.049
Iteration188,36.314,84.100,78.049
Iteration189,36.037,84.100,78.049
Iteration190,35.966,84.100,79.512
Iteration191,36.107,84.100,79.512
Iteration192,35.865,82.845,81.951
Iteration193,35.728,84.310,79.024
Iteration194,35.790,84.310,79.024
Iteration195,35.937,84.310,79.024
Iteration196,35.804,84.519,79.024
Iteration197,35.801,84.519,79.024
Iteration198,35.558,84.519,79.024
Iteration199,35.425,84.519,79.024
Iteration200,35.311,84.310,78.537
Iteration201,35.443,84.310,81.951
Iteration202,35.553,84.310,81.951
Iteration203,35.671,84.310,81.951
Iteration204,35.649,84.310,81.951
Iteration205,35.714,84.310,78.049
Iteration206,35.634,84.310,78.049
Iteration207,35.333,85.356,82.439
Iteration208,35.464,85.356,82.439
Iteration209,35.378,85.356,82.439
Iteration210,35.034,85.565,80.976
Iteration211,34.931,85.565,80.976
Iteration212,34.857,85.565,80.976
Iteration213,34.590,83.682,81.463
Iteration214,34.599,83.682,81.463
Iteration215,34.516,83.891,79.024
Iteration216,34.316,83.891,79.024
Iteration217,34.560,83.891,79.024
Iteration218,34.590,84.728,81.463
Iteration219,34.376,84.728,81.951
Iteration220,34.581,84.728,81.951
Iteration221,34.819,84.310,81.463
Iteration222,35.040,84.310,81.463
Iteration223,34.853,84.310,81.463
Iteration224,34.847,84.310,81.463
Iteration225,35.218,84.310,81.463
Iteration226,35.489,84.728,82.927
Iteration227,34.818,84.728,82.927
Iteration228,34.755,83.682,80.488
Iteration229,34.410,83.682,80.488
Iteration230,34.557,83.682,80.488
