Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,68.260,74.059,78.049
Iteration1,66.451,74.059,78.049
Iteration2,64.968,76.569,76.098
Iteration3,63.610,81.381,83.415
Iteration4,62.251,76.987,67.317
Iteration5,62.648,80.962,76.585
Iteration6,59.647,80.962,76.585
Iteration7,59.232,80.962,76.585
Iteration8,59.692,80.962,76.585
Iteration9,59.364,80.962,76.585
Iteration10,59.788,80.544,79.024
Iteration11,59.552,73.013,70.244
Iteration12,61.071,82.845,80.976
Iteration13,60.897,82.845,80.976
Iteration14,60.634,82.845,80.976
Iteration15,60.152,82.845,80.976
Iteration16,61.020,82.845,80.976
Iteration17,59.224,79.079,76.098
Iteration18,59.115,79.079,76.098
Iteration19,59.535,78.661,77.561
Iteration20,58.593,79.498,73.659
Iteration21,57.487,85.983,81.463
Iteration22,58.268,81.590,79.512
Iteration23,57.893,80.753,80.976
Iteration24,58.137,80.335,80.488
Iteration25,58.751,82.636,80.000
Iteration26,57.846,82.636,80.000
Iteration27,57.780,85.146,87.317
Iteration28,54.958,85.146,87.317
Iteration29,55.369,77.615,69.268
Iteration30,55.737,83.054,80.976
Iteration31,56.375,77.615,69.268
Iteration32,58.506,77.615,69.268
Iteration33,57.467,77.615,69.268
Iteration34,57.836,80.962,80.976
Iteration35,56.801,84.310,81.951
Iteration36,55.909,83.054,79.512
Iteration37,56.010,82.845,80.976
Iteration38,56.098,85.565,88.780
Iteration39,55.320,75.732,76.585
Iteration40,54.437,75.732,76.585
Iteration41,55.364,85.774,82.927
Iteration42,54.170,83.682,78.537
Iteration43,55.472,71.967,77.073
Iteration44,55.637,78.452,78.049
Iteration45,55.571,80.335,79.024
Iteration46,55.109,82.636,84.390
Iteration47,54.355,82.636,84.390
Iteration48,54.767,82.008,79.024
Iteration49,53.629,82.008,79.024
Iteration50,52.793,82.008,79.024
Iteration51,52.990,80.126,81.463
Iteration52,53.160,86.820,83.902
Iteration53,51.113,84.310,81.463
Iteration54,50.715,84.310,81.463
Iteration55,50.975,84.937,81.951
Iteration56,50.241,81.799,79.024
Iteration57,49.422,80.544,80.000
Iteration58,48.683,84.310,83.902
Iteration59,47.613,85.146,80.976
Iteration60,47.035,85.146,80.976
Iteration61,46.943,85.146,80.976
Iteration62,46.962,82.636,80.488
Iteration63,45.464,80.544,80.488
Iteration64,46.304,80.544,80.488
Iteration65,46.708,85.774,82.927
Iteration66,46.511,84.310,83.415
Iteration67,46.867,81.381,81.463
Iteration68,46.729,85.356,82.927
Iteration69,46.495,85.356,82.927
Iteration70,45.418,85.146,85.854
Iteration71,44.853,87.657,86.341
Iteration72,44.748,87.029,91.707
Iteration73,43.368,87.029,91.707
Iteration74,43.910,87.029,91.707
Iteration75,42.802,87.029,91.707
Iteration76,43.214,85.983,87.805
Iteration77,42.252,85.983,87.805
Iteration78,41.478,84.310,84.390
Iteration79,42.189,84.310,84.390
Iteration80,41.009,84.310,84.390
Iteration81,40.135,84.310,84.390
Iteration82,40.117,85.565,85.366
Iteration83,39.342,84.937,85.366
Iteration84,39.521,84.937,85.366
Iteration85,39.388,86.402,86.829
Iteration86,38.104,86.402,86.829
Iteration87,38.584,86.192,86.341
Iteration88,37.951,86.192,86.341
Iteration89,37.808,87.029,90.244
Iteration90,37.545,86.192,85.366
Iteration91,37.099,86.192,85.366
Iteration92,36.579,86.192,85.366
Iteration93,36.680,83.891,83.415
Iteration94,36.175,86.192,84.878
Iteration95,35.605,86.402,85.854
Iteration96,35.331,87.448,86.341
Iteration97,35.505,87.866,88.780
Iteration98,35.275,86.402,87.805
Iteration99,35.425,85.983,84.390
Iteration100,34.736,85.983,84.390
Iteration101,34.482,86.402,87.805
Iteration102,34.673,85.983,85.854
Iteration103,35.196,87.448,85.854
Iteration104,34.930,87.029,87.805
Iteration105,34.572,88.703,88.780
Iteration106,34.486,86.402,86.341
Iteration107,34.607,86.192,88.293
Iteration108,34.365,87.657,89.756
Iteration109,33.883,87.238,86.341
Iteration110,33.201,87.238,86.341
Iteration111,33.051,87.029,86.341
Iteration112,32.646,87.448,88.780
Iteration113,32.701,88.703,89.756
Iteration114,32.484,88.703,89.756
Iteration115,31.719,88.703,89.756
Iteration116,31.938,88.703,89.756
Iteration117,31.723,88.075,89.268
Iteration118,32.290,89.121,91.220
Iteration119,32.069,89.121,91.220
Iteration120,31.600,89.121,91.220
Iteration121,31.615,89.121,91.220
Iteration122,31.382,89.121,91.220
Iteration123,31.110,89.121,91.220
Iteration124,30.204,88.285,87.805
Iteration125,30.132,87.448,87.805
Iteration126,29.959,87.238,87.805
Iteration127,29.963,87.238,87.805
Iteration128,30.021,87.238,87.805
Iteration129,29.756,87.238,87.805
Iteration130,29.702,87.238,87.805
Iteration131,29.703,87.866,89.268
Iteration132,29.568,88.075,90.732
Iteration133,29.654,88.285,90.244
Iteration134,29.484,88.285,90.244
Iteration135,29.363,87.657,89.268
Iteration136,28.951,87.657,87.317
Iteration137,28.974,87.657,87.317
Iteration138,28.633,87.029,89.268
Iteration139,28.202,87.029,89.268
Iteration140,28.475,88.703,92.683
Iteration141,28.618,88.703,89.268
Iteration142,28.469,88.703,89.268
Iteration143,28.195,87.448,87.317
Iteration144,28.148,87.448,87.317
Iteration145,28.338,87.448,87.317
Iteration146,28.382,87.448,87.317
Iteration147,28.647,90.586,91.707
Iteration148,28.725,88.703,90.732
Iteration149,28.375,88.285,87.805
Iteration150,28.469,88.494,91.220
Iteration151,27.898,89.121,88.293
Iteration152,28.287,89.540,89.756
Iteration153,27.765,88.494,86.341
Iteration154,27.787,88.494,86.341
Iteration155,27.843,88.703,88.780
Iteration156,27.489,87.448,87.805
Iteration157,27.268,87.238,89.756
Iteration158,27.177,87.657,88.293
Iteration159,27.158,88.075,87.317
Iteration160,27.135,87.029,86.341
Iteration161,26.876,87.029,86.341
Iteration162,27.140,87.029,86.341
Iteration163,26.922,87.029,86.341
Iteration164,26.818,88.075,89.268
Iteration165,26.777,87.866,89.756
Iteration166,26.505,89.331,89.756
Iteration167,26.470,90.586,92.195
Iteration168,26.118,88.912,90.244
Iteration169,26.211,89.540,90.732
Iteration170,26.362,89.540,90.732
Iteration171,25.956,89.749,91.220
Iteration172,25.787,89.749,91.220
Iteration173,25.841,89.749,91.220
Iteration174,25.708,88.075,88.293
Iteration175,25.372,87.238,90.244
Iteration176,25.244,88.912,90.244
Iteration177,25.126,88.075,89.756
Iteration178,25.327,89.540,89.756
Iteration179,25.053,88.075,88.780
Iteration180,24.687,88.075,88.780
Iteration181,24.908,88.075,88.780
Iteration182,25.065,88.075,88.780
Iteration183,24.737,88.703,90.244
Iteration184,24.455,88.703,90.244
Iteration185,24.316,88.494,88.780
Iteration186,24.529,89.540,89.268
Iteration187,24.657,88.703,90.244
Iteration188,24.763,89.121,88.780
Iteration189,24.505,89.540,89.268
Iteration190,24.591,88.703,89.268
Iteration191,24.643,88.703,89.268
Iteration192,24.778,88.703,89.268
Iteration193,24.402,88.075,89.756
Iteration194,24.352,90.167,89.268
Iteration195,24.262,90.167,89.268
Iteration196,24.324,89.749,90.244
Iteration197,24.141,89.540,94.146
Iteration198,23.963,89.540,94.146
Iteration199,23.747,88.912,89.268
Iteration200,24.050,87.866,90.732
Iteration201,23.843,87.866,90.244
Iteration202,23.720,87.866,90.244
Iteration203,23.722,88.075,91.220
Iteration204,23.457,88.075,91.220
Iteration205,23.331,89.540,91.220
Iteration206,23.611,90.586,89.756
Iteration207,23.470,89.121,89.756
Iteration208,23.518,88.703,90.732
Iteration209,23.405,89.331,90.244
Iteration210,23.525,89.331,90.244
Iteration211,23.304,89.331,90.244
Iteration212,23.487,89.121,90.244
Iteration213,23.436,90.377,89.268
Iteration214,23.139,88.494,90.244
Iteration215,23.165,89.540,89.756
Iteration216,23.015,87.238,90.244
Iteration217,22.947,89.540,88.780
Iteration218,22.883,89.121,89.268
Iteration219,22.955,89.121,89.268
Iteration220,22.937,88.912,88.293
Iteration221,22.647,90.167,90.732
Iteration222,23.156,89.540,91.220
Iteration223,22.920,89.331,88.780
Iteration224,23.096,89.540,89.268
Iteration225,22.948,89.749,89.756
Iteration226,23.152,88.912,88.780
Iteration227,22.998,89.121,90.732
Iteration228,23.035,91.004,90.244
Iteration229,22.875,91.004,90.244
Iteration230,23.054,89.540,91.220
Iteration231,23.085,89.540,91.220
Iteration232,22.948,89.121,90.732
Iteration233,22.703,89.121,90.732
Iteration234,22.703,89.121,87.805
Iteration235,22.867,89.121,87.805
Iteration236,22.626,89.749,89.756
Iteration237,22.182,89.121,89.756
Iteration238,22.063,89.121,89.756
Iteration239,22.354,89.121,89.756
