Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.690,82.427,84.878
Iteration1,63.451,82.427,84.878
Iteration2,60.971,82.427,84.878
Iteration3,59.629,82.427,84.878
Iteration4,57.895,82.427,84.878
Iteration5,55.454,84.100,85.854
Iteration6,53.462,87.657,86.829
Iteration7,50.831,87.657,86.829
Iteration8,49.972,87.657,86.829
Iteration9,49.688,87.657,86.829
Iteration10,49.838,84.310,86.829
Iteration11,48.913,84.310,86.829
Iteration12,47.336,88.285,86.341
Iteration13,45.617,86.820,87.805
Iteration14,44.808,82.427,82.927
Iteration15,44.629,82.427,82.927
Iteration16,43.446,82.427,82.927
Iteration17,42.805,88.285,85.366
Iteration18,42.882,88.285,85.366
Iteration19,41.695,88.285,85.366
Iteration20,41.424,88.285,85.366
Iteration21,41.524,88.285,85.366
Iteration22,40.517,86.820,88.293
Iteration23,39.218,86.192,87.317
Iteration24,38.889,86.192,87.317
Iteration25,38.561,88.285,85.366
Iteration26,38.394,88.285,85.366
Iteration27,38.219,88.285,85.366
Iteration28,38.225,85.983,85.366
Iteration29,37.579,86.820,85.854
Iteration30,37.395,86.402,85.854
Iteration31,37.068,83.264,85.366
Iteration32,36.975,86.402,85.854
Iteration33,36.900,85.774,81.951
Iteration34,36.829,89.540,87.805
Iteration35,36.646,89.540,87.805
Iteration36,36.712,89.540,87.805
Iteration37,36.581,85.774,81.951
Iteration38,36.516,85.774,81.951
Iteration39,36.221,83.891,85.366
Iteration40,35.945,82.636,84.878
Iteration41,36.138,84.937,88.293
Iteration42,36.285,84.937,88.293
Iteration43,36.167,83.891,81.463
Iteration44,36.218,83.891,81.463
Iteration45,36.149,88.075,88.293
Iteration46,36.114,88.075,88.293
Iteration47,35.856,88.075,88.293
Iteration48,35.794,88.075,88.293
Iteration49,35.663,88.075,88.293
Iteration50,35.446,87.866,85.366
Iteration51,35.344,87.866,88.780
Iteration52,35.419,87.866,88.780
Iteration53,35.408,87.866,88.780
Iteration54,35.143,87.866,88.780
Iteration55,35.104,88.703,83.415
Iteration56,35.058,88.703,83.415
Iteration57,34.974,87.029,85.366
Iteration58,35.101,88.703,83.415
Iteration59,34.981,88.703,83.415
Iteration60,35.072,88.703,83.415
Iteration61,34.890,88.703,83.415
Iteration62,35.079,87.657,82.927
Iteration63,35.011,88.494,87.805
Iteration64,35.003,88.912,87.317
Iteration65,35.172,88.912,87.317
Iteration66,34.939,87.029,83.902
Iteration67,34.711,87.029,83.415
Iteration68,34.541,87.657,85.366
Iteration69,34.515,87.657,85.366
Iteration70,34.414,86.402,85.854
Iteration71,34.279,86.402,85.854
Iteration72,34.314,84.519,80.976
Iteration73,34.383,83.891,82.439
Iteration74,34.346,86.192,82.927
Iteration75,34.258,86.192,82.927
Iteration76,34.312,86.192,82.927
Iteration77,34.328,86.192,82.927
Iteration78,34.213,86.192,82.927
Iteration79,34.150,86.192,82.927
Iteration80,34.128,81.590,79.024
Iteration81,34.319,81.590,79.024
Iteration82,34.297,81.590,79.024
Iteration83,34.152,87.029,86.341
Iteration84,34.019,81.590,79.024
Iteration85,34.032,85.146,81.951
Iteration86,34.196,81.799,79.024
Iteration87,34.086,81.590,79.024
Iteration88,34.146,83.682,81.951
Iteration89,34.019,83.264,80.000
Iteration90,34.152,83.473,79.024
Iteration91,34.112,85.983,82.439
Iteration92,33.982,85.774,82.439
Iteration93,33.909,85.356,83.415
Iteration94,33.956,84.100,82.439
Iteration95,33.960,84.728,83.902
Iteration96,34.070,84.728,83.902
Iteration97,33.999,84.728,83.902
Iteration98,33.974,84.728,83.902
Iteration99,34.170,84.937,82.927
Iteration100,34.274,82.427,81.463
Iteration101,34.338,85.565,84.878
Iteration102,34.254,83.473,80.488
Iteration103,34.231,83.473,80.488
Iteration104,34.289,85.774,84.390
Iteration105,34.065,85.774,84.390
Iteration106,33.926,85.565,81.463
Iteration107,33.710,85.565,81.463
Iteration108,33.878,85.565,81.951
Iteration109,33.737,85.565,81.951
Iteration110,33.540,85.565,81.951
Iteration111,33.590,85.565,81.951
Iteration112,33.698,85.565,81.951
Iteration113,33.653,88.285,86.341
Iteration114,33.520,85.565,81.951
Iteration115,33.488,85.356,84.878
Iteration116,33.385,85.356,84.878
Iteration117,33.164,85.356,84.878
Iteration118,33.214,85.356,82.927
Iteration119,33.236,86.820,83.902
Iteration120,33.203,86.611,84.878
Iteration121,33.127,85.356,82.439
Iteration122,32.952,85.356,82.439
Iteration123,32.902,88.075,86.341
Iteration124,32.779,88.075,86.341
Iteration125,32.908,88.075,86.341
Iteration126,33.200,87.448,83.415
Iteration127,33.055,87.448,83.415
Iteration128,32.890,87.657,84.878
Iteration129,32.763,87.657,84.878
Iteration130,32.696,85.983,84.390
Iteration131,32.603,85.983,84.390
Iteration132,32.285,85.565,83.902
Iteration133,32.348,85.356,84.878
Iteration134,32.133,85.565,84.878
Iteration135,32.322,86.402,81.951
Iteration136,32.064,86.402,81.951
Iteration137,31.967,84.728,82.927
Iteration138,31.832,86.820,84.390
Iteration139,31.533,86.820,84.390
Iteration140,31.594,85.983,85.854
Iteration141,31.510,88.075,84.878
Iteration142,31.542,88.075,84.878
Iteration143,31.606,86.402,83.415
Iteration144,31.569,86.402,83.415
Iteration145,31.691,88.703,87.317
Iteration146,31.393,87.448,85.366
Iteration147,31.423,88.703,87.317
Iteration148,31.251,86.402,83.902
Iteration149,31.353,86.402,83.902
Iteration150,31.249,86.402,83.902
Iteration151,31.067,86.402,83.902
Iteration152,31.063,86.611,84.390
Iteration153,31.053,86.820,85.366
Iteration154,30.920,86.820,85.366
Iteration155,30.832,86.820,85.366
Iteration156,30.839,86.820,85.366
Iteration157,30.979,86.820,85.366
Iteration158,30.980,86.820,85.366
Iteration159,30.892,86.820,85.366
Iteration160,31.044,87.029,84.878
Iteration161,30.888,87.238,85.366
Iteration162,30.740,87.238,85.366
Iteration163,30.747,87.657,86.341
Iteration164,30.957,86.820,85.366
Iteration165,30.679,87.866,86.341
Iteration166,30.610,86.820,85.366
Iteration167,30.769,86.820,85.366
Iteration168,30.648,86.820,85.366
Iteration169,30.805,86.820,85.366
Iteration170,30.640,86.820,85.366
Iteration171,30.578,86.820,85.366
Iteration172,30.352,86.820,85.366
Iteration173,30.252,86.820,85.366
Iteration174,30.247,86.402,85.366
Iteration175,30.214,86.402,85.366
Iteration176,30.225,87.866,86.341
Iteration177,29.992,86.611,84.878
Iteration178,30.161,86.820,87.317
Iteration179,30.187,86.192,83.415
Iteration180,30.308,86.192,83.415
Iteration181,30.181,86.192,83.415
Iteration182,30.090,86.192,83.415
Iteration183,30.209,86.192,83.415
Iteration184,30.359,86.192,83.415
Iteration185,30.069,86.192,84.390
Iteration186,29.836,86.192,83.415
Iteration187,29.788,85.983,83.415
Iteration188,29.910,86.192,83.415
Iteration189,29.949,86.192,83.415
Iteration190,29.851,86.192,83.415
Iteration191,29.702,86.820,84.878
Iteration192,29.632,86.820,84.878
Iteration193,29.623,87.448,86.829
Iteration194,29.583,86.192,83.415
Iteration195,29.364,86.192,83.415
Iteration196,29.411,85.565,86.829
Iteration197,29.558,85.565,86.829
Iteration198,29.640,85.565,82.927
Iteration199,29.734,85.565,85.366
Iteration200,29.648,85.565,85.366
Iteration201,29.492,85.565,85.366
Iteration202,29.513,85.565,85.366
Iteration203,29.501,85.565,85.366
Iteration204,29.578,85.356,85.366
Iteration205,29.517,85.356,85.366
Iteration206,29.377,85.356,85.366
Iteration207,29.473,87.029,86.341
Iteration208,29.486,87.029,86.341
Iteration209,29.451,87.029,86.341
Iteration210,29.425,85.774,85.854
Iteration211,29.439,86.611,85.854
Iteration212,29.485,85.356,85.366
Iteration213,29.458,87.448,84.390
Iteration214,29.374,87.448,84.390
Iteration215,29.266,87.448,84.390
Iteration216,29.382,85.774,83.902
Iteration217,29.337,85.774,83.902
Iteration218,29.354,85.774,83.902
Iteration219,29.288,85.774,83.902
Iteration220,29.278,85.774,83.902
Iteration221,29.415,85.774,83.902
Iteration222,29.236,85.983,82.439
Iteration223,29.212,87.238,83.902
Iteration224,29.007,87.448,85.366
Iteration225,28.994,87.866,85.366
Iteration226,28.915,87.448,85.366
Iteration227,28.918,87.238,85.366
Iteration228,28.939,88.075,85.366
Iteration229,28.745,88.075,85.366
Iteration230,28.829,88.075,85.366
Iteration231,28.967,88.075,85.366
Iteration232,28.958,87.657,84.878
Iteration233,28.921,87.866,85.854
Iteration234,29.032,87.238,85.366
Iteration235,29.068,86.192,83.415
Iteration236,29.117,86.820,82.927
Iteration237,29.050,86.820,82.927
Iteration238,28.884,86.820,82.927
Iteration239,28.760,89.540,90.244
Iteration240,28.604,89.749,90.244
Iteration241,28.440,87.029,82.927
Iteration242,28.500,87.238,83.415
Iteration243,28.407,87.029,82.927
Iteration244,28.359,86.820,85.366
Iteration245,28.270,87.029,82.927
Iteration246,28.349,87.238,83.415
Iteration247,28.201,87.238,83.415
Iteration248,28.026,87.238,83.415
Iteration249,27.968,87.238,83.415
Iteration250,27.993,89.331,86.829
Iteration251,27.977,89.331,86.829
Iteration252,27.862,89.121,86.341
Iteration253,27.781,87.866,84.878
Iteration254,27.696,87.866,84.878
Iteration255,27.662,87.866,84.878
Iteration256,27.572,87.866,84.878
Iteration257,27.498,88.075,84.878
Iteration258,27.560,85.774,84.390
Iteration259,27.621,85.774,84.390
Iteration260,27.606,85.774,84.390
Iteration261,27.667,85.774,84.390
Iteration262,27.611,85.774,84.390
Iteration263,27.548,85.565,84.390
Iteration264,27.534,87.238,84.878
Iteration265,27.356,87.238,85.366
Iteration266,27.400,86.820,83.902
Iteration267,27.292,86.820,83.902
Iteration268,27.247,87.238,85.854
Iteration269,27.244,87.238,85.854
Iteration270,27.371,87.238,85.854
Iteration271,27.550,87.238,85.854
Iteration272,27.415,86.820,84.390
Iteration273,27.229,86.820,84.390
Iteration274,27.271,86.820,84.390
Iteration275,27.166,87.238,86.341
Iteration276,27.106,87.238,86.341
Iteration277,27.089,87.238,86.341
Iteration278,27.231,86.402,84.390
Iteration279,27.113,86.402,84.390
Iteration280,27.069,88.075,83.902
Iteration281,26.865,88.075,83.902
Iteration282,26.945,87.866,84.878
Iteration283,26.927,87.866,84.878
Iteration284,26.857,87.866,84.878
Iteration285,26.932,87.866,84.878
Iteration286,27.011,87.866,84.878
Iteration287,26.948,87.657,84.390
Iteration288,26.943,86.820,84.878
Iteration289,27.014,85.983,83.902
Iteration290,26.906,86.611,84.390
Iteration291,26.868,86.402,84.390
Iteration292,26.843,86.611,84.390
Iteration293,26.787,88.075,83.415
Iteration294,26.767,87.029,86.829
Iteration295,26.797,86.611,84.390
Iteration296,26.880,86.611,84.390
Iteration297,27.029,87.238,82.927
Iteration298,26.976,87.238,82.927
Iteration299,26.949,87.238,82.927
Iteration300,26.969,87.238,82.927
Iteration301,27.027,87.238,82.927
Iteration302,26.962,87.238,82.927
Iteration303,26.833,85.983,84.390
Iteration304,26.634,87.238,82.927
Iteration305,26.583,88.285,85.366
Iteration306,26.487,88.285,85.366
Iteration307,26.466,88.285,85.366
Iteration308,26.334,88.285,85.366
Iteration309,26.222,87.029,84.878
Iteration310,26.169,88.285,85.366
