Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,68.475,78.243,76.098
Iteration1,65.804,78.243,76.098
Iteration2,62.116,80.126,78.537
Iteration3,61.119,79.079,79.024
Iteration4,58.908,80.335,80.000
Iteration5,57.576,80.335,80.000
Iteration6,56.455,69.665,64.878
Iteration7,55.675,69.665,64.878
Iteration8,55.208,69.665,64.878
Iteration9,53.846,69.665,64.878
Iteration10,53.025,69.665,64.878
Iteration11,52.842,69.665,64.878
Iteration12,52.158,69.665,64.878
Iteration13,51.275,69.665,64.878
Iteration14,50.753,69.665,64.878
Iteration15,50.811,74.686,70.732
Iteration16,50.685,69.665,64.878
Iteration17,50.452,75.941,77.073
Iteration18,50.082,75.941,77.073
Iteration19,49.941,75.941,77.073
Iteration20,49.657,69.665,64.878
Iteration21,48.846,79.079,77.561
Iteration22,48.718,69.665,64.878
Iteration23,48.887,77.615,79.024
Iteration24,48.673,77.615,79.024
Iteration25,48.594,77.615,79.024
Iteration26,48.074,80.962,76.585
Iteration27,48.112,80.962,76.585
Iteration28,47.903,77.615,79.024
Iteration29,47.918,81.799,78.049
Iteration30,48.248,81.799,78.049
Iteration31,48.324,81.799,78.049
Iteration32,48.193,81.799,78.049
Iteration33,47.725,82.008,82.439
Iteration34,47.902,82.008,82.439
Iteration35,47.887,82.008,82.439
Iteration36,47.541,79.916,79.024
Iteration37,47.390,81.799,78.049
Iteration38,47.397,76.987,73.659
Iteration39,47.721,83.054,81.463
Iteration40,47.298,83.054,81.463
Iteration41,46.467,83.054,81.463
Iteration42,46.289,83.054,81.463
Iteration43,46.375,83.054,81.463
Iteration44,45.835,82.008,81.463
Iteration45,45.578,82.008,81.463
Iteration46,45.107,82.008,81.463
Iteration47,44.504,83.473,81.951
Iteration48,44.753,83.473,81.951
Iteration49,44.967,83.473,81.951
Iteration50,43.446,83.473,81.951
Iteration51,41.975,83.473,81.951
Iteration52,40.432,83.473,81.951
Iteration53,39.009,83.473,81.951
Iteration54,38.266,82.636,81.951
Iteration55,37.471,82.636,81.951
Iteration56,36.331,82.845,80.976
Iteration57,35.596,82.845,80.976
Iteration58,34.910,82.845,80.976
Iteration59,34.720,82.845,80.976
Iteration60,34.383,83.473,81.951
Iteration61,34.256,83.473,81.463
Iteration62,34.009,83.264,80.000
Iteration63,33.972,83.264,80.000
Iteration64,33.948,83.264,80.000
Iteration65,33.869,83.264,80.000
Iteration66,33.967,83.264,80.000
Iteration67,33.836,83.682,81.463
Iteration68,33.739,83.682,81.463
Iteration69,33.733,83.682,81.463
Iteration70,33.732,83.682,81.463
Iteration71,33.698,82.845,81.463
Iteration72,33.655,82.845,81.463
Iteration73,33.628,84.100,81.951
Iteration74,33.563,84.100,81.951
Iteration75,33.544,82.845,81.463
Iteration76,33.519,83.473,81.951
Iteration77,33.490,83.473,81.951
Iteration78,33.484,83.473,81.951
Iteration79,33.488,83.264,81.463
Iteration80,33.528,83.264,81.463
Iteration81,33.510,83.682,80.976
Iteration82,33.458,83.264,81.463
Iteration83,33.454,83.264,81.463
Iteration84,33.444,83.473,81.463
Iteration85,33.438,83.054,80.976
Iteration86,33.445,83.054,80.976
Iteration87,33.435,83.054,80.976
Iteration88,33.425,83.054,80.976
Iteration89,33.411,83.682,83.415
Iteration90,33.434,83.682,83.415
Iteration91,33.423,84.100,83.415
Iteration92,33.403,83.682,78.049
Iteration93,33.387,83.682,83.415
Iteration94,33.397,83.682,83.415
Iteration95,33.399,84.728,80.976
Iteration96,33.372,84.310,83.902
Iteration97,33.380,84.310,83.902
Iteration98,33.380,84.310,83.902
Iteration99,33.387,85.356,83.415
Iteration100,33.392,84.310,83.902
Iteration101,33.421,84.310,83.902
Iteration102,33.403,84.310,83.902
Iteration103,33.368,84.310,83.902
Iteration104,33.373,84.310,83.902
Iteration105,33.346,82.845,80.488
Iteration106,33.370,82.845,80.488
Iteration107,33.438,82.845,80.488
Iteration108,33.435,84.519,80.976
Iteration109,33.371,82.845,80.488
Iteration110,33.425,82.845,80.488
Iteration111,33.412,82.845,80.488
Iteration112,33.466,84.100,82.439
Iteration113,33.402,84.100,82.439
Iteration114,33.410,84.100,82.439
Iteration115,33.372,84.100,82.439
Iteration116,33.345,84.100,82.439
Iteration117,33.408,84.100,82.439
Iteration118,33.348,83.891,84.390
Iteration119,33.343,83.891,84.390
Iteration120,33.364,83.891,84.390
Iteration121,33.348,84.100,84.390
Iteration122,33.352,83.891,84.390
Iteration123,33.302,84.100,84.878
Iteration124,33.329,84.100,84.878
Iteration125,33.344,83.891,83.902
Iteration126,33.318,83.891,83.902
Iteration127,33.329,83.891,83.902
Iteration128,33.354,83.891,83.902
Iteration129,33.366,83.891,83.902
Iteration130,33.296,83.891,83.902
Iteration131,33.248,83.891,83.902
Iteration132,33.224,83.891,83.902
Iteration133,33.333,83.891,83.902
Iteration134,33.355,85.983,82.439
Iteration135,33.235,85.983,82.439
Iteration136,33.263,85.983,82.439
Iteration137,33.275,85.983,82.439
Iteration138,33.305,85.983,82.439
Iteration139,33.311,84.310,84.390
Iteration140,33.342,84.310,84.390
Iteration141,33.346,84.310,84.390
Iteration142,33.314,84.310,84.390
Iteration143,33.311,85.356,83.902
Iteration144,33.304,85.356,83.902
Iteration145,33.308,84.310,84.390
Iteration146,33.346,84.310,83.415
Iteration147,33.352,85.774,82.439
Iteration148,33.271,85.774,82.439
Iteration149,33.285,85.774,82.439
Iteration150,33.286,84.310,83.415
Iteration151,33.318,84.310,83.415
Iteration152,33.320,84.310,83.415
Iteration153,33.340,84.310,83.415
Iteration154,33.365,84.310,83.415
Iteration155,33.371,84.310,83.415
Iteration156,33.398,84.310,83.415
Iteration157,33.385,85.356,83.415
Iteration158,33.370,85.356,83.415
Iteration159,33.371,85.356,83.415
Iteration160,33.358,85.356,83.415
Iteration161,33.303,85.356,83.415
Iteration162,33.350,85.356,83.415
Iteration163,33.370,84.310,83.415
Iteration164,33.385,84.310,83.415
Iteration165,33.419,84.310,83.415
Iteration166,33.430,84.310,83.415
Iteration167,33.387,84.310,83.415
Iteration168,33.379,84.310,83.415
Iteration169,33.400,84.937,83.415
Iteration170,33.440,84.100,78.537
Iteration171,33.441,84.100,78.537
Iteration172,33.467,84.100,78.537
Iteration173,33.492,84.100,78.537
Iteration174,33.462,84.100,78.537
Iteration175,33.446,84.100,78.537
Iteration176,33.493,84.100,78.537
Iteration177,33.475,84.100,78.537
Iteration178,33.422,84.100,78.537
Iteration179,33.363,84.728,80.976
Iteration180,33.339,84.100,78.537
Iteration181,33.415,84.100,78.537
Iteration182,33.446,84.100,78.537
Iteration183,33.515,84.100,78.537
Iteration184,33.565,84.100,78.537
Iteration185,33.624,84.100,78.537
Iteration186,33.643,84.100,78.537
Iteration187,33.649,84.100,78.537
Iteration188,33.579,84.100,78.537
Iteration189,33.586,84.100,78.537
Iteration190,33.598,83.054,80.976
Iteration191,33.633,83.054,80.976
