Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,66.804,84.519,85.366
Iteration1,64.295,82.845,81.951
Iteration2,59.809,82.845,81.951
Iteration3,57.201,82.636,82.439
Iteration4,54.513,82.636,80.976
Iteration5,53.374,82.845,81.951
Iteration6,52.847,82.845,81.951
Iteration7,51.882,82.845,82.439
Iteration8,51.292,82.845,82.439
Iteration9,50.561,85.565,79.512
Iteration10,49.987,85.565,79.512
Iteration11,48.431,85.565,79.512
Iteration12,47.581,85.565,79.512
Iteration13,47.951,85.565,79.512
Iteration14,45.758,85.565,79.512
Iteration15,45.213,89.331,87.317
Iteration16,44.881,84.100,80.976
Iteration17,44.035,84.100,80.976
Iteration18,43.498,88.075,84.390
Iteration19,43.340,84.519,82.927
Iteration20,42.334,83.054,83.415
Iteration21,42.161,84.100,83.902
Iteration22,41.641,84.100,83.902
Iteration23,41.138,84.100,83.902
Iteration24,40.554,84.310,83.415
Iteration25,40.811,84.310,83.415
Iteration26,40.835,83.891,82.439
Iteration27,40.359,83.891,82.439
Iteration28,40.535,84.100,83.902
Iteration29,40.925,84.100,83.902
Iteration30,40.349,87.657,83.902
Iteration31,40.433,87.657,83.902
Iteration32,40.303,87.657,83.902
Iteration33,40.733,87.657,83.902
Iteration34,40.565,87.657,83.902
Iteration35,40.471,88.075,89.268
Iteration36,40.575,88.075,89.268
Iteration37,40.459,88.075,89.268
Iteration38,40.416,88.075,89.268
Iteration39,40.321,86.192,80.976
Iteration40,39.773,86.192,80.976
Iteration41,39.508,86.192,80.976
Iteration42,39.067,86.192,80.976
Iteration43,38.994,86.192,80.976
Iteration44,38.741,86.192,80.976
Iteration45,38.630,86.192,80.976
Iteration46,38.337,86.192,80.976
Iteration47,38.187,86.820,81.951
Iteration48,38.560,86.820,81.951
Iteration49,38.105,86.820,81.951
Iteration50,37.968,88.703,89.756
Iteration51,37.766,88.703,89.756
Iteration52,37.666,88.703,89.756
Iteration53,37.762,87.029,82.439
Iteration54,37.573,87.029,82.439
Iteration55,37.055,87.029,82.439
Iteration56,36.736,87.657,80.976
Iteration57,36.181,87.657,80.976
Iteration58,36.311,87.657,80.976
Iteration59,36.295,87.657,80.976
Iteration60,36.147,87.657,80.976
Iteration61,36.002,85.356,82.927
Iteration62,35.798,88.703,89.268
Iteration63,35.579,88.703,89.268
Iteration64,35.392,87.657,80.976
Iteration65,35.480,87.866,83.902
Iteration66,35.010,89.121,87.805
Iteration67,34.658,89.121,87.805
Iteration68,34.565,86.402,85.366
Iteration69,34.897,87.866,87.805
Iteration70,34.702,87.866,87.805
Iteration71,34.713,87.866,87.317
Iteration72,34.567,87.866,87.317
Iteration73,34.350,87.238,85.366
Iteration74,33.520,89.121,88.293
Iteration75,32.845,89.121,88.293
Iteration76,32.562,89.121,88.293
Iteration77,32.385,89.331,88.293
Iteration78,31.753,89.121,85.854
Iteration79,31.667,87.029,87.805
Iteration80,31.355,87.029,87.805
Iteration81,31.197,87.029,87.805
Iteration82,30.784,87.029,87.805
Iteration83,30.923,87.029,87.805
Iteration84,30.715,88.912,87.317
Iteration85,30.401,88.912,87.317
Iteration86,30.250,88.912,87.317
Iteration87,30.124,88.912,87.317
Iteration88,30.156,88.912,87.317
Iteration89,30.019,88.912,87.317
Iteration90,30.007,88.912,87.317
Iteration91,30.010,88.912,87.317
Iteration92,29.721,88.912,87.317
Iteration93,29.646,87.866,86.829
Iteration94,29.626,85.983,86.829
Iteration95,29.668,87.657,88.293
Iteration96,29.381,85.565,86.341
Iteration97,29.168,85.983,86.829
Iteration98,29.266,87.448,86.829
Iteration99,29.103,88.075,86.341
Iteration100,29.195,88.285,87.805
Iteration101,29.263,88.285,87.805
Iteration102,29.042,87.238,85.854
Iteration103,28.891,87.238,85.854
Iteration104,28.763,87.238,85.854
Iteration105,28.829,87.866,89.268
Iteration106,28.873,88.075,87.805
Iteration107,29.025,88.703,87.317
Iteration108,29.083,87.657,87.317
Iteration109,28.996,87.657,88.293
Iteration110,28.678,88.912,87.317
Iteration111,28.350,88.075,88.293
Iteration112,28.203,88.075,88.293
Iteration113,28.240,88.075,88.293
Iteration114,28.103,88.075,88.293
Iteration115,27.862,88.075,88.293
Iteration116,27.560,88.075,88.293
Iteration117,27.402,88.075,88.293
Iteration118,27.437,88.075,88.293
Iteration119,27.257,88.075,88.293
Iteration120,27.228,87.866,89.268
Iteration121,27.397,87.866,89.268
Iteration122,27.520,88.912,87.805
Iteration123,27.537,87.866,87.805
Iteration124,27.326,88.075,87.317
Iteration125,27.251,88.075,87.317
Iteration126,27.146,88.075,88.293
Iteration127,27.143,88.075,88.293
Iteration128,27.121,88.075,87.317
Iteration129,27.168,88.075,87.317
Iteration130,27.314,88.075,87.317
Iteration131,27.313,88.075,87.317
Iteration132,27.123,88.912,91.220
Iteration133,26.915,88.075,87.317
Iteration134,26.922,88.075,87.317
Iteration135,26.795,88.075,87.317
Iteration136,26.757,88.285,87.317
Iteration137,26.818,88.285,87.317
Iteration138,26.901,88.075,87.317
Iteration139,26.908,88.075,87.317
Iteration140,26.769,88.075,87.317
Iteration141,26.519,88.075,87.317
Iteration142,26.390,88.075,87.317
Iteration143,26.266,88.285,88.780
Iteration144,26.343,88.285,88.780
Iteration145,26.330,87.866,88.293
Iteration146,26.201,88.285,89.268
Iteration147,26.160,88.285,89.268
Iteration148,26.173,88.494,87.805
Iteration149,26.242,88.285,88.293
Iteration150,26.254,88.285,88.293
Iteration151,26.136,88.075,86.829
Iteration152,26.043,88.285,88.293
Iteration153,26.050,89.749,87.317
Iteration154,25.786,88.494,85.854
Iteration155,25.866,89.331,88.293
Iteration156,25.895,89.331,88.293
Iteration157,25.904,88.703,86.341
Iteration158,25.774,88.703,86.341
Iteration159,25.806,88.703,86.341
Iteration160,25.953,89.121,87.805
Iteration161,25.814,89.121,87.805
Iteration162,25.861,89.121,87.805
Iteration163,25.757,88.703,86.829
Iteration164,25.852,88.703,86.829
Iteration165,25.639,88.075,87.805
Iteration166,25.667,88.075,87.805
Iteration167,25.575,88.075,87.805
Iteration168,25.537,87.657,86.829
Iteration169,25.461,88.075,87.805
Iteration170,25.521,88.494,86.829
Iteration171,25.406,88.494,86.829
Iteration172,25.438,88.494,86.829
Iteration173,25.500,89.958,87.317
