Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,67.491,80.544,80.488
Iteration1,64.215,73.222,71.220
Iteration2,63.137,73.222,71.220
Iteration3,61.318,75.105,70.732
Iteration4,61.060,73.849,72.195
Iteration5,61.223,82.636,85.366
Iteration6,60.793,84.728,84.390
Iteration7,60.806,80.544,77.073
Iteration8,59.540,80.544,77.073
Iteration9,58.288,80.544,77.073
Iteration10,57.370,80.544,77.073
Iteration11,57.619,80.544,77.073
Iteration12,58.144,80.544,77.073
Iteration13,56.930,80.544,77.073
Iteration14,56.164,80.544,77.073
Iteration15,56.185,85.356,84.390
Iteration16,57.596,85.356,84.390
Iteration17,57.315,85.356,84.390
Iteration18,57.453,85.356,84.390
Iteration19,56.309,82.008,78.537
Iteration20,57.658,82.008,78.537
Iteration21,56.551,83.054,80.488
Iteration22,55.790,81.590,79.512
Iteration23,55.323,82.218,80.488
Iteration24,54.673,82.218,80.488
Iteration25,53.984,82.218,80.488
Iteration26,52.051,82.218,80.488
Iteration27,50.936,82.218,80.488
Iteration28,50.463,82.218,80.488
Iteration29,50.484,84.728,81.463
Iteration30,49.690,81.381,77.073
Iteration31,48.947,86.820,84.878
Iteration32,47.633,85.356,81.463
Iteration33,47.823,86.820,84.878
Iteration34,48.000,86.820,84.878
Iteration35,46.960,85.146,83.902
Iteration36,47.214,85.146,83.902
Iteration37,45.048,85.146,83.902
Iteration38,45.632,86.402,83.415
Iteration39,45.782,86.402,84.878
Iteration40,45.084,85.146,83.902
Iteration41,45.700,84.728,81.463
Iteration42,44.959,84.728,81.463
Iteration43,44.475,87.238,85.366
Iteration44,42.951,85.356,86.341
Iteration45,42.138,85.356,86.341
Iteration46,41.175,85.356,86.341
Iteration47,40.627,85.774,83.415
Iteration48,40.266,84.728,84.878
Iteration49,40.467,84.728,84.878
Iteration50,40.330,85.565,86.829
Iteration51,39.876,84.728,84.878
Iteration52,39.622,84.728,84.878
Iteration53,39.664,86.820,84.390
Iteration54,39.303,88.285,89.268
Iteration55,39.340,86.611,86.829
Iteration56,38.011,89.331,86.341
Iteration57,37.952,88.494,85.366
Iteration58,37.772,86.192,83.415
Iteration59,38.329,86.611,85.366
Iteration60,36.815,86.611,85.366
Iteration61,37.018,87.657,85.366
Iteration62,36.592,87.657,85.366
Iteration63,36.428,85.565,83.415
Iteration64,34.786,85.983,87.317
Iteration65,34.862,86.820,85.854
Iteration66,34.862,86.820,85.854
Iteration67,35.510,87.866,87.317
Iteration68,34.711,87.866,87.805
Iteration69,34.733,87.866,87.805
Iteration70,33.056,86.820,86.341
Iteration71,32.724,87.029,87.317
Iteration72,32.526,87.029,87.317
Iteration73,32.735,85.356,87.805
Iteration74,32.862,89.540,88.780
Iteration75,32.014,89.540,88.780
Iteration76,30.785,89.540,88.780
Iteration77,31.255,89.540,88.780
Iteration78,30.583,87.448,86.341
Iteration79,30.306,86.192,85.854
Iteration80,30.233,86.192,85.854
Iteration81,30.510,88.494,90.244
Iteration82,30.839,87.657,86.341
Iteration83,30.417,88.285,87.805
Iteration84,30.436,88.285,87.805
Iteration85,30.444,88.285,87.805
Iteration86,30.623,88.285,87.805
Iteration87,30.847,88.285,87.805
Iteration88,29.527,88.285,87.805
Iteration89,29.950,89.331,90.244
Iteration90,29.338,89.331,90.244
Iteration91,29.165,87.448,87.805
Iteration92,29.267,87.448,87.805
Iteration93,29.470,87.448,87.805
Iteration94,29.276,89.121,89.268
Iteration95,28.864,91.213,91.220
Iteration96,28.721,88.912,87.317
Iteration97,28.766,88.912,87.317
Iteration98,28.461,89.540,86.829
Iteration99,28.393,88.494,87.317
Iteration100,28.079,89.749,87.805
Iteration101,28.406,86.820,87.317
Iteration102,28.195,86.820,87.317
Iteration103,27.830,88.912,87.317
Iteration104,27.548,88.285,90.244
Iteration105,27.534,88.285,90.244
Iteration106,27.435,88.285,89.268
Iteration107,27.421,88.285,89.268
Iteration108,26.986,88.285,90.244
Iteration109,27.213,89.121,89.268
Iteration110,26.992,89.121,89.268
Iteration111,26.482,89.121,89.268
Iteration112,26.888,89.749,89.756
Iteration113,26.078,89.331,88.293
Iteration114,26.241,88.494,88.293
Iteration115,25.955,88.494,88.293
Iteration116,25.590,88.494,88.293
Iteration117,26.008,90.377,91.707
Iteration118,25.850,88.912,87.805
Iteration119,25.775,88.494,88.780
Iteration120,25.462,90.167,90.244
Iteration121,25.015,90.167,90.244
Iteration122,25.042,90.167,90.244
Iteration123,25.448,89.121,87.805
Iteration124,25.546,87.866,90.244
Iteration125,25.217,89.331,89.268
Iteration126,25.200,90.167,89.268
Iteration127,25.453,90.167,89.268
Iteration128,25.139,89.331,88.293
Iteration129,24.983,89.331,89.268
Iteration130,24.350,89.540,89.756
Iteration131,24.235,89.540,88.780
Iteration132,24.406,89.540,88.780
Iteration133,24.476,88.912,88.780
Iteration134,24.302,89.331,90.244
Iteration135,24.276,88.494,88.780
Iteration136,24.204,89.958,92.195
Iteration137,24.282,89.958,92.683
Iteration138,24.429,89.958,92.683
Iteration139,24.259,89.749,91.220
Iteration140,23.946,89.749,90.732
Iteration141,23.557,89.749,90.732
Iteration142,23.901,89.749,90.732
Iteration143,24.110,89.749,90.732
Iteration144,24.246,88.912,90.732
Iteration145,24.457,90.167,90.244
Iteration146,24.286,88.494,88.780
Iteration147,24.708,88.494,88.780
Iteration148,24.318,91.004,92.195
Iteration149,24.047,88.703,89.268
Iteration150,24.199,88.912,88.780
Iteration151,24.030,88.703,89.268
Iteration152,23.749,88.703,92.195
Iteration153,23.971,89.540,88.293
Iteration154,24.307,88.285,90.732
Iteration155,24.067,89.540,90.244
Iteration156,23.539,90.377,90.732
Iteration157,23.684,89.331,89.756
Iteration158,23.900,89.331,89.756
Iteration159,24.254,89.331,89.268
Iteration160,23.957,89.331,89.268
Iteration161,24.010,89.121,87.317
Iteration162,24.002,88.912,90.244
Iteration163,23.877,88.703,88.293
Iteration164,24.140,89.331,90.244
Iteration165,24.157,89.331,90.244
Iteration166,23.838,88.912,90.732
Iteration167,23.907,90.586,90.732
Iteration168,24.048,91.004,90.244
Iteration169,24.004,89.749,92.683
Iteration170,24.177,88.703,93.659
Iteration171,23.941,89.749,87.805
Iteration172,23.854,88.912,90.244
Iteration173,23.870,88.912,90.244
Iteration174,23.484,90.167,90.732
