Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,65.755,69.247,67.317
Iteration1,63.929,52.301,57.073
Iteration2,67.839,36.820,38.049
Iteration3,72.092,60.879,64.390
Iteration4,67.897,71.548,68.293
Iteration5,69.130,71.548,68.293
Iteration6,64.774,70.921,72.195
Iteration7,64.364,66.318,64.878
Iteration8,61.921,66.736,63.415
Iteration9,67.391,65.063,58.049
Iteration10,62.676,73.222,66.829
Iteration11,61.622,65.063,58.049
Iteration12,63.280,67.992,62.927
Iteration13,65.634,66.109,63.902
Iteration14,66.519,68.828,66.341
Iteration15,64.640,79.707,77.073
Iteration16,63.807,79.707,77.073
Iteration17,62.089,71.548,69.756
Iteration18,64.446,71.548,69.756
Iteration19,65.293,71.548,69.756
Iteration20,67.069,71.548,69.756
Iteration21,67.385,65.690,63.415
Iteration22,70.655,65.690,63.415
Iteration23,70.707,66.109,64.390
Iteration24,70.664,65.900,63.902
Iteration25,70.466,65.690,63.415
Iteration26,71.927,65.690,63.415
Iteration27,71.753,65.690,63.415
Iteration28,70.768,65.690,63.415
Iteration29,71.594,65.690,63.415
Iteration30,71.816,65.690,63.415
Iteration31,72.350,65.690,63.415
Iteration32,72.296,65.690,63.415
Iteration33,71.348,65.690,63.415
Iteration34,72.013,65.690,63.415
Iteration35,72.562,65.690,63.415
Iteration36,71.814,65.690,63.415
Iteration37,71.817,65.690,63.415
Iteration38,72.001,65.690,63.415
Iteration39,72.440,65.690,63.415
Iteration40,72.007,65.690,63.415
Iteration41,72.636,65.690,63.415
Iteration42,72.792,65.690,63.415
Iteration43,71.590,65.690,63.415
Iteration44,69.847,65.690,63.415
Iteration45,70.019,65.690,63.415
Iteration46,70.206,65.690,63.415
Iteration47,70.192,65.690,63.415
Iteration48,73.231,65.690,63.415
Iteration49,73.694,65.690,63.415
Iteration50,74.286,65.690,63.415
Iteration51,75.214,65.690,63.415
Iteration52,76.160,65.690,63.415
Iteration53,76.171,65.690,63.415
Iteration54,76.344,65.690,63.415
Iteration55,76.727,65.690,63.415
Iteration56,76.208,65.690,63.415
Iteration57,75.697,65.690,63.415
Iteration58,75.792,65.690,63.415
Iteration59,76.000,65.690,63.415
Iteration60,75.170,65.690,63.415
Iteration61,73.653,65.690,63.415
Iteration62,73.580,65.690,63.415
Iteration63,73.879,65.690,63.415
Iteration64,74.101,65.690,63.415
Iteration65,73.893,65.690,63.415
Iteration66,73.858,65.690,63.415
Iteration67,74.382,65.690,63.415
Iteration68,73.662,65.690,63.415
Iteration69,74.015,65.690,63.415
Iteration70,73.979,65.690,63.415
Iteration71,73.530,65.690,63.415
Iteration72,73.258,65.690,63.415
Iteration73,73.487,65.690,63.415
Iteration74,73.633,65.690,63.415
Iteration75,73.391,65.690,63.415
Iteration76,73.512,65.690,63.415
Iteration77,72.551,65.690,63.415
Iteration78,72.475,65.690,63.415
Iteration79,73.131,65.690,63.415
Iteration80,74.063,65.690,63.415
Iteration81,74.514,65.690,63.415
Iteration82,74.627,65.690,63.415
Iteration83,74.386,65.690,63.415
Iteration84,74.428,65.690,63.415
Iteration85,74.585,65.690,63.415
Iteration86,74.685,65.690,63.415
Iteration87,74.753,65.690,63.415
Iteration88,74.654,65.690,63.415
Iteration89,74.055,65.690,63.415
Iteration90,73.887,65.690,63.415
Iteration91,72.805,65.690,63.415
Iteration92,73.593,65.690,63.415
Iteration93,72.722,65.690,63.415
Iteration94,72.242,65.690,63.415
Iteration95,70.549,65.690,63.415
Iteration96,69.498,65.690,63.415
Iteration97,68.458,65.690,63.415
Iteration98,68.162,65.690,63.415
Iteration99,66.175,65.690,63.415
Iteration100,65.843,65.690,63.415
Iteration101,64.347,66.109,64.878
Iteration102,63.195,66.109,64.878
Iteration103,63.204,66.109,64.878
Iteration104,62.762,66.109,64.878
Iteration105,61.978,65.900,64.878
Iteration106,62.654,66.109,63.415
Iteration107,62.876,66.527,63.902
Iteration108,62.330,65.481,63.902
Iteration109,62.744,65.481,63.902
Iteration110,62.274,65.481,63.902
Iteration111,63.724,65.481,63.902
Iteration112,64.094,65.481,63.902
Iteration113,62.819,65.481,63.902
Iteration114,63.096,65.690,63.415
Iteration115,63.244,65.481,63.902
Iteration116,62.734,65.481,63.902
Iteration117,61.471,65.481,63.902
Iteration118,61.288,65.481,63.902
Iteration119,62.071,65.481,63.415
Iteration120,62.495,65.481,63.902
Iteration121,63.553,65.481,63.902
Iteration122,62.159,65.690,63.415
Iteration123,62.262,65.900,63.415
Iteration124,61.643,65.481,63.902
Iteration125,61.410,65.690,63.415
Iteration126,61.124,65.690,63.415
