Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,69.753,73.849,70.732
Iteration1,70.471,74.895,73.659
Iteration2,65.790,79.916,80.488
Iteration3,63.401,73.431,72.683
Iteration4,63.185,72.594,76.585
Iteration5,63.956,77.824,75.122
Iteration6,64.735,78.033,75.610
Iteration7,63.205,78.033,75.610
Iteration8,62.261,73.849,71.220
Iteration9,63.948,73.431,70.732
Iteration10,61.095,73.640,74.634
Iteration11,61.119,74.268,75.122
Iteration12,61.648,76.569,78.049
Iteration13,62.157,72.803,66.829
Iteration14,60.002,76.151,78.049
Iteration15,59.702,79.289,81.951
Iteration16,61.141,78.870,81.463
Iteration17,59.206,80.544,79.512
Iteration18,56.992,80.753,79.512
Iteration19,57.437,76.569,76.098
Iteration20,56.890,76.360,76.585
Iteration21,55.818,76.569,76.098
Iteration22,56.092,76.569,76.098
Iteration23,55.907,80.544,80.000
Iteration24,54.746,86.402,81.951
Iteration25,59.557,74.059,66.341
Iteration26,60.005,73.222,66.829
Iteration27,58.397,79.289,74.146
Iteration28,59.519,77.824,75.610
Iteration29,56.163,79.916,80.976
Iteration30,53.361,79.916,80.976
Iteration31,51.635,79.916,80.976
Iteration32,53.963,79.916,80.976
Iteration33,54.062,73.640,71.707
Iteration34,53.698,73.640,71.707
Iteration35,55.127,83.473,84.390
Iteration36,54.799,83.473,81.951
Iteration37,53.688,83.891,85.366
Iteration38,55.780,81.590,75.610
Iteration39,51.623,82.008,81.951
Iteration40,50.261,75.732,72.683
Iteration41,51.054,76.569,74.634
Iteration42,50.474,85.356,85.854
Iteration43,49.921,77.406,77.073
Iteration44,50.356,83.473,83.902
Iteration45,51.396,86.611,83.902
Iteration46,49.081,86.611,83.902
Iteration47,49.664,87.238,84.390
Iteration48,49.426,80.544,76.585
Iteration49,48.817,79.498,76.585
Iteration50,48.073,79.498,76.585
Iteration51,47.923,79.289,76.098
Iteration52,45.263,82.845,80.488
Iteration53,44.832,83.891,83.415
Iteration54,46.314,81.799,78.049
Iteration55,44.918,82.636,80.000
Iteration56,44.911,82.008,79.024
Iteration57,43.744,82.008,79.024
Iteration58,42.804,83.054,82.439
Iteration59,43.360,84.100,83.902
Iteration60,42.037,85.774,85.854
Iteration61,41.400,86.611,84.390
Iteration62,40.328,85.356,82.927
Iteration63,41.176,85.983,86.341
Iteration64,39.441,85.983,86.341
Iteration65,38.572,87.029,85.366
Iteration66,37.611,85.774,83.902
Iteration67,38.213,82.636,81.951
Iteration68,37.433,84.937,82.439
Iteration69,37.943,86.402,84.878
Iteration70,39.079,85.774,85.366
Iteration71,37.889,85.774,85.366
Iteration72,36.855,86.820,88.293
Iteration73,36.383,86.192,86.341
Iteration74,36.177,83.054,81.463
Iteration75,37.003,85.146,87.317
Iteration76,36.132,85.146,80.488
Iteration77,37.382,85.146,80.488
Iteration78,38.257,84.728,82.439
Iteration79,38.931,85.146,80.488
Iteration80,38.663,83.054,82.439
Iteration81,37.658,88.075,90.244
Iteration82,37.756,88.075,89.756
Iteration83,37.874,88.075,89.756
Iteration84,38.671,88.075,90.244
Iteration85,37.703,88.075,90.244
Iteration86,37.220,88.075,90.244
Iteration87,37.166,88.075,90.244
Iteration88,36.845,88.075,90.244
Iteration89,36.618,88.285,90.244
Iteration90,35.562,87.866,89.756
Iteration91,36.216,87.866,89.756
Iteration92,35.664,87.866,89.756
Iteration93,34.520,87.448,87.317
Iteration94,36.028,86.192,85.854
Iteration95,35.164,89.121,88.293
Iteration96,34.939,89.121,88.293
Iteration97,34.142,86.611,84.878
Iteration98,33.748,86.192,84.390
Iteration99,32.985,87.238,86.829
Iteration100,33.210,87.448,85.854
Iteration101,31.892,87.238,86.829
Iteration102,32.668,88.494,86.829
Iteration103,33.707,87.657,86.341
Iteration104,33.699,86.402,85.854
Iteration105,34.240,86.611,87.805
Iteration106,33.885,86.611,87.805
Iteration107,32.293,87.238,87.317
Iteration108,33.379,85.146,82.439
Iteration109,33.169,85.774,85.366
Iteration110,32.450,84.519,83.902
Iteration111,32.359,85.983,85.854
Iteration112,32.588,86.402,89.268
Iteration113,32.908,86.820,88.780
Iteration114,32.065,86.820,88.780
Iteration115,31.987,86.820,88.780
Iteration116,32.516,88.075,83.902
Iteration117,31.651,88.075,83.902
Iteration118,31.188,85.983,87.805
Iteration119,31.208,88.075,87.317
Iteration120,31.930,87.238,88.780
Iteration121,30.539,86.402,87.317
Iteration122,30.850,87.448,87.317
Iteration123,31.030,86.611,87.317
Iteration124,30.650,87.657,87.805
Iteration125,31.072,87.657,86.341
Iteration126,31.197,86.402,86.341
Iteration127,30.558,88.703,86.829
Iteration128,29.591,87.866,88.780
Iteration129,28.847,86.820,89.756
Iteration130,29.166,87.029,87.317
