Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,68.925,65.900,63.415
Iteration1,70.980,65.063,60.976
Iteration2,69.581,65.063,60.976
Iteration3,70.392,70.711,66.829
Iteration4,70.520,70.711,66.829
Iteration5,65.416,65.272,62.927
Iteration6,71.295,65.481,63.415
Iteration7,71.317,65.481,63.415
Iteration8,69.865,65.481,63.415
Iteration9,68.138,67.364,65.854
Iteration10,71.560,66.736,64.390
Iteration11,73.060,33.682,40.488
Iteration12,74.827,62.343,62.439
Iteration13,74.436,62.343,62.439
Iteration14,69.323,63.180,63.902
Iteration15,66.339,67.364,67.317
Iteration16,65.772,64.644,63.902
Iteration17,63.862,69.665,69.268
Iteration18,59.520,69.038,65.366
Iteration19,59.294,69.038,65.366
Iteration20,55.684,68.410,68.780
Iteration21,56.185,68.410,68.780
Iteration22,54.745,69.038,68.780
Iteration23,54.043,75.523,73.171
Iteration24,52.640,72.385,72.195
Iteration25,52.159,72.594,70.244
Iteration26,50.482,71.757,71.220
Iteration27,51.106,71.757,71.220
Iteration28,49.816,73.849,72.683
Iteration29,50.198,70.921,70.732
Iteration30,50.843,69.665,67.805
Iteration31,51.818,69.665,71.707
Iteration32,52.161,69.665,71.707
Iteration33,52.708,69.665,71.220
Iteration34,53.475,69.456,70.732
Iteration35,53.418,69.456,70.732
Iteration36,53.150,69.456,70.732
Iteration37,53.012,69.456,70.732
Iteration38,53.003,67.782,68.293
Iteration39,53.659,67.782,68.293
Iteration40,53.214,64.435,62.439
Iteration41,52.637,64.435,62.439
Iteration42,52.969,63.389,62.927
Iteration43,54.914,63.389,63.902
Iteration44,54.583,61.715,61.463
Iteration45,54.527,61.715,61.463
Iteration46,54.536,61.715,61.463
Iteration47,54.604,62.552,60.488
Iteration48,53.774,62.552,60.488
Iteration49,53.172,64.435,62.439
Iteration50,53.625,64.854,62.927
Iteration51,52.755,64.854,62.927
Iteration52,53.414,60.879,59.512
Iteration53,53.256,64.854,62.927
Iteration54,53.982,69.874,69.756
Iteration55,53.037,61.297,57.561
Iteration56,55.010,63.180,61.463
Iteration57,55.335,62.134,56.585
Iteration58,55.307,63.180,61.463
