Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,60.348,56.485,53.659
Iteration1,60.348,56.485,53.659
Iteration2,60.348,56.485,53.659
Iteration3,60.348,56.485,53.659
Iteration4,60.348,56.485,53.659
Iteration5,60.348,56.485,53.659
Iteration6,59.462,56.067,53.659
Iteration7,58.987,55.858,54.634
Iteration8,58.987,55.858,54.634
Iteration9,58.987,55.858,54.634
Iteration10,58.956,56.067,54.634
Iteration11,58.680,56.067,54.634
Iteration12,58.680,56.067,54.634
Iteration13,58.416,56.276,54.634
Iteration14,58.416,56.276,54.634
Iteration15,58.416,56.276,54.634
Iteration16,58.164,57.531,56.098
Iteration17,56.639,62.343,64.878
Iteration18,53.444,63.808,65.366
Iteration19,53.444,63.808,65.366
Iteration20,50.532,66.527,62.439
Iteration21,50.529,66.527,62.439
Iteration22,50.529,66.527,62.439
Iteration23,50.349,67.155,62.927
Iteration24,50.349,67.155,62.927
Iteration25,49.395,71.130,66.829
Iteration26,49.395,71.130,66.829
Iteration27,49.350,71.339,66.829
Iteration28,49.337,71.339,66.341
Iteration29,46.227,70.502,63.415
Iteration30,46.227,70.502,63.415
Iteration31,46.227,70.502,63.415
Iteration32,46.227,70.502,63.415
Iteration33,46.227,70.502,63.415
Iteration34,46.227,70.502,63.415
Iteration35,46.227,70.502,63.415
Iteration36,46.227,70.502,63.415
Iteration37,46.227,70.502,63.415
Iteration38,46.227,70.502,63.415
Iteration39,46.074,69.038,63.415
Iteration40,46.074,69.038,63.415
Iteration41,46.074,69.038,63.415
Iteration42,46.029,69.247,64.390
Iteration43,45.991,70.293,66.341
Iteration44,45.937,70.293,67.317
Iteration45,45.693,70.502,67.805
Iteration46,45.693,70.502,67.805
Iteration47,45.609,70.711,67.805
Iteration48,45.609,70.711,67.805
Iteration49,44.455,71.757,69.756
Iteration50,44.111,71.757,69.756
Iteration51,43.898,71.967,70.244
Iteration52,42.945,72.803,71.220
Iteration53,41.937,77.197,76.098
Iteration54,41.937,77.197,76.098
Iteration55,41.936,76.569,76.098
Iteration56,41.716,76.987,75.610
Iteration57,41.711,76.778,75.610
Iteration58,41.608,76.987,75.610
Iteration59,41.608,76.987,75.610
Iteration60,41.608,76.987,75.610
Iteration61,41.608,76.987,75.610
Iteration62,41.587,76.987,75.610
Iteration63,40.280,79.498,76.098
Iteration64,40.280,79.498,76.098
Iteration65,40.280,79.498,76.098
Iteration66,40.280,79.498,76.098
Iteration67,39.907,79.707,76.098
Iteration68,39.907,79.707,76.098
Iteration69,39.907,79.707,76.098
Iteration70,39.907,79.707,76.098
Iteration71,39.907,79.707,76.098
Iteration72,39.907,79.707,76.098
Iteration73,39.907,79.707,76.098
