Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,52.625,72.176,70.732
Iteration1,52.631,72.176,70.732
Iteration2,52.510,72.176,70.732
Iteration3,52.445,72.176,70.732
Iteration4,52.517,71.967,70.732
Iteration5,52.526,71.967,70.732
Iteration6,53.214,70.711,67.805
Iteration7,53.214,70.711,67.805
Iteration8,53.774,67.782,64.390
Iteration9,54.504,64.435,62.927
Iteration10,54.938,64.435,62.927
Iteration11,60.695,51.046,54.634
Iteration12,60.641,51.046,54.634
Iteration13,61.574,47.490,54.146
Iteration14,61.576,47.699,54.146
Iteration15,61.486,47.490,54.146
Iteration16,61.542,47.490,54.146
Iteration17,61.567,47.490,54.146
Iteration18,61.586,47.490,54.146
Iteration19,61.609,47.490,54.146
Iteration20,64.164,48.326,50.244
Iteration21,55.711,62.552,59.512
Iteration22,55.711,62.552,59.024
Iteration23,56.267,61.715,59.024
Iteration24,56.473,60.460,60.000
Iteration25,56.856,57.741,56.098
Iteration26,56.826,57.741,56.098
Iteration27,58.211,53.556,52.683
Iteration28,58.211,53.556,52.683
Iteration29,58.364,53.556,52.195
Iteration30,58.342,53.556,52.195
Iteration31,57.768,55.021,51.707
Iteration32,57.784,54.812,51.707
Iteration33,57.823,54.603,51.707
Iteration34,61.041,44.770,44.878
Iteration35,67.889,42.259,45.854
Iteration36,67.901,42.259,45.854
Iteration37,68.199,40.795,44.390
Iteration38,67.898,42.259,45.854
Iteration39,68.391,40.795,44.390
Iteration40,78.994,37.238,37.561
Iteration41,78.970,37.238,38.049
Iteration42,78.815,37.238,38.049
Iteration43,74.971,37.448,38.049
Iteration44,73.466,37.238,38.049
Iteration45,74.147,37.238,37.561
Iteration46,73.284,37.029,38.537
Iteration47,73.366,37.029,38.537
Iteration48,73.374,37.029,38.537
Iteration49,70.567,38.494,40.000
Iteration50,70.781,38.912,40.000
Iteration51,70.647,38.912,40.000
Iteration52,70.554,38.912,40.000
Iteration53,70.526,38.912,40.000
Iteration54,70.487,38.912,40.000
Iteration55,70.539,38.912,40.000
Iteration56,70.730,38.912,40.000
Iteration57,70.723,38.912,40.000
Iteration58,71.011,38.912,40.000
Iteration59,71.011,38.912,40.000
Iteration60,71.011,38.912,40.000
Iteration61,75.115,36.192,37.561
Iteration62,75.843,36.192,37.561
Iteration63,75.783,36.192,38.049
Iteration64,73.836,36.611,38.049
Iteration65,73.892,36.611,38.049
Iteration66,73.741,36.611,38.049
Iteration67,73.076,36.611,38.049
Iteration68,72.922,36.611,38.049
Iteration69,72.802,36.611,38.049
Iteration70,72.951,36.611,38.049
Iteration71,75.728,34.519,36.098
Iteration72,75.728,34.519,36.098
Iteration73,75.688,34.519,36.098
Iteration74,77.483,31.590,34.634
Iteration75,77.483,31.590,34.634
Iteration76,77.051,28.033,31.220
Iteration77,75.142,28.452,30.732
Iteration78,75.108,28.452,30.732
Iteration79,75.207,28.452,30.732
Iteration80,75.200,28.452,30.732
Iteration81,75.167,28.452,30.732
Iteration82,75.167,28.452,30.732
Iteration83,73.731,33.682,35.122
Iteration84,74.523,30.962,33.171
Iteration85,74.664,30.962,33.171
Iteration86,70.133,43.305,47.805
Iteration87,70.077,43.305,47.805
Iteration88,70.066,43.305,47.805
Iteration89,66.826,49.791,54.634
Iteration90,66.523,53.975,59.024
Iteration91,66.577,53.766,59.024
Iteration92,66.865,49.791,54.634
Iteration93,66.637,49.791,54.634
Iteration94,66.637,49.791,54.634
Iteration95,68.621,47.071,55.610
Iteration96,68.750,47.071,55.610
Iteration97,68.793,47.071,55.610
Iteration98,68.854,46.862,55.122
Iteration99,62.781,66.109,66.341
Iteration100,63.657,67.155,66.829
Iteration101,63.575,67.155,66.829
Iteration102,63.457,67.155,66.829
Iteration103,64.954,65.063,64.878
Iteration104,66.260,64.226,63.902
Iteration105,70.538,50.000,53.659
Iteration106,65.336,64.854,64.878
Iteration107,69.846,46.025,46.341
Iteration108,69.843,46.025,46.341
Iteration109,69.843,46.025,46.341
Iteration110,69.880,46.025,45.854
Iteration111,68.496,47.908,50.244
Iteration112,68.565,47.908,50.244
Iteration113,68.683,47.908,50.244
Iteration114,68.655,47.908,50.244
Iteration115,68.622,47.908,50.244
Iteration116,68.530,48.117,49.756
Iteration117,68.530,48.117,49.756
Iteration118,68.578,47.699,49.756
Iteration119,67.550,47.699,51.220
Iteration120,84.058,30.335,36.585
Iteration121,84.018,29.707,36.585
Iteration122,81.157,33.891,38.537
Iteration123,80.965,33.891,38.537
Iteration124,80.937,34.310,38.537
Iteration125,80.884,34.310,38.537
Iteration126,80.878,34.310,38.537
Iteration127,80.766,34.519,38.537
Iteration128,81.828,31.381,37.561
Iteration129,81.658,31.381,37.561
Iteration130,81.665,31.381,37.561
Iteration131,82.758,32.218,37.073
Iteration132,82.765,32.218,37.073
Iteration133,83.360,32.427,37.073
Iteration134,83.389,32.427,37.073
Iteration135,82.879,33.264,40.000
Iteration136,82.522,33.473,40.000
Iteration137,82.522,33.473,40.000
Iteration138,82.532,33.264,40.000
Iteration139,82.532,33.264,40.000
Iteration140,82.573,33.264,40.000
Iteration141,82.306,33.891,40.000
Iteration142,81.532,34.310,40.976
Iteration143,81.462,34.310,40.976
Iteration144,80.944,33.891,40.976
