Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,71.020,37.448,38.049
Iteration1,76.606,34.100,34.146
Iteration2,76.606,34.100,34.146
Iteration3,79.995,33.473,33.659
Iteration4,79.954,33.682,33.659
Iteration5,75.953,33.264,31.220
Iteration6,76.497,33.473,31.707
Iteration7,77.243,33.264,31.707
Iteration8,78.578,32.636,32.195
Iteration9,78.712,32.427,32.195
Iteration10,78.690,32.427,32.195
Iteration11,78.511,31.381,29.756
Iteration12,82.602,29.916,28.780
Iteration13,82.685,29.916,28.780
Iteration14,77.193,30.544,28.293
Iteration15,75.641,29.916,28.780
Iteration16,75.271,30.335,28.293
Iteration17,75.234,30.126,28.780
Iteration18,75.177,32.845,32.195
Iteration19,75.099,32.845,32.195
Iteration20,73.580,33.891,32.683
Iteration21,72.108,33.473,33.171
Iteration22,72.101,33.473,33.171
Iteration23,72.081,33.054,33.171
Iteration24,69.631,34.310,34.634
Iteration25,71.149,34.728,35.610
Iteration26,71.149,34.728,35.610
Iteration27,69.626,33.891,33.171
Iteration28,69.552,34.100,33.171
Iteration29,69.517,33.264,31.707
Iteration30,69.318,33.264,31.707
Iteration31,69.748,33.473,32.195
Iteration32,69.868,33.473,32.195
Iteration33,70.898,32.008,32.195
Iteration34,70.431,32.845,31.707
Iteration35,70.821,32.845,31.220
Iteration36,71.285,34.100,32.683
Iteration37,71.880,34.310,32.683
Iteration38,74.343,35.356,33.659
Iteration39,73.802,35.565,34.146
Iteration40,75.967,35.356,33.659
Iteration41,76.833,35.356,34.146
Iteration42,83.474,35.146,34.146
Iteration43,88.782,34.310,34.146
Iteration44,88.433,34.519,34.146
Iteration45,90.669,34.519,34.634
Iteration46,87.912,35.356,34.146
Iteration47,87.733,35.565,34.146
Iteration48,87.562,35.774,34.146
Iteration49,90.321,34.728,34.146
Iteration50,90.341,34.728,34.146
Iteration51,90.279,34.728,34.146
Iteration52,76.224,33.264,34.146
Iteration53,76.255,33.264,34.146
Iteration54,75.204,32.845,33.659
Iteration55,75.938,32.636,33.171
Iteration56,75.913,32.636,33.171
Iteration57,77.808,33.054,34.146
Iteration58,77.680,33.054,34.146
Iteration59,84.451,32.427,35.610
Iteration60,87.409,34.728,39.512
Iteration61,88.094,34.728,39.024
Iteration62,88.435,34.728,39.024
Iteration63,92.390,35.774,39.024
Iteration64,92.759,35.774,39.024
Iteration65,93.436,35.774,39.024
Iteration66,109.821,35.146,38.049
Iteration67,109.821,35.146,38.049
Iteration68,114.723,34.937,37.561
Iteration69,107.359,35.146,37.561
Iteration70,103.798,35.356,37.561
Iteration71,111.211,34.937,37.561
Iteration72,111.466,34.937,37.561
Iteration73,107.442,34.937,37.561
Iteration74,107.442,34.937,37.561
Iteration75,110.299,34.937,37.561
Iteration76,110.526,34.937,37.561
Iteration77,111.279,34.937,37.561
Iteration78,116.271,34.937,37.561
Iteration79,117.200,34.937,37.561
Iteration80,115.408,34.937,37.561
Iteration81,115.860,34.937,37.561
Iteration82,117.456,34.937,37.561
Iteration83,117.080,34.937,37.561
Iteration84,119.748,34.728,37.561
Iteration85,117.354,34.728,37.561
Iteration86,117.289,34.937,37.561
Iteration87,112.079,34.937,37.561
Iteration88,110.887,34.937,37.561
Iteration89,107.691,35.146,37.561
Iteration90,99.726,35.146,37.561
Iteration91,101.042,35.146,37.561
Iteration92,101.042,35.146,37.561
Iteration93,100.941,35.146,37.561
Iteration94,102.364,34.937,37.561
Iteration95,102.760,34.519,37.561
Iteration96,102.086,34.937,38.049
Iteration97,102.030,34.937,38.049
Iteration98,102.510,34.728,38.049
Iteration99,102.769,34.728,38.049
Iteration100,102.379,34.937,38.049
Iteration101,102.064,35.146,38.049
Iteration102,102.879,35.146,38.049
Iteration103,104.853,34.937,38.049
Iteration104,104.894,34.937,38.049
Iteration105,103.562,34.937,38.049
Iteration106,105.231,35.146,38.049
Iteration107,105.908,34.937,38.049
Iteration108,105.417,34.937,38.049
Iteration109,100.246,34.728,38.049
Iteration110,100.249,34.728,38.049
Iteration111,96.793,34.519,37.561
Iteration112,96.781,34.519,37.561
Iteration113,100.666,34.937,38.049
Iteration114,107.243,34.937,38.049
Iteration115,114.916,34.937,38.049
Iteration116,117.371,34.937,38.049
Iteration117,115.349,34.937,38.049
Iteration118,115.253,34.937,38.049
Iteration119,111.924,35.356,38.049
Iteration120,112.554,35.356,38.049
Iteration121,112.784,35.356,38.049
Iteration122,112.711,35.356,38.049
Iteration123,112.158,35.356,38.049
Iteration124,112.149,35.356,38.049
Iteration125,112.319,35.356,38.049
Iteration126,112.293,35.356,38.049
Iteration127,112.904,35.356,38.049
Iteration128,112.968,35.356,38.049
Iteration129,112.237,35.356,38.049
Iteration130,112.333,35.146,38.049
Iteration131,112.290,35.146,38.049
Iteration132,112.423,35.146,38.049
Iteration133,114.503,35.146,38.049
Iteration134,115.093,35.146,38.049
Iteration135,115.200,35.146,38.049
Iteration136,121.602,35.146,38.049
Iteration137,121.624,35.146,38.049
Iteration138,125.020,35.146,38.049
Iteration139,127.965,34.937,38.049
Iteration140,131.578,34.937,38.049
Iteration141,127.897,35.146,38.049
Iteration142,127.894,35.146,38.049
Iteration143,128.657,34.937,38.049
Iteration144,128.905,34.728,37.561
Iteration145,122.257,35.565,38.049
Iteration146,122.256,35.565,38.049
Iteration147,129.711,35.356,37.561
Iteration148,129.719,35.356,37.561
Iteration149,131.404,35.356,37.561
Iteration150,131.404,35.356,37.561
Iteration151,131.403,35.356,37.561
Iteration152,130.273,35.356,37.561
Iteration153,134.795,34.519,37.561
Iteration154,135.019,34.519,37.561
Iteration155,133.310,34.519,37.561
Iteration156,132.984,34.728,37.561
Iteration157,133.818,34.519,37.561
Iteration158,134.647,34.519,36.585
Iteration159,134.885,34.519,36.585
Iteration160,135.007,34.519,36.585
Iteration161,134.917,34.519,36.585
Iteration162,134.973,34.519,36.585
Iteration163,135.148,34.519,36.585
Iteration164,135.334,34.519,36.585
Iteration165,137.258,34.519,36.585
Iteration166,131.765,34.519,36.585
Iteration167,129.907,34.519,36.585
Iteration168,132.301,34.519,36.585
Iteration169,131.036,34.519,36.585
Iteration170,130.323,34.937,37.561
Iteration171,130.332,34.937,37.561
Iteration172,125.585,35.356,37.561
Iteration173,124.743,35.356,38.049
Iteration174,121.126,35.356,39.024
Iteration175,121.158,35.356,39.024
Iteration176,122.610,35.356,38.537
