Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,63.419,50.628,52.683
Iteration1,63.428,50.418,52.195
Iteration2,63.351,50.418,52.195
Iteration3,63.495,48.536,51.707
Iteration4,63.917,48.536,53.659
Iteration5,63.908,48.536,53.171
Iteration6,67.524,46.234,50.732
Iteration7,67.590,46.025,50.732
Iteration8,69.078,42.050,52.195
Iteration9,69.075,42.050,52.195
Iteration10,69.078,42.259,51.707
Iteration11,69.825,42.050,52.195
Iteration12,69.825,42.050,52.195
Iteration13,73.835,35.774,44.878
Iteration14,72.195,36.820,44.878
Iteration15,72.195,36.820,44.878
Iteration16,72.296,36.611,45.366
Iteration17,72.298,36.611,45.366
Iteration18,71.766,36.820,45.366
Iteration19,73.190,36.192,45.366
Iteration20,73.268,36.192,45.366
Iteration21,73.286,36.192,45.366
Iteration22,73.297,36.192,45.366
Iteration23,73.937,35.774,44.390
Iteration24,77.974,33.473,39.024
Iteration25,77.974,33.473,39.024
Iteration26,76.123,35.565,41.951
Iteration27,73.511,39.540,41.463
Iteration28,73.402,39.540,41.463
Iteration29,75.594,38.912,40.976
Iteration30,77.866,28.243,28.780
Iteration31,76.095,38.912,41.951
Iteration32,75.467,39.749,41.951
Iteration33,76.162,35.565,38.537
Iteration34,75.880,34.310,39.024
Iteration35,76.263,34.519,38.049
Iteration36,76.263,34.519,38.049
Iteration37,76.510,34.310,38.537
Iteration38,74.151,40.377,43.902
Iteration39,72.878,41.213,44.878
Iteration40,73.327,41.632,45.366
Iteration41,72.585,41.841,45.366
Iteration42,72.549,41.632,44.878
Iteration43,69.218,51.883,57.073
Iteration44,70.945,46.653,53.171
Iteration45,71.187,46.444,53.171
Iteration46,71.195,44.561,52.195
Iteration47,71.144,44.561,52.195
Iteration48,70.771,46.025,53.171
Iteration49,70.771,46.025,53.171
Iteration50,70.944,45.816,53.171
Iteration51,70.887,45.816,53.171
Iteration52,71.218,45.816,53.171
Iteration53,71.194,45.816,53.171
Iteration54,78.774,37.657,40.488
Iteration55,78.755,36.402,39.024
Iteration56,78.757,36.402,39.024
Iteration57,79.574,36.192,39.512
Iteration58,78.479,36.820,40.000
Iteration59,78.474,36.820,40.000
Iteration60,78.507,36.820,40.000
Iteration61,78.779,37.866,42.439
Iteration62,78.598,37.657,42.439
Iteration63,78.459,38.912,43.902
Iteration64,78.440,38.912,43.902
Iteration65,78.428,38.912,43.902
Iteration66,78.980,37.866,43.415
Iteration67,78.345,40.586,44.878
Iteration68,78.468,38.285,39.024
Iteration69,78.385,38.703,39.024
Iteration70,78.562,38.494,39.024
Iteration71,73.233,43.305,43.902
Iteration72,74.572,45.816,49.268
Iteration73,74.551,45.816,49.268
Iteration74,74.240,45.607,49.756
Iteration75,74.228,45.607,49.756
Iteration76,74.055,46.653,50.244
Iteration77,75.517,46.444,49.268
Iteration78,75.449,46.444,49.268
Iteration79,75.542,46.444,49.268
Iteration80,75.333,45.816,49.268
Iteration81,76.087,43.515,44.390
Iteration82,73.782,43.933,44.390
Iteration83,78.254,37.238,36.585
Iteration84,80.169,36.611,37.561
Iteration85,81.269,35.983,35.610
Iteration86,81.044,35.983,36.098
Iteration87,80.484,36.820,37.561
Iteration88,80.625,36.820,37.561
Iteration89,80.635,36.820,37.561
Iteration90,80.605,36.820,37.561
Iteration91,80.797,35.983,36.098
Iteration92,79.906,35.983,35.610
Iteration93,71.107,42.469,42.439
Iteration94,64.968,48.117,46.829
Iteration95,65.997,49.163,47.805
Iteration96,65.997,49.163,47.805
Iteration97,66.118,49.163,47.805
Iteration98,66.123,49.163,47.805
Iteration99,66.167,49.163,47.805
Iteration100,70.621,44.979,46.341
Iteration101,70.032,44.979,45.854
Iteration102,69.929,44.979,45.854
Iteration103,69.868,44.979,45.854
Iteration104,70.439,44.979,46.341
Iteration105,62.133,55.021,58.049
Iteration106,55.239,67.782,66.829
Iteration107,54.492,69.038,68.780
Iteration108,54.935,68.828,68.293
Iteration109,54.741,69.038,68.293
Iteration110,53.770,69.665,69.268
Iteration111,53.642,69.874,68.780
Iteration112,53.523,69.874,68.780
Iteration113,53.523,69.874,68.780
Iteration114,52.434,70.084,69.268
Iteration115,52.109,70.293,70.244
Iteration116,52.109,70.293,70.244
Iteration117,52.041,70.502,70.732
Iteration118,52.052,70.502,70.732
Iteration119,52.051,70.502,70.732
Iteration120,52.333,70.084,71.220
Iteration121,52.162,70.711,71.220
Iteration122,52.581,70.711,70.732
Iteration123,52.557,70.711,70.732
Iteration124,51.744,71.339,73.171
Iteration125,51.689,71.339,73.171
Iteration126,50.589,73.013,74.634
Iteration127,51.001,72.803,74.634
Iteration128,46.551,72.385,72.683
Iteration129,46.551,72.385,72.683
Iteration130,46.507,73.013,73.659
Iteration131,46.518,73.013,73.659
Iteration132,46.518,73.013,73.659
Iteration133,46.019,71.967,74.146
Iteration134,46.012,71.967,74.146
Iteration135,46.194,71.548,72.683
Iteration136,46.195,71.548,72.683
Iteration137,46.507,72.176,70.732
Iteration138,46.507,72.176,70.732
Iteration139,45.039,77.406,78.049
Iteration140,45.046,77.406,78.049
Iteration141,45.046,77.406,78.049
Iteration142,45.000,77.406,78.049
Iteration143,43.773,76.987,77.561
Iteration144,43.357,73.640,74.146
Iteration145,42.614,74.059,74.146
Iteration146,42.614,74.059,74.146
Iteration147,42.644,74.059,74.146
Iteration148,42.059,75.314,75.122
Iteration149,41.974,74.686,74.146
Iteration150,41.974,74.686,74.146
Iteration151,41.974,74.686,74.146
Iteration152,41.955,74.686,74.146
Iteration153,41.372,75.732,75.610
Iteration154,41.278,75.523,75.610
Iteration155,41.278,75.523,75.610
Iteration156,41.250,75.105,76.585
Iteration157,41.173,75.105,76.585
Iteration158,41.173,75.105,76.585
Iteration159,41.163,75.105,76.098
Iteration160,41.163,75.105,76.098
Iteration161,41.163,75.105,76.098
Iteration162,40.984,75.523,78.049
Iteration163,40.695,77.197,78.537
Iteration164,39.959,77.406,77.073
Iteration165,39.870,77.406,77.073
Iteration166,39.870,77.406,77.073
Iteration167,39.703,75.523,76.098
Iteration168,39.703,75.523,76.098
Iteration169,39.703,75.523,76.098
Iteration170,39.703,75.523,76.098
Iteration171,39.035,76.778,76.098
Iteration172,38.818,78.661,77.561
Iteration173,38.797,78.661,77.561
Iteration174,38.532,77.406,76.585
Iteration175,38.516,77.406,76.585
Iteration176,38.503,77.406,76.585
Iteration177,38.503,77.406,76.585
Iteration178,37.777,77.615,76.585
Iteration179,37.777,77.615,76.585
Iteration180,37.128,79.289,78.049
Iteration181,37.128,79.289,78.049
Iteration182,37.128,79.289,78.049
Iteration183,37.128,79.289,78.049
Iteration184,37.128,79.289,78.049
Iteration185,37.128,79.289,78.049
Iteration186,37.128,79.289,78.049
Iteration187,36.909,79.079,78.537
Iteration188,36.438,79.707,80.488
Iteration189,36.438,79.707,80.488
Iteration190,36.421,79.707,80.000
Iteration191,36.421,79.707,80.000
Iteration192,36.421,79.707,80.000
Iteration193,36.421,79.707,80.000
Iteration194,36.353,79.707,80.000
Iteration195,36.353,79.707,80.000
Iteration196,36.027,79.916,80.488
Iteration197,36.027,79.916,80.488
Iteration198,36.027,79.916,80.488
Iteration199,35.736,79.707,80.976
Iteration200,35.683,79.916,81.463
Iteration201,35.683,79.916,81.463
Iteration202,35.683,79.916,81.463
Iteration203,35.683,79.916,81.463
Iteration204,35.683,79.916,81.463
Iteration205,35.642,79.916,81.463
Iteration206,35.602,80.126,81.951
Iteration207,35.491,80.753,81.951
Iteration208,35.491,80.753,81.951
Iteration209,35.491,80.753,81.951
Iteration210,35.491,80.753,81.951
Iteration211,35.491,80.753,81.951
Iteration212,35.491,80.753,81.951
Iteration213,34.955,81.172,82.439
Iteration214,34.955,81.172,82.439
Iteration215,34.955,81.172,82.439
Iteration216,34.955,81.172,82.439
Iteration217,34.955,81.172,82.439
Iteration218,34.955,81.172,82.439
Iteration219,34.955,81.172,82.439
Iteration220,34.864,81.381,82.439
Iteration221,34.864,81.381,82.439
Iteration222,34.864,81.381,82.439
Iteration223,34.864,81.381,82.439
Iteration224,34.739,81.172,80.488
Iteration225,34.724,80.962,80.488
Iteration226,34.716,80.962,80.488
Iteration227,34.716,80.962,80.488
Iteration228,34.716,80.962,80.488
Iteration229,34.716,80.962,80.488
Iteration230,34.500,80.962,80.488
Iteration231,34.500,80.962,80.488
Iteration232,34.500,80.962,80.488
Iteration233,34.500,80.962,80.488
Iteration234,34.500,80.962,80.488
Iteration235,34.194,80.962,80.488
Iteration236,34.194,80.962,80.488
Iteration237,34.194,80.962,80.488
Iteration238,34.172,80.962,80.488
Iteration239,34.158,80.962,80.488
Iteration240,34.089,81.172,80.488
Iteration241,34.089,81.172,80.488
Iteration242,34.089,81.172,80.488
Iteration243,34.089,81.172,80.488
Iteration244,33.942,81.590,82.439
Iteration245,33.942,81.590,82.439
Iteration246,33.853,81.799,82.439
Iteration247,33.853,81.799,82.439
Iteration248,33.853,81.799,82.439
Iteration249,33.853,81.799,82.439
Iteration250,31.479,83.264,82.439
Iteration251,31.479,83.264,82.439
Iteration252,31.479,83.264,82.439
Iteration253,31.479,83.264,82.439
Iteration254,31.181,83.682,82.439
Iteration255,31.181,83.682,82.439
Iteration256,31.181,83.682,82.439
Iteration257,31.181,83.682,82.439
Iteration258,31.181,83.682,82.439
Iteration259,29.685,84.519,84.878
Iteration260,29.682,84.519,84.878
Iteration261,29.682,84.519,84.878
Iteration262,29.682,84.519,84.878
Iteration263,29.682,84.519,84.878
Iteration264,29.593,85.146,85.366
Iteration265,29.593,85.146,85.366
Iteration266,29.593,85.146,85.366
Iteration267,29.593,85.146,85.366
Iteration268,29.593,85.146,85.366
Iteration269,29.593,85.146,85.366
Iteration270,29.528,85.356,85.366
Iteration271,29.528,85.356,85.366
Iteration272,29.528,85.356,85.366
Iteration273,29.504,84.728,83.415
Iteration274,29.504,84.728,83.415
Iteration275,29.504,84.728,83.415
Iteration276,29.504,84.728,83.415
Iteration277,28.755,84.519,83.902
Iteration278,28.716,84.519,83.902
Iteration279,26.231,86.611,85.366
Iteration280,26.231,86.611,85.366
Iteration281,26.211,86.402,85.366
Iteration282,26.158,86.402,85.366
Iteration283,26.158,86.402,85.366
Iteration284,26.140,86.611,85.366
Iteration285,26.140,86.611,85.366
Iteration286,26.074,86.611,85.366
Iteration287,25.855,86.192,84.390
Iteration288,25.855,86.192,84.390
Iteration289,25.855,86.192,84.390
Iteration290,25.855,86.192,84.390
Iteration291,25.855,86.192,84.390
Iteration292,25.592,86.192,85.366
Iteration293,25.592,86.192,85.366
Iteration294,25.578,86.402,85.366
Iteration295,25.578,86.402,85.366
Iteration296,25.448,86.611,85.366
Iteration297,25.175,86.820,86.341
Iteration298,25.175,86.820,86.341
Iteration299,25.144,86.820,86.341
Iteration300,25.144,86.820,86.341
Iteration301,25.144,86.820,86.341
Iteration302,25.144,86.820,86.341
Iteration303,25.144,86.820,86.341
Iteration304,25.144,86.820,86.341
Iteration305,25.144,86.820,86.341
Iteration306,25.144,86.820,86.341
Iteration307,25.144,86.820,86.341
Iteration308,25.062,87.029,85.854
Iteration309,24.969,87.029,85.854
Iteration310,24.874,87.029,86.341
Iteration311,24.874,87.029,86.341
Iteration312,24.758,87.029,85.854
Iteration313,24.671,87.448,85.854
Iteration314,24.652,87.448,86.341
Iteration315,24.513,87.657,86.341
Iteration316,24.513,87.657,86.341
Iteration317,24.513,87.657,86.341
