Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,89.399,28.661,30.244
Iteration1,91.018,28.243,30.732
Iteration2,90.890,28.243,30.732
Iteration3,90.275,28.243,30.732
Iteration4,76.354,29.079,31.220
Iteration5,75.961,29.289,31.220
Iteration6,73.958,29.289,31.220
Iteration7,73.919,29.498,31.220
Iteration8,73.845,29.498,31.220
Iteration9,73.378,29.498,31.220
Iteration10,73.316,29.498,31.220
Iteration11,73.316,29.498,31.220
Iteration12,74.336,30.962,32.683
Iteration13,73.421,30.335,31.707
Iteration14,78.104,24.059,24.878
Iteration15,77.986,24.268,24.878
Iteration16,79.512,25.105,25.854
Iteration17,80.741,25.941,27.317
Iteration18,81.941,25.523,27.317
Iteration19,86.632,25.732,27.805
Iteration20,86.544,25.732,27.805
Iteration21,86.543,25.732,27.805
Iteration22,81.053,20.711,22.927
Iteration23,79.792,18.410,23.415
Iteration24,79.694,18.410,23.415
Iteration25,79.592,18.410,23.415
Iteration26,79.592,18.410,23.415
Iteration27,79.868,18.828,24.878
Iteration28,66.471,36.820,41.951
Iteration29,66.762,36.611,41.951
Iteration30,66.716,36.820,41.951
Iteration31,66.831,32.636,38.049
Iteration32,64.902,45.607,47.317
Iteration33,61.859,55.021,54.634
Iteration34,62.675,56.904,55.610
Iteration35,62.792,55.021,55.122
Iteration36,63.829,53.556,52.683
Iteration37,63.796,53.556,52.683
Iteration38,63.470,59.205,59.512
Iteration39,63.225,54.603,54.634
Iteration40,63.997,50.209,53.171
Iteration41,64.017,50.209,53.171
Iteration42,64.347,49.791,53.171
Iteration43,65.225,44.979,48.293
Iteration44,64.489,49.163,52.683
Iteration45,64.380,49.163,52.683
Iteration46,64.659,49.163,52.683
Iteration47,70.699,28.870,31.220
Iteration48,70.560,28.870,31.220
Iteration49,70.207,29.916,31.220
Iteration50,70.758,29.916,31.220
Iteration51,70.291,28.661,30.244
Iteration52,70.742,28.452,31.220
Iteration53,71.660,26.987,29.756
Iteration54,71.366,30.126,31.707
Iteration55,71.573,30.126,31.707
Iteration56,71.573,30.126,31.707
Iteration57,71.647,30.126,31.707
Iteration58,71.440,30.335,31.707
Iteration59,68.055,36.402,36.585
Iteration60,67.553,39.749,40.000
Iteration61,67.019,39.749,37.073
Iteration62,66.319,41.841,38.049
Iteration63,66.018,42.469,38.049
Iteration64,67.573,36.611,35.610
Iteration65,68.062,34.100,34.634
Iteration66,65.664,38.075,39.024
Iteration67,66.121,38.703,39.024
Iteration68,66.193,38.285,38.537
Iteration69,65.263,39.121,38.049
Iteration70,65.207,39.121,38.049
Iteration71,64.930,39.121,38.537
Iteration72,65.239,39.331,38.537
Iteration73,64.605,39.121,39.512
Iteration74,64.148,39.958,39.512
Iteration75,63.218,44.561,43.415
Iteration76,63.593,44.770,43.415
Iteration77,63.817,41.423,40.000
Iteration78,63.293,46.234,43.902
Iteration79,63.537,46.025,43.902
Iteration80,63.935,42.678,41.463
Iteration81,65.826,40.167,42.927
Iteration82,66.592,39.958,42.927
Iteration83,67.800,39.958,42.439
Iteration84,69.872,38.912,38.537
Iteration85,69.467,39.121,38.537
Iteration86,69.765,39.121,38.537
Iteration87,68.265,42.678,43.415
Iteration88,75.746,39.331,41.463
Iteration89,75.815,39.331,41.463
Iteration90,80.700,37.029,40.000
Iteration91,85.781,34.937,37.561
Iteration92,89.347,34.100,36.098
Iteration93,90.097,34.310,36.098
Iteration94,101.165,34.310,37.561
Iteration95,101.500,34.310,37.561
Iteration96,99.867,34.310,37.561
Iteration97,102.653,34.310,37.561
Iteration98,102.653,34.310,37.561
Iteration99,102.868,34.310,37.561
Iteration100,102.959,34.310,37.561
Iteration101,104.552,34.310,37.561
Iteration102,104.552,34.310,37.561
Iteration103,105.145,34.310,37.561
Iteration104,108.285,34.310,37.561
Iteration105,108.094,34.310,37.561
Iteration106,119.396,34.310,36.585
Iteration107,119.270,34.310,36.585
Iteration108,121.887,34.310,36.585
Iteration109,127.650,34.310,36.585
Iteration110,128.205,34.310,36.585
Iteration111,128.255,34.310,36.585
Iteration112,128.451,34.310,36.585
Iteration113,127.003,34.310,36.585
Iteration114,127.493,34.310,36.585
Iteration115,127.152,34.310,36.585
Iteration116,127.190,34.310,36.585
Iteration117,121.465,34.310,36.585
Iteration118,121.442,34.310,36.585
Iteration119,121.442,34.310,36.585
Iteration120,122.851,34.310,36.585
Iteration121,122.363,34.310,36.585
Iteration122,122.185,34.310,36.585
Iteration123,122.963,34.310,36.585
Iteration124,123.055,34.310,36.585
Iteration125,123.354,34.310,36.585
Iteration126,122.026,34.310,36.585
Iteration127,121.709,34.310,36.585
Iteration128,121.672,34.310,36.585
Iteration129,124.190,34.310,36.585
Iteration130,124.299,34.310,36.585
Iteration131,124.183,34.310,36.585
Iteration132,124.124,34.310,36.585
Iteration133,124.124,34.310,36.585
Iteration134,124.207,34.310,36.585
Iteration135,124.354,34.310,36.585
Iteration136,124.345,34.310,36.585
Iteration137,122.122,34.310,36.585
Iteration138,123.996,34.310,36.585
Iteration139,124.798,34.310,36.585
Iteration140,126.695,34.310,36.585
Iteration141,127.175,34.310,36.585
Iteration142,127.175,34.310,36.585
Iteration143,126.655,34.310,36.585
Iteration144,126.744,34.310,36.585
Iteration145,125.755,34.310,36.585
Iteration146,124.015,34.310,36.585
Iteration147,123.822,34.310,36.585
Iteration148,123.960,34.310,36.585
Iteration149,123.880,34.310,36.585
Iteration150,121.404,34.310,36.585
Iteration151,121.220,34.310,36.585
Iteration152,120.642,34.310,36.585
Iteration153,120.104,34.310,36.585
Iteration154,117.386,34.310,36.585
Iteration155,115.336,34.310,36.585
Iteration156,115.227,34.310,36.585
Iteration157,115.797,34.310,36.585
Iteration158,114.906,34.310,36.585
Iteration159,113.610,34.310,36.585
Iteration160,114.413,34.310,36.585
Iteration161,116.815,34.310,36.585
Iteration162,116.815,34.310,36.585
Iteration163,117.843,34.310,36.585
Iteration164,117.148,34.310,36.585
Iteration165,116.303,34.310,36.585
Iteration166,115.935,34.310,36.585
Iteration167,118.051,34.310,36.585
Iteration168,118.141,34.310,36.585
Iteration169,117.990,34.310,36.585
Iteration170,117.232,34.310,36.585
Iteration171,117.490,34.310,36.585
Iteration172,117.490,34.310,36.585
Iteration173,117.274,34.310,36.585
Iteration174,117.323,34.310,36.585
Iteration175,117.481,34.310,36.585
Iteration176,117.519,34.310,36.585
Iteration177,117.322,34.310,36.585
Iteration178,117.124,34.310,36.585
Iteration179,113.722,34.310,36.585
Iteration180,113.631,34.310,36.585
Iteration181,115.657,34.310,36.585
Iteration182,115.977,34.310,36.585
Iteration183,113.571,34.310,36.585
Iteration184,113.747,34.310,36.585
Iteration185,113.955,34.310,36.585
Iteration186,113.951,34.310,36.585
Iteration187,113.827,34.310,36.585
Iteration188,113.800,34.310,36.585
Iteration189,113.535,34.310,36.585
Iteration190,109.520,34.310,36.585
Iteration191,106.889,34.310,36.585
Iteration192,102.078,33.473,35.610
Iteration193,102.078,33.473,35.610
Iteration194,102.078,33.473,35.610
Iteration195,101.953,33.473,35.610
Iteration196,102.523,32.845,34.634
Iteration197,94.612,33.891,33.171
Iteration198,94.622,33.891,33.171
Iteration199,91.517,34.100,33.659
Iteration200,91.517,34.100,33.659
Iteration201,91.569,34.100,33.659
Iteration202,89.588,33.891,33.659
Iteration203,89.562,33.891,33.659
Iteration204,89.562,33.891,33.659
Iteration205,91.465,33.891,33.659
Iteration206,93.135,33.264,33.171
Iteration207,93.119,33.264,33.171
Iteration208,93.153,33.264,33.171
Iteration209,95.840,33.264,34.146
Iteration210,95.877,33.054,34.146
Iteration211,92.343,33.682,34.634
Iteration212,91.228,33.054,35.122
Iteration213,91.417,33.264,34.634
Iteration214,91.406,33.264,34.634
Iteration215,91.401,33.264,34.634
Iteration216,85.375,32.427,35.122
Iteration217,85.293,32.427,35.122
Iteration218,79.966,34.310,36.585
Iteration219,81.271,34.100,36.585
Iteration220,71.091,43.305,38.537
Iteration221,71.582,41.213,38.537
Iteration222,71.384,41.213,38.537
Iteration223,71.142,42.678,39.512
Iteration224,70.853,42.678,39.512
Iteration225,70.757,42.678,39.512
Iteration226,69.107,44.979,40.976
Iteration227,69.097,44.979,40.976
Iteration228,71.247,41.841,37.561
Iteration229,71.150,41.841,37.561
Iteration230,70.922,42.678,38.049
Iteration231,63.350,56.276,59.512
Iteration232,62.865,55.439,59.024
Iteration233,62.866,55.439,59.024
Iteration234,60.759,58.787,59.512
Iteration235,64.467,53.766,55.122
Iteration236,64.467,53.766,55.122
Iteration237,66.249,46.653,42.439
Iteration238,66.499,46.444,42.439
Iteration239,65.664,48.326,47.317
Iteration240,65.662,48.326,47.317
Iteration241,65.018,49.372,50.732
Iteration242,64.921,49.372,50.732
Iteration243,65.034,49.372,50.732
Iteration244,64.418,53.556,53.171
Iteration245,63.746,53.766,52.683
Iteration246,62.623,54.812,56.585
Iteration247,63.897,49.791,49.268
Iteration248,63.898,49.791,49.268
Iteration249,63.695,50.209,49.756
Iteration250,61.097,60.669,61.463
Iteration251,60.984,60.879,61.951
Iteration252,57.578,68.619,71.220
Iteration253,57.004,69.038,71.220
Iteration254,57.215,67.992,71.220
Iteration255,57.112,65.272,66.829
Iteration256,57.772,64.435,67.317
Iteration257,57.772,64.435,67.317
Iteration258,58.105,64.435,66.829
Iteration259,58.054,64.435,66.829
Iteration260,58.039,64.226,66.829
Iteration261,58.547,64.226,66.341
Iteration262,58.574,64.226,66.341
Iteration263,58.560,64.226,66.341
Iteration264,58.845,64.017,66.341
Iteration265,58.788,67.782,70.732
Iteration266,58.905,67.782,70.732
Iteration267,58.466,67.782,70.732
Iteration268,58.605,67.782,69.756
Iteration269,58.583,67.573,69.268
Iteration270,60.000,66.527,69.756
Iteration271,60.048,66.527,69.756
Iteration272,60.048,66.527,69.756
Iteration273,59.558,66.946,70.244
Iteration274,59.558,66.946,70.244
Iteration275,59.547,66.946,70.244
Iteration276,56.730,66.318,68.780
Iteration277,57.365,64.435,67.317
Iteration278,57.193,64.226,66.829
Iteration279,56.999,64.644,66.829
Iteration280,56.974,64.644,66.829
Iteration281,57.000,64.435,65.366
Iteration282,57.044,64.854,67.317
Iteration283,57.042,65.690,67.317
Iteration284,55.234,67.155,68.780
Iteration285,55.499,67.364,68.780
Iteration286,55.523,67.364,68.780
Iteration287,55.515,67.364,68.780
Iteration288,55.532,67.364,68.780
Iteration289,56.545,67.992,69.268
Iteration290,56.598,67.573,68.780
Iteration291,57.963,65.690,67.317
Iteration292,59.077,65.063,69.756
Iteration293,60.324,61.297,62.927
Iteration294,59.881,62.134,62.439
Iteration295,59.863,62.134,62.439
Iteration296,59.909,61.715,62.927
Iteration297,53.733,68.828,69.268
Iteration298,53.713,69.038,69.268
Iteration299,53.764,69.038,69.268
Iteration300,55.139,67.782,69.756
Iteration301,54.795,68.828,68.780
Iteration302,55.834,67.573,68.293
Iteration303,55.820,65.063,63.902
Iteration304,55.211,67.155,68.293
Iteration305,56.846,64.017,64.878
Iteration306,65.192,54.812,53.171
Iteration307,67.338,51.046,50.244
Iteration308,67.266,51.046,50.244
Iteration309,67.706,51.255,49.268
Iteration310,67.057,51.255,49.756
Iteration311,70.048,48.117,44.390
Iteration312,70.269,47.699,43.902
Iteration313,69.431,47.908,44.390
Iteration314,69.116,47.908,44.390
Iteration315,69.150,47.908,44.390
Iteration316,70.517,47.280,43.415
Iteration317,70.055,47.280,43.415
Iteration318,70.074,47.280,43.415
Iteration319,70.074,47.280,43.415
Iteration320,70.071,47.280,43.415
Iteration321,71.481,47.280,43.415
Iteration322,71.829,47.071,43.902
Iteration323,71.835,47.071,43.902
Iteration324,69.171,49.582,45.854
Iteration325,69.195,49.582,45.854
Iteration326,83.084,33.473,37.561
Iteration327,93.097,34.100,35.122
Iteration328,93.066,34.100,35.122
Iteration329,93.082,34.100,35.122
