Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,62.707,48.745,50.732
Iteration1,62.075,49.582,51.220
Iteration2,62.115,49.582,51.220
Iteration3,62.113,49.582,51.220
Iteration4,61.885,49.791,51.220
Iteration5,61.882,49.791,51.220
Iteration6,61.882,49.791,51.220
Iteration7,61.487,52.092,51.707
Iteration8,61.971,49.163,51.707
Iteration9,62.578,46.653,44.878
Iteration10,62.683,46.653,44.878
Iteration11,62.299,47.490,46.341
Iteration12,63.173,44.979,45.366
Iteration13,63.185,45.188,45.854
Iteration14,63.203,45.188,45.854
Iteration15,63.100,45.397,45.854
Iteration16,63.001,45.397,45.854
Iteration17,63.001,45.397,45.854
Iteration18,56.597,65.063,60.488
Iteration19,57.098,65.063,60.000
Iteration20,56.847,65.481,60.000
Iteration21,54.267,65.900,65.366
Iteration22,54.255,65.481,63.902
Iteration23,54.734,65.272,63.902
Iteration24,54.786,65.272,63.902
Iteration25,54.793,65.272,63.902
Iteration26,54.820,65.063,63.902
Iteration27,52.576,68.410,63.415
Iteration28,52.506,68.410,64.390
Iteration29,52.613,67.573,64.878
Iteration30,52.600,67.573,64.878
Iteration31,52.148,68.201,64.878
Iteration32,52.100,68.201,64.878
Iteration33,51.993,68.410,65.366
Iteration34,51.935,68.410,65.366
Iteration35,51.979,68.410,65.366
Iteration36,53.204,66.109,63.415
Iteration37,53.308,66.109,63.415
Iteration38,53.474,67.155,64.390
Iteration39,53.366,67.364,64.390
Iteration40,51.893,68.201,64.878
Iteration41,51.863,68.201,64.878
Iteration42,52.061,68.619,66.341
Iteration43,54.246,62.343,61.951
Iteration44,54.289,62.343,61.951
Iteration45,54.042,62.762,61.951
Iteration46,57.958,54.603,50.244
Iteration47,57.690,54.393,50.244
Iteration48,58.824,54.393,48.780
Iteration49,58.428,55.230,50.244
Iteration50,59.776,51.883,46.829
Iteration51,59.223,63.808,58.537
Iteration52,59.245,63.598,58.537
Iteration53,59.213,63.598,58.537
Iteration54,59.204,63.598,58.537
Iteration55,58.261,66.318,62.927
Iteration56,58.056,65.481,63.415
Iteration57,56.263,67.573,64.390
Iteration58,56.406,67.573,64.390
Iteration59,55.285,67.364,64.878
Iteration60,55.341,67.364,64.878
Iteration61,55.443,67.364,64.878
Iteration62,54.954,68.410,65.366
Iteration63,55.107,68.201,65.366
Iteration64,55.215,67.364,65.854
Iteration65,55.713,67.364,65.854
Iteration66,55.223,70.084,67.317
Iteration67,55.208,69.456,66.829
Iteration68,55.151,69.874,67.317
Iteration69,55.114,69.874,67.317
Iteration70,57.274,68.410,63.902
Iteration71,57.265,68.410,63.902
Iteration72,56.649,69.038,64.878
Iteration73,56.442,69.038,65.366
Iteration74,56.621,69.247,65.366
Iteration75,56.621,69.247,65.366
Iteration76,56.660,69.247,64.878
Iteration77,56.795,69.456,64.878
Iteration78,56.667,69.665,64.878
Iteration79,56.752,69.038,64.390
Iteration80,56.681,69.247,65.854
Iteration81,56.617,69.247,65.854
Iteration82,56.606,69.247,65.854
Iteration83,56.638,69.247,65.854
Iteration84,56.667,69.247,65.854
Iteration85,56.460,69.456,65.854
Iteration86,56.405,69.456,65.854
Iteration87,57.540,66.736,64.878
Iteration88,57.333,66.946,64.878
Iteration89,56.989,67.782,63.415
Iteration90,57.014,67.782,63.415
Iteration91,56.883,67.782,63.415
Iteration92,56.871,67.782,63.415
Iteration93,57.515,67.364,64.878
Iteration94,57.484,67.364,64.878
Iteration95,57.247,67.782,64.390
Iteration96,57.266,67.782,64.390
Iteration97,56.362,68.201,64.878
Iteration98,56.473,68.201,64.390
Iteration99,56.458,68.201,64.390
Iteration100,56.458,68.201,64.390
Iteration101,56.868,67.573,62.927
Iteration102,56.574,67.573,63.415
Iteration103,56.567,67.573,63.415
Iteration104,56.553,67.573,63.415
Iteration105,56.513,67.782,64.878
Iteration106,56.528,67.782,64.878
Iteration107,56.608,67.782,64.878
Iteration108,56.575,67.782,64.878
Iteration109,56.623,67.782,64.878
Iteration110,56.640,67.782,64.878
Iteration111,56.646,67.782,64.878
Iteration112,56.646,67.782,64.878
Iteration113,56.638,67.782,64.878
Iteration114,56.774,67.992,64.878
Iteration115,56.801,67.992,64.878
Iteration116,56.823,67.992,64.878
Iteration117,56.814,68.410,64.878
Iteration118,54.147,67.573,65.854
Iteration119,54.148,67.573,65.854
Iteration120,54.120,67.573,65.854
Iteration121,52.713,66.736,65.366
Iteration122,52.697,66.736,65.366
Iteration123,52.898,66.946,65.366
Iteration124,54.324,66.318,65.366
Iteration125,54.380,66.318,65.366
Iteration126,54.380,66.318,65.366
Iteration127,54.243,66.946,64.878
Iteration128,55.636,65.690,64.878
Iteration129,56.989,65.900,64.878
Iteration130,56.379,65.690,64.878
Iteration131,56.391,65.690,64.878
Iteration132,56.391,65.690,64.878
Iteration133,54.911,66.736,64.878
Iteration134,54.822,66.736,64.878
Iteration135,54.745,66.736,64.878
Iteration136,54.740,66.736,64.878
Iteration137,54.471,66.736,64.878
Iteration138,54.475,66.736,64.878
Iteration139,54.481,66.946,64.878
Iteration140,54.403,67.155,64.878
Iteration141,53.439,67.573,66.341
Iteration142,53.430,67.782,66.341
Iteration143,53.428,67.782,66.341
Iteration144,53.211,67.782,66.341
Iteration145,53.247,67.782,66.341
Iteration146,53.247,67.782,66.341
Iteration147,53.543,67.992,66.341
Iteration148,53.522,67.992,66.341
Iteration149,52.077,66.527,62.927
Iteration150,52.077,66.527,62.927
Iteration151,52.078,66.527,62.927
Iteration152,52.177,66.318,62.439
Iteration153,52.293,66.318,61.463
Iteration154,52.055,66.318,61.951
Iteration155,52.423,65.690,61.951
Iteration156,52.242,66.109,61.951
Iteration157,52.737,67.364,62.439
Iteration158,52.775,67.364,62.439
Iteration159,51.888,67.155,62.927
Iteration160,52.792,64.644,59.512
Iteration161,52.765,64.854,59.512
Iteration162,52.715,64.854,59.512
Iteration163,52.782,65.063,60.000
Iteration164,54.424,64.017,59.024
Iteration165,54.676,64.017,59.024
Iteration166,54.465,64.854,60.000
Iteration167,54.994,62.343,57.561
Iteration168,54.978,66.109,60.000
Iteration169,55.362,69.038,63.415
Iteration170,55.412,69.038,63.415
Iteration171,55.378,69.247,63.415
Iteration172,55.344,70.084,64.878
Iteration173,55.344,70.084,64.878
Iteration174,54.276,70.084,65.366
Iteration175,54.315,70.084,65.366
Iteration176,54.482,69.456,64.878
Iteration177,54.050,69.456,64.878
Iteration178,54.542,69.456,64.878
Iteration179,57.325,68.828,63.415
Iteration180,57.274,68.828,63.415
Iteration181,59.194,59.623,50.244
Iteration182,58.961,61.506,51.707
Iteration183,58.922,64.854,55.122
Iteration184,59.399,58.787,49.756
Iteration185,59.431,58.577,49.756
Iteration186,64.404,33.682,33.171
Iteration187,65.723,29.289,29.268
Iteration188,65.671,29.498,29.268
Iteration189,64.740,45.607,48.293
Iteration190,64.735,45.607,48.293
Iteration191,64.383,45.816,48.780
Iteration192,64.380,45.816,48.780
Iteration193,64.388,45.816,48.780
Iteration194,64.272,45.816,48.780
Iteration195,64.275,45.816,48.780
Iteration196,64.224,46.025,48.780
Iteration197,64.208,46.234,48.780
Iteration198,64.178,46.444,49.268
Iteration199,64.234,46.025,48.780
Iteration200,60.790,49.791,50.732
Iteration201,60.795,49.791,50.732
Iteration202,60.696,50.209,51.707
Iteration203,60.694,50.418,52.195
Iteration204,60.684,50.418,52.195
Iteration205,60.958,50.628,52.195
Iteration206,61.149,50.418,50.732
Iteration207,63.357,46.444,47.805
Iteration208,64.287,44.142,46.341
Iteration209,64.117,44.351,46.341
