Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,102.237,33.891,35.610
Iteration1,102.202,33.891,35.610
Iteration2,99.998,33.473,35.610
Iteration3,95.502,33.473,35.610
Iteration4,93.515,33.473,35.610
Iteration5,90.743,33.473,36.585
Iteration6,96.170,33.264,36.585
Iteration7,96.043,33.264,36.585
Iteration8,96.137,33.264,36.585
Iteration9,95.613,28.870,33.171
Iteration10,95.319,28.452,33.171
Iteration11,95.294,27.406,32.683
Iteration12,95.263,27.197,32.683
Iteration13,93.013,30.962,36.585
Iteration14,93.415,30.126,34.634
Iteration15,93.395,30.335,29.756
Iteration16,93.229,30.335,29.756
Iteration17,93.420,30.335,29.756
Iteration18,94.395,29.498,30.732
Iteration19,94.579,29.289,30.732
Iteration20,94.642,29.289,30.732
Iteration21,94.648,29.289,30.732
Iteration22,93.443,32.008,35.610
Iteration23,93.889,29.498,30.732
Iteration24,93.662,29.498,30.732
Iteration25,92.331,32.845,35.122
Iteration26,83.914,29.289,29.756
Iteration27,80.212,30.544,31.220
Iteration28,80.384,30.544,31.220
Iteration29,80.003,29.079,28.780
Iteration30,77.279,37.657,35.610
Iteration31,75.248,37.866,36.585
Iteration32,75.200,37.866,36.098
Iteration33,74.819,37.657,35.610
Iteration34,74.460,37.657,36.098
Iteration35,75.381,38.075,36.585
Iteration36,73.056,43.305,44.390
Iteration37,70.503,46.862,46.341
Iteration38,70.374,47.071,46.341
Iteration39,68.248,48.117,47.317
Iteration40,68.894,48.536,46.829
Iteration41,67.702,49.372,46.829
Iteration42,67.429,50.418,47.805
Iteration43,66.731,52.929,52.195
Iteration44,66.731,52.929,52.195
Iteration45,66.355,55.230,52.195
Iteration46,66.430,55.230,51.707
Iteration47,66.417,55.230,51.707
Iteration48,66.683,52.720,51.707
Iteration49,66.683,52.720,51.707
Iteration50,66.858,52.510,51.220
Iteration51,68.755,49.163,47.317
Iteration52,68.434,49.163,47.317
Iteration53,68.632,49.163,47.317
Iteration54,69.667,48.745,47.317
Iteration55,65.963,56.276,52.683
Iteration56,65.583,51.046,49.756
Iteration57,65.872,51.674,51.220
Iteration58,66.121,51.464,51.220
Iteration59,66.699,50.628,50.732
Iteration60,66.517,50.418,50.732
Iteration61,66.282,51.046,50.732
Iteration62,65.711,53.347,51.220
Iteration63,64.805,54.184,52.195
Iteration64,64.746,54.393,52.195
Iteration65,65.077,53.975,50.732
Iteration66,63.376,57.531,55.610
Iteration67,62.865,56.904,55.610
Iteration68,61.719,56.695,55.610
Iteration69,62.272,54.184,53.659
Iteration70,62.052,54.184,53.659
Iteration71,61.954,54.603,54.634
Iteration72,61.954,54.603,54.634
Iteration73,62.319,54.603,54.634
Iteration74,62.391,56.695,53.171
Iteration75,62.531,55.021,52.195
Iteration76,62.063,56.276,53.171
Iteration77,63.679,53.975,51.220
Iteration78,63.896,53.766,51.220
Iteration79,61.553,56.276,53.659
Iteration80,61.473,56.485,53.171
Iteration81,61.068,57.113,53.171
Iteration82,61.544,56.067,52.683
Iteration83,61.526,56.067,52.683
Iteration84,61.794,55.439,52.683
Iteration85,61.721,55.439,52.683
Iteration86,61.778,55.439,52.683
Iteration87,59.045,62.134,58.049
Iteration88,59.625,61.506,57.073
Iteration89,59.608,61.297,57.073
Iteration90,59.387,61.297,56.585
Iteration91,59.215,61.297,57.073
Iteration92,60.154,61.088,55.122
Iteration93,60.140,61.297,55.122
Iteration94,60.646,59.414,52.683
Iteration95,60.972,58.996,52.683
Iteration96,62.000,56.904,51.220
Iteration97,62.093,58.787,52.195
Iteration98,62.096,58.787,52.195
Iteration99,62.349,58.368,54.146
Iteration100,61.702,58.368,54.146
Iteration101,61.960,57.950,53.659
Iteration102,61.578,58.368,54.146
Iteration103,61.530,59.205,54.146
Iteration104,61.605,59.205,54.146
Iteration105,61.605,59.205,54.146
Iteration106,59.489,59.623,54.146
Iteration107,59.278,59.623,54.146
Iteration108,59.315,59.623,54.146
Iteration109,59.374,59.414,54.146
Iteration110,58.495,59.205,53.171
Iteration111,62.060,54.812,53.659
Iteration112,62.080,54.812,53.659
Iteration113,60.724,55.021,53.659
Iteration114,66.327,49.372,52.195
Iteration115,64.446,49.163,52.195
Iteration116,65.189,49.582,53.171
Iteration117,65.169,49.582,53.171
Iteration118,64.982,49.582,52.683
Iteration119,65.157,48.954,53.659
Iteration120,65.412,48.954,54.146
Iteration121,67.934,44.770,47.317
Iteration122,69.175,44.979,46.829
Iteration123,66.700,47.699,51.707
Iteration124,66.588,48.117,52.195
Iteration125,66.061,48.117,52.195
Iteration126,63.798,48.954,50.244
Iteration127,63.783,49.163,50.244
Iteration128,63.816,48.954,50.244
Iteration129,63.926,48.954,50.244
Iteration130,63.792,48.954,50.244
Iteration131,63.687,49.163,50.244
Iteration132,63.368,49.372,50.732
Iteration133,61.779,52.720,51.707
Iteration134,61.779,52.720,51.707
Iteration135,61.613,52.929,51.707
Iteration136,61.005,53.556,53.171
Iteration137,61.032,53.556,52.683
Iteration138,61.038,53.556,52.683
Iteration139,61.981,52.929,51.707
Iteration140,62.942,48.954,51.707
Iteration141,63.001,48.954,51.707
Iteration142,62.985,48.536,51.220
Iteration143,62.985,48.536,51.220
Iteration144,62.642,48.954,50.732
Iteration145,62.857,48.745,50.732
Iteration146,63.351,48.954,51.220
Iteration147,63.309,49.163,51.220
Iteration148,63.268,48.536,51.707
Iteration149,64.205,48.326,50.732
Iteration150,64.336,48.536,51.220
Iteration151,64.306,48.536,51.220
Iteration152,64.369,48.536,51.220
Iteration153,67.087,45.607,48.780
Iteration154,65.825,45.816,47.805
Iteration155,65.832,45.816,47.805
Iteration156,65.663,46.025,48.293
Iteration157,65.768,46.025,48.293
Iteration158,70.044,46.025,50.732
Iteration159,70.013,46.025,50.732
Iteration160,78.996,35.565,37.073
Iteration161,80.261,35.774,37.073
Iteration162,81.519,35.565,36.585
Iteration163,81.133,34.728,36.585
Iteration164,81.493,34.728,36.585
Iteration165,81.091,34.728,36.585
Iteration166,80.586,36.611,40.976
Iteration167,80.586,36.611,40.976
Iteration168,80.567,36.611,40.976
Iteration169,82.926,36.402,41.463
Iteration170,82.091,37.448,43.415
Iteration171,76.095,44.142,49.268
Iteration172,76.139,44.142,48.780
