Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,75.010,25.732,23.415
Iteration1,65.297,54.812,44.390
Iteration2,66.222,47.071,40.976
Iteration3,66.232,47.071,40.976
Iteration4,66.356,47.071,40.976
Iteration5,67.182,46.234,40.488
Iteration6,67.527,45.188,40.488
Iteration7,67.306,46.444,40.488
Iteration8,67.306,46.444,40.488
Iteration9,67.298,46.444,40.488
Iteration10,70.637,37.029,31.220
Iteration11,71.823,39.749,31.707
Iteration12,71.947,39.749,31.707
Iteration13,71.973,39.749,31.707
Iteration14,71.799,39.958,32.195
Iteration15,72.145,39.749,32.195
Iteration16,71.487,37.448,33.659
Iteration17,71.900,35.774,32.683
Iteration18,71.900,35.774,32.683
Iteration19,72.289,35.146,32.195
Iteration20,72.319,35.146,32.195
Iteration21,75.005,31.799,29.268
Iteration22,75.222,31.799,29.268
Iteration23,75.287,31.799,29.268
Iteration24,69.439,38.075,35.122
Iteration25,67.397,50.418,44.878
Iteration26,67.657,50.000,44.878
Iteration27,67.657,50.000,44.878
Iteration28,67.817,44.770,42.927
Iteration29,65.847,49.372,44.878
Iteration30,65.841,49.372,44.878
Iteration31,65.805,49.372,44.878
Iteration32,65.805,49.372,44.878
Iteration33,65.888,49.372,44.878
Iteration34,65.998,49.163,45.366
Iteration35,66.750,49.791,50.244
Iteration36,66.980,49.582,49.756
Iteration37,67.032,50.209,49.756
Iteration38,67.038,50.209,49.756
Iteration39,67.375,49.372,48.780
Iteration40,67.398,49.372,48.780
Iteration41,66.974,48.117,46.341
Iteration42,66.983,48.117,46.341
Iteration43,64.177,54.603,52.683
Iteration44,62.395,60.460,59.024
Iteration45,63.321,55.230,51.220
Iteration46,63.314,55.230,51.220
Iteration47,63.218,55.230,51.220
Iteration48,63.267,55.230,51.220
Iteration49,63.270,55.230,51.220
Iteration50,63.390,55.021,51.220
Iteration51,63.263,55.439,51.220
Iteration52,63.045,55.439,51.220
Iteration53,63.002,55.439,51.707
Iteration54,62.663,57.950,56.098
Iteration55,62.512,57.950,56.098
Iteration56,62.700,57.950,56.098
Iteration57,62.823,57.950,56.098
Iteration58,62.846,55.439,51.707
Iteration59,64.470,53.347,51.220
Iteration60,65.093,52.092,48.780
Iteration61,64.411,52.301,48.780
Iteration62,64.565,52.301,48.780
Iteration63,64.565,52.301,48.780
Iteration64,60.570,64.435,60.488
Iteration65,59.725,64.644,60.488
Iteration66,59.899,64.644,60.488
Iteration67,59.899,64.644,60.488
Iteration68,61.679,66.946,63.902
Iteration69,63.647,62.552,59.024
Iteration70,63.842,61.925,58.537
Iteration71,64.281,61.715,58.537
Iteration72,64.281,61.715,58.537
Iteration73,64.307,61.715,58.537
Iteration74,65.615,60.042,56.585
Iteration75,65.602,57.741,55.122
Iteration76,65.647,55.230,50.732
Iteration77,67.339,54.393,49.756
Iteration78,63.678,61.088,58.049
Iteration79,62.804,61.506,58.049
Iteration80,62.768,61.297,58.049
Iteration81,62.723,61.715,56.585
Iteration82,63.610,61.506,56.585
Iteration83,65.919,53.766,48.293
Iteration84,68.373,46.444,42.439
Iteration85,69.849,43.096,37.561
Iteration86,69.225,43.933,40.488
Iteration87,68.473,44.351,41.951
Iteration88,66.003,54.393,47.317
Iteration89,65.262,54.393,47.317
Iteration90,65.229,54.393,46.341
Iteration91,63.183,61.925,56.585
Iteration92,63.313,57.950,52.683
