Iteration,Error,Training_accuracy,Test_accuracy
Iteration0,55.032,68.410,63.902
Iteration1,54.824,68.410,64.390
Iteration2,58.701,55.021,47.317
Iteration3,58.911,53.347,47.317
Iteration4,60.109,50.418,44.878
Iteration5,60.120,50.418,44.878
Iteration6,61.382,48.117,39.024
Iteration7,61.424,48.117,39.024
Iteration8,61.507,47.908,39.024
Iteration9,61.507,47.908,39.024
Iteration10,61.370,48.117,40.488
Iteration11,61.701,48.326,40.000
Iteration12,62.011,50.209,41.951
Iteration13,63.307,49.582,45.366
Iteration14,62.263,50.418,46.829
Iteration15,62.337,50.628,46.829
Iteration16,62.558,51.255,46.829
Iteration17,62.496,51.255,46.829
Iteration18,62.015,50.209,46.341
Iteration19,60.999,51.255,46.341
Iteration20,61.479,51.883,47.317
Iteration21,62.034,50.418,46.829
Iteration22,62.034,50.418,46.829
Iteration23,61.972,50.418,46.829
Iteration24,62.409,47.490,45.854
Iteration25,65.805,44.770,42.927
Iteration26,66.838,44.561,42.927
Iteration27,64.902,46.234,45.366
Iteration28,64.361,48.745,44.878
Iteration29,60.768,51.464,47.317
Iteration30,60.680,52.720,48.293
Iteration31,60.760,52.720,48.293
Iteration32,60.760,52.720,48.293
Iteration33,60.827,51.883,44.390
Iteration34,60.595,51.883,44.390
Iteration35,60.467,51.464,44.878
Iteration36,61.355,50.209,44.390
Iteration37,63.002,51.255,48.780
Iteration38,62.535,51.464,49.268
Iteration39,61.158,50.000,46.829
Iteration40,61.134,50.000,46.829
Iteration41,61.167,50.209,46.829
Iteration42,61.167,50.209,46.829
Iteration43,60.962,50.837,46.829
Iteration44,61.002,50.837,46.829
Iteration45,61.882,48.117,45.854
Iteration46,62.345,48.745,45.366
Iteration47,62.867,47.699,43.902
Iteration48,61.580,50.000,44.878
Iteration49,58.820,54.812,52.195
Iteration50,62.438,45.816,43.902
Iteration51,62.438,45.816,43.902
Iteration52,62.508,45.816,43.902
Iteration53,66.335,40.795,41.463
Iteration54,66.338,40.795,41.463
Iteration55,65.553,41.423,41.463
Iteration56,66.720,39.121,39.512
Iteration57,67.190,37.866,37.561
Iteration58,63.173,46.444,42.927
Iteration59,61.971,48.954,43.902
Iteration60,61.199,53.138,45.366
Iteration61,61.325,53.138,45.366
Iteration62,60.888,52.929,45.366
Iteration63,60.323,52.720,45.854
Iteration64,58.576,55.858,46.829
Iteration65,64.861,43.724,43.902
Iteration66,65.782,43.933,42.439
Iteration67,60.851,51.046,46.829
Iteration68,59.507,51.255,47.805
Iteration69,59.410,51.464,47.805
Iteration70,62.056,45.397,42.927
Iteration71,62.626,45.397,42.927
Iteration72,62.573,45.397,42.927
Iteration73,62.471,45.188,42.927
Iteration74,61.010,47.280,46.341
Iteration75,59.834,48.326,49.268
Iteration76,59.834,48.326,49.268
Iteration77,66.266,42.050,40.000
Iteration78,63.222,43.515,40.976
Iteration79,64.184,42.469,40.488
Iteration80,64.154,42.469,40.488
Iteration81,65.395,42.050,40.976
Iteration82,60.947,50.837,51.220
Iteration83,61.303,50.628,51.220
Iteration84,61.489,49.791,48.293
Iteration85,61.388,50.628,51.707
Iteration86,61.709,49.582,48.780
Iteration87,61.659,49.582,48.780
Iteration88,61.356,49.791,48.780
Iteration89,61.356,49.791,48.780
Iteration90,55.537,64.226,63.415
Iteration91,55.521,64.226,63.415
Iteration92,55.152,64.435,63.415
Iteration93,54.254,65.900,65.366
Iteration94,55.142,65.272,63.902
Iteration95,54.971,65.272,63.902
Iteration96,54.971,65.272,63.902
Iteration97,54.972,65.272,63.902
Iteration98,55.574,64.435,63.415
Iteration99,58.753,63.180,61.951
Iteration100,58.177,63.389,61.951
Iteration101,58.043,63.389,61.463
Iteration102,56.898,63.598,61.951
Iteration103,56.898,63.598,61.951
Iteration104,58.150,63.180,61.463
Iteration105,61.843,46.234,43.415
Iteration106,60.139,51.464,51.707
Iteration107,60.866,49.372,47.317
Iteration108,60.078,51.255,51.707
Iteration109,56.043,64.854,64.878
Iteration110,55.996,64.854,64.878
Iteration111,57.312,63.389,63.415
Iteration112,51.669,71.339,66.829
Iteration113,50.750,71.757,67.317
Iteration114,51.378,71.339,66.341
Iteration115,51.204,71.339,66.341
Iteration116,51.382,71.339,66.829
Iteration117,51.358,71.548,66.829
Iteration118,52.305,71.130,66.341
Iteration119,52.329,71.130,66.341
Iteration120,50.316,74.895,70.244
Iteration121,50.336,74.895,70.244
Iteration122,51.232,74.895,69.756
Iteration123,49.706,75.105,69.756
Iteration124,48.504,75.523,69.756
Iteration125,48.507,75.105,69.756
Iteration126,48.599,75.105,69.756
Iteration127,48.584,75.105,69.756
Iteration128,55.981,65.481,66.341
Iteration129,56.079,65.481,66.341
Iteration130,55.936,65.690,66.341
Iteration131,55.524,66.109,67.805
Iteration132,55.525,66.109,67.805
Iteration133,55.519,66.109,67.805
Iteration134,57.911,58.368,61.951
Iteration135,68.029,38.494,39.512
Iteration136,67.314,38.285,40.000
Iteration137,66.933,38.285,40.000
Iteration138,66.925,38.494,40.000
Iteration139,66.922,38.494,40.000
Iteration140,66.909,38.494,40.000
Iteration141,68.140,35.356,38.537
Iteration142,68.501,35.356,38.537
Iteration143,66.701,37.657,38.537
Iteration144,81.918,34.100,36.585
Iteration145,81.920,34.100,36.585
Iteration146,84.340,34.100,36.585
Iteration147,88.979,33.891,36.585
Iteration148,86.117,33.891,36.585
Iteration149,83.375,33.891,36.585
Iteration150,83.249,33.891,36.585
Iteration151,83.710,34.100,36.585
Iteration152,86.136,34.728,36.585
Iteration153,80.312,34.937,36.585
Iteration154,78.191,35.146,37.073
Iteration155,76.541,35.146,37.073
Iteration156,77.622,35.146,36.585
Iteration157,89.443,34.937,37.073
Iteration158,89.629,34.728,37.073
Iteration159,92.912,34.519,37.073
Iteration160,93.227,34.519,37.073
Iteration161,93.240,34.519,37.073
Iteration162,95.613,34.937,37.073
Iteration163,95.643,34.937,37.073
Iteration164,95.520,34.937,37.073
Iteration165,96.590,34.937,37.073
Iteration166,93.552,34.937,37.561
Iteration167,96.001,34.728,37.073
Iteration168,95.951,34.728,37.073
Iteration169,94.374,34.519,37.073
Iteration170,94.533,34.728,37.073
Iteration171,92.846,34.728,37.073
Iteration172,92.846,34.728,37.073
Iteration173,90.927,34.728,37.561
Iteration174,92.778,34.728,37.073
Iteration175,92.349,34.728,37.073
Iteration176,93.360,34.728,36.585
Iteration177,93.351,34.728,36.585
Iteration178,91.166,34.728,36.585
Iteration179,91.166,34.728,36.585
Iteration180,88.696,34.728,36.585
Iteration181,92.413,34.937,36.585
Iteration182,90.371,34.937,36.585
Iteration183,89.170,34.937,37.073
Iteration184,91.532,34.937,36.585
Iteration185,87.474,34.937,37.073
Iteration186,88.298,34.728,37.073
Iteration187,86.937,35.146,37.561
Iteration188,83.849,35.565,38.537
Iteration189,83.550,35.774,38.537
Iteration190,81.884,35.774,38.537
Iteration191,82.025,35.774,38.537
Iteration192,85.178,35.565,38.049
Iteration193,85.219,35.565,38.049
Iteration194,83.674,35.565,38.049
Iteration195,91.399,34.937,37.561
Iteration196,90.487,35.565,39.024
Iteration197,90.818,35.565,38.049
Iteration198,71.506,36.192,38.537
Iteration199,68.970,35.774,40.976
Iteration200,69.014,35.774,40.976
Iteration201,67.485,36.192,40.976
Iteration202,57.139,56.904,65.854
Iteration203,64.229,39.749,48.293
Iteration204,64.246,39.749,48.293
Iteration205,64.485,39.540,47.317
Iteration206,64.340,39.958,47.317
Iteration207,64.665,37.238,42.927
Iteration208,66.611,34.519,39.512
Iteration209,64.514,35.146,42.439
Iteration210,64.592,35.146,42.439
Iteration211,64.882,34.728,42.439
Iteration212,65.198,34.728,42.927
Iteration213,65.275,34.728,42.927
Iteration214,65.822,34.310,42.439
Iteration215,65.822,34.310,42.439
Iteration216,66.071,34.310,42.439
Iteration217,65.627,34.100,42.439
Iteration218,63.610,38.703,47.805
Iteration219,64.050,38.494,48.780
Iteration220,62.977,42.050,51.220
Iteration221,65.318,34.937,40.488
Iteration222,66.203,34.519,40.488
Iteration223,59.023,52.301,60.000
Iteration224,57.840,54.184,62.927
Iteration225,57.990,54.603,63.902
Iteration226,60.027,55.858,58.537
Iteration227,60.137,55.230,58.049
Iteration228,59.794,56.904,59.024
Iteration229,57.745,64.435,63.902
Iteration230,57.548,64.644,63.902
Iteration231,59.511,56.067,58.049
Iteration232,59.438,60.042,62.439
Iteration233,60.274,53.138,57.073
Iteration234,53.242,66.318,64.390
Iteration235,53.481,65.481,63.902
Iteration236,55.543,60.879,61.463
Iteration237,55.790,60.669,60.976
Iteration238,53.196,64.854,62.927
Iteration239,53.243,64.854,62.927
Iteration240,53.701,64.017,63.902
Iteration241,51.103,68.201,69.268
Iteration242,50.501,69.038,69.756
Iteration243,52.785,67.573,70.244
Iteration244,52.330,67.155,68.780
Iteration245,53.066,66.318,68.293
Iteration246,59.368,56.904,60.000
Iteration247,58.250,59.414,60.488
Iteration248,58.250,59.414,60.488
Iteration249,56.161,62.134,64.390
Iteration250,56.285,61.715,63.902
Iteration251,55.697,64.435,63.902
Iteration252,55.732,64.435,64.390
Iteration253,55.732,64.435,64.390
Iteration254,62.723,52.720,60.976
Iteration255,63.801,51.255,60.000
Iteration256,65.399,50.000,60.000
Iteration257,65.442,50.000,60.000
Iteration258,66.379,48.954,60.000
Iteration259,68.406,48.117,59.512
Iteration260,64.503,50.209,60.000
Iteration261,64.580,50.628,57.561
Iteration262,64.585,50.628,57.561
Iteration263,66.036,50.000,60.488
Iteration264,66.952,50.000,60.000
Iteration265,67.359,49.582,60.000
Iteration266,63.035,60.042,59.512
Iteration267,63.035,60.042,59.512
Iteration268,61.458,54.184,55.610
Iteration269,56.714,61.297,55.122
Iteration270,51.622,73.222,72.683
Iteration271,51.696,73.222,72.195
Iteration272,48.869,74.059,74.146
Iteration273,47.227,76.151,71.707
Iteration274,47.314,75.523,68.780
Iteration275,47.509,74.268,67.317
Iteration276,47.397,74.477,67.317
Iteration277,47.463,75.105,69.268
Iteration278,47.086,75.314,69.268
Iteration279,47.086,75.314,69.268
Iteration280,46.282,73.431,66.341
